,Coef
PCA_feature_112,-2.4728908095772852
PCA_feature_114,0.10294372505255545
PCA_feature_14,-1.2648142657622996
PCA_feature_107,-2.4598313879262568
PCA_feature_110,2.0627398496159377
PCA_feature_7,0.21313072126077895
PCA_feature_132,-311363317919939.3
PCA_feature_13,-1.0468716383179064
PCA_feature_108,-2.5014407916979793
PCA_feature_89,-1.6961055358684463
PCA_feature_16,0.46259554161444083
PCA_feature_36,0.7033373608921971
PCA_feature_74,1.0287593664417818
PCA_feature_93,0.04601414858638964
PCA_feature_6,-0.02795872236251125
PCA_feature_34,0.5769177863285537
PCA_feature_17,-0.5367194312684629
PCA_feature_5,0.2880784595797758
PCA_feature_67,-0.5614583684095305
