,label,PCA_feature_3,PCA_feature_11,PCA_feature_13,PCA_feature_14,PCA_feature_24,PCA_feature_29,PCA_feature_33,PCA_feature_53,PCA_feature_60,PCA_feature_127,PCA_feature_129,PCA_feature_142,PCA_feature_160,PCA_feature_162,PCA_feature_167
18,0.0,2.3498442732728577,0.6826547442889357,-0.9408593272930933,1.063707011966362,0.25766915997049755,-0.4703802718310069,0.5193875566824302,0.24714426126476297,0.09428529867718863,5.30825383648903e-16,3.209238430557093e-16,7.37257477290143e-18,3.95516952522712e-16,-3.469446951953614e-16,2.0816681711721685e-16
19,1.0,1.8109926652677923,-0.5547244128385198,-0.20354046274739657,-0.04367262554987765,0.06493248463696111,-0.2712760168785095,0.14590773640229018,-0.18765784426931098,0.14572472526875763,3.469446951953614e-16,5.950101522600448e-16,1.214306433183765e-17,-2.7755575615628914e-17,2.0816681711721685e-17,5.204170427930421e-17
19,0.0,-4.141118292334217,-0.1813630003201639,-0.11364856231699727,1.2056781781438655,0.6491659472060373,0.32569285161286976,-0.3540256359735265,-0.21242324776564153,-0.06722682124665408,-1.249000902703301e-16,3.2959746043559335e-17,9.71445146547012e-17,-3.469446951953614e-17,-5.143455106271233e-16,-7.632783294297951e-17
21,0.0,-3.976443803452289,0.4497524275853184,0.2382710109255887,0.5082241291811939,-0.055025316282761236,0.18332676203619847,-0.16938910337216226,0.2205376127286478,0.07259068408909025,-9.367506770274758e-17,-3.3393426912553537e-17,-7.28583859910259e-17,-1.97758476261356e-16,9.71445146547012e-17,-4.336808689942018e-18
22,1.0,1.1176427403898566,-1.0172358761446576,-0.034377607965943024,0.4499627029617148,-0.032303483606099345,-0.209495553051982,-0.3555718887381497,-0.05390638920878002,-0.035031210376238846,3.6456298049825087e-16,-1.734723475976807e-18,-3.8163916471489756e-17,-5.204170427930421e-17,-1.2836953722228372e-16,-3.469446951953614e-17
22,0.0,0.561733193467024,0.02594522956937318,1.7001927810004631,0.06133845750058958,0.2140078125783756,0.46409752375491986,0.17635018423617013,-0.34169084206775246,0.035938942503618856,-8.673617379884035e-17,6.279698983036042e-16,-4.163336342344337e-17,-2.498001805406602e-16,-6.92154666914746e-16,2.0816681711721685e-17
23,0.0,-0.26489577480088233,-0.8035520877589343,0.585326131742816,0.405323342504038,0.1056444027258801,0.011953006403935353,-0.09581511306448881,-0.17697541517775664,-0.0637515905547782,0.0,-4.40619762898109e-16,1.0061396160665481e-16,1.249000902703301e-16,-6.765421556309548e-17,-3.8163916471489756e-17
24,0.0,-4.261625887568386,0.09897668423511699,-1.0628618774984655,-0.6465031163310851,0.04872048120553457,0.09627583038202024,-0.04928367480072285,0.008765905745290126,-0.1684087388507982,-2.6194324487249787e-16,-4.909267437014364e-16,1.214306433183765e-17,-7.806255641895632e-17,-3.3480163086352377e-16,1.1102230246251565e-16
25,1.0,3.2859232520487516,-0.3206658363652197,-0.5221772842998794,0.229542224891093,-0.16522030091520254,-0.2991635082174957,-0.46315675806733436,-0.2859219746767809,-0.16360358283572385,6.938893903907228e-17,8.465450562766819e-16,1.249000902703301e-16,-6.245004513516506e-17,-3.7296554733501353e-16,1.6653345369377348e-16
26,0.0,-3.3730799866045302,-1.7297342401640843,0.775045988958269,-0.8119689532750338,0.1032589226700195,-0.6016277180069215,-0.07444133761396327,0.13927184465801465,-0.131219564406136,-6.106226635438361e-16,2.42861286636753e-16,-4.40619762898109e-16,6.886852199627924e-16,-5.447031714567174e-16,6.938893903907228e-18
27,1.0,0.06985673468634784,0.36066612306529533,-0.5619392774118084,-0.3211798261939002,-0.5598574584061158,0.3843379970755812,0.11646742733255538,0.17185347946817336,-0.05613313555468394,4.40619762898109e-16,3.122502256758253e-16,2.914335439641036e-16,-2.0816681711721685e-17,7.164407955784213e-16,9.020562075079397e-17
28,1.0,-0.5344520564374365,0.4888737052505881,-0.283633192727012,-0.4504992390142589,-0.30940259828215066,0.27055976586057856,-0.3176635013397343,-0.1276203983135114,-0.15784420999342733,6.175615574477433e-16,1.8648277366750676e-16,3.469446951953614e-17,-1.457167719820518e-16,3.157196726277789e-16,5.377642775528102e-17
28,0.0,-2.294917467513718,-0.8696716083528713,0.987638760301918,1.2804695740100698,-0.20927897502539872,0.021578965867584846,0.011876923335434924,-0.017288900323148275,0.4509993986809644,-1.6306400674181987e-16,-1.7878493824285968e-16,-1.6306400674181987e-16,3.7816971776294395e-16,5.074066167232161e-17,-3.122502256758253e-16
29,0.0,-3.170884761415053,0.39592549059699067,0.2530716110435852,0.49161320669494807,0.46144196612345867,0.4540530954078665,0.002967444480859215,0.06906590399609232,-0.18745142240260182,-1.0408340855860843e-16,-1.0373646386341306e-15,-1.214306433183765e-16,0.0,-4.423544863740858e-16,-1.0755285551056204e-16
30,0.0,-4.845540138143935,0.5681025882414474,-1.0553645473550097,-0.09924335454127034,0.3966306460862246,-0.08256032712051063,0.2329749036777798,0.005080877000965961,-0.0674902673407306,-1.8388068845354155e-16,6.938893903907228e-18,-6.938893903907228e-17,-1.734723475976807e-17,-5.967448757360216e-16,8.673617379884035e-17
31,0.0,-2.301349879680759,0.9864460241787942,1.2197165663554874,-0.02763267346792067,-0.2712660586734749,-0.3268204382615981,-0.06211868442097991,-0.125896225273588,-0.24254303431575255,9.020562075079397e-17,5.689893001203927e-16,-1.8388068845354155e-16,-1.734723475976807e-17,1.3791051634015616e-16,2.220446049250313e-16
31,1.0,4.8811716283407405,1.2035970457346394,0.4634153141348762,-0.4505802011286663,0.23597750036881743,-0.16354434576458843,-0.05215771924323418,-0.0228047814485004,0.01008215555504026,2.0122792321330962e-16,3.712308238590367e-16,-1.0755285551056204e-16,-1.8735013540549517e-16,-1.249000902703301e-16,-2.7755575615628914e-17
32,1.0,0.5920672688582355,-0.48179933857830626,-1.0042039574387374,-0.3488880139690433,-0.2494601371032014,-0.2276524880752428,0.06015691834315155,-0.1074158235256433,-0.16649322118150192,7.28583859910259e-17,4.336808689942018e-17,1.8388068845354155e-16,-6.591949208711867e-17,-1.3704315460216776e-16,1.3530843112619095e-16
32,0.0,2.0522043489551107,0.977762746127883,0.23656111969424282,-0.41609043611275565,-0.3392000325540554,0.3719569071817417,-0.36852250249396157,0.2605544439222087,0.2084171574278732,6.696032617270475e-16,3.0184188481996443e-16,-2.1510571102112408e-16,1.5525775109992423e-16,1.0928757898653885e-16,-9.71445146547012e-17
33,0.0,-3.9336006862494535,0.8563640335104192,-1.3162832808730343,-0.901423806246611,-0.08240088940328136,0.32193681284554476,-0.022925771402924722,0.01229540328113271,-0.19142558741856824,1.491862189340054e-16,-3.660266534311063e-16,1.1752751549742868e-16,1.942890293094024e-16,-5.238864897449957e-16,-3.122502256758253e-17
34,1.0,-0.5244662103463618,0.10854255020207393,0.3474866192687062,-0.0346347424749614,-0.36849094763620444,-0.19090181810554202,-0.17147702430049885,-0.044134161317490636,0.08237817138075983,3.365363543395006e-16,2.8189256484623115e-17,7.632783294297951e-17,-9.71445146547012e-17,3.316574445633158e-16,-1.0581813203458523e-16
35,1.0,1.1771832690969786,-1.2329361250853101,-0.01735563458775004,0.11859117720351683,0.21409450297596644,0.293972558807506,-0.171211272628883,-0.06234656913369528,-0.11947288550568713,3.608224830031759e-16,-2.671474153004283e-16,-1.5352302762394743e-16,2.0816681711721685e-17,1.3964523981613297e-16,-6.245004513516506e-17
35,0.0,-2.1240522044026093,0.2373475925666445,0.10920996749560283,0.15201281594624047,0.1737943781181599,0.4113717146145741,0.42779746177540806,0.44288990253236266,-0.11644686810283546,6.331740687315346e-16,2.7755575615628914e-17,-6.938893903907228e-17,2.6020852139652106e-17,-2.914335439641036e-16,-1.960237527853792e-16
36,1.0,0.2963586242234454,-0.561463416287631,-0.32342142853709765,-0.43628756844233996,-0.200904996381993,0.3617934723740276,-0.004943166506973115,-0.08278058451978029,-0.04181750932426299,2.42861286636753e-16,5.2562121322097255e-16,1.214306433183765e-16,-2.5326962749261384e-16,2.914335439641036e-16,-5.551115123125783e-17
36,0.0,-2.226744201560343,-0.5721438603713098,-0.8843464354860614,-0.1069526589162855,0.5216379040229634,0.05179420718151107,-0.0641448766036793,0.043448920296752715,0.10720355757807802,3.0184188481996443e-16,-1.5785983631388945e-16,-8.847089727481716e-17,3.2439329000766293e-16,-3.7643499428696714e-16,-4.336808689942018e-17
37,0.0,-5.869274237288751,0.5391237389245747,-1.4184769697406205,-0.7745600642681245,-0.02757153731505385,-0.25089086698793545,-0.014108072650109986,-0.1524989080203894,0.254955891258857,-1.7694179454963432e-16,-2.463307335887066e-16,6.591949208711867e-17,1.0755285551056204e-16,-6.071532165918825e-16,-1.3877787807814457e-16
37,1.0,3.134133843174123,-1.7980630223482523,-0.38327295587770865,0.22591829738401675,0.18075616643793177,-0.10763206606824396,0.10592900935347149,0.09741821644355188,0.029931040676492094,5.551115123125783e-17,-3.712308238590367e-16,-1.734723475976807e-17,-6.938893903907228e-17,2.185751579730777e-16,-1.3357370765021415e-16
38,0.0,-4.770297072198677,0.1948056141702222,-0.842886868231879,-0.6158185283741873,-0.3973992383053756,-0.43359858462466655,-0.08916609031799101,0.07094137225818312,0.021345371020699513,1.6653345369377348e-16,-6.149594722337781e-16,-1.0581813203458523e-16,1.1102230246251565e-16,-5.715913853343579e-16,1.6653345369377348e-16
39,0.0,-3.3793720118218773,-0.06752057403718331,-0.3685060825211053,0.4113422494435564,-1.0359650512554701,0.27416860880030536,0.3066651606039181,-0.04280379135339123,0.1672783090160615,-3.469446951953614e-17,-1.3357370765021415e-16,1.4137996329210978e-16,-1.9081958235744878e-16,3.8163916471489756e-17,-6.591949208711867e-17
39,1.0,1.3494934852343021,-1.2923798579082157,0.21602843998543086,0.2533256222652908,0.34313870209668706,0.07926971374833913,-0.2100510577607581,-0.1351492510264007,-0.0013526473294935074,2.636779683484747e-16,7.068998164605489e-16,9.020562075079397e-17,2.7755575615628914e-17,9.71445146547012e-17,-4.163336342344337e-17
40,0.0,-4.189767549731806,-0.04723428722681401,-1.1916639163823706,0.35530181570783037,-0.37521145145569607,-0.23668976581712048,0.053644458759434105,-0.24160224181779155,-0.02139695337669674,-2.740863092043355e-16,-3.9768535686768303e-16,-6.331740687315346e-17,-1.700029006457271e-16,-3.3566899260151217e-16,-4.163336342344337e-17
40,1.0,0.41070330660141535,-1.0513872414457086,0.03716277934008767,-0.35993287338310465,0.34463052681900064,0.0513818665128967,-0.06680374832693552,0.002426170593992763,0.01383175352350436,3.5388358909926865e-16,2.862293735361732e-17,1.9949319973733282e-16,1.0408340855860843e-17,-2.8102520310824275e-16,-2.233456475320139e-17
42,0.0,-0.25786651232885627,0.03659142403984818,0.5904432425505358,-1.0470261647571593,-0.16320492583977939,0.1657677131247543,0.0999131993546147,0.21949531827420632,0.329634107298646,-6.591949208711867e-17,6.782768791069316e-16,2.3245294578089215e-16,-1.43982048506075e-16,1.6306400674181987e-16,-9.540979117872439e-17
42,1.0,1.0973383451853287,-1.2491771127396203,-0.1382269273748679,0.0863746788667737,-0.10765170425031496,0.41131890381363045,-0.11607486470630557,-0.020791023492622202,0.015754085030430836,2.3592239273284576e-16,3.191891195797325e-16,6.938893903907228e-17,-1.0408340855860843e-16,9.042246118529107e-17,3.469446951953614e-17
43,1.0,4.888280302259437,1.6192885607162701,-0.4482864129504336,-1.2208207419199006,-0.28346115305805913,-0.6489926933214356,-0.9520072750956803,0.33865494428760157,0.0609992866228821,1.083334810747516e-15,3.9985376121265404e-16,-8.673617379884035e-17,-3.469446951953614e-17,2.740863092043355e-16,-7.806255641895632e-17
43,0.0,-3.019982160673699,0.817069187173554,-0.07890970651871179,0.08367555952701562,0.8327489214347147,0.26119015424479836,0.20810063620321695,0.021619531132147082,0.04941806546839685,6.938893903907228e-17,1.6740081543176188e-16,1.3357370765021415e-16,-1.8041124150158794e-16,-6.245004513516506e-17,-6.245004513516506e-17
44,1.0,-0.11886074070828034,0.5214082421852402,0.34859726745440717,0.02928335650144348,-0.08152911395417371,-0.19796065479285346,0.3069536494884737,0.048825282271694685,0.02352657182947642,3.2612801348363973e-16,0.0,2.645453300864631e-16,-5.139118297581291e-16,1.1882855810441129e-15,1.3183898417423734e-16
45,1.0,3.7306562849714417,-0.4568607724989694,0.7045635722196472,0.06753519911346978,-0.3916454402757916,-0.3208396643232983,-0.11654639672760884,-0.10221308231615706,-0.04601716220076191,3.885780586188048e-16,-6.938893903907228e-17,-2.7755575615628914e-17,-1.249000902703301e-16,4.5102810375396984e-17,4.597017211338539e-17
45,0.0,-3.7850174250861555,-0.9469625419891532,0.6235606203737742,-0.6070325860061825,0.24733714671080145,-0.4922350876490608,-0.4031901855656261,-0.012964524865957325,0.0822084838251495,2.0643209364124004e-16,-2.7582103268031233e-16,-2.411265631607762e-16,5.030698080332741e-16,-4.518954654919582e-16,-2.168404344971009e-18
46,0.0,-1.9732903808378064,0.3507795185538884,0.12950113511448527,0.7011539419398412,-0.15619932130450404,-0.11488480502854137,-0.05926963477469899,-0.07043421783616435,-0.07265608858287535,2.1510571102112408e-16,-2.7755575615628914e-17,9.540979117872439e-17,1.1796119636642288e-16,2.636779683484747e-16,2.0469737016526324e-16
46,1.0,1.1588416586899344,-0.5551988274617671,0.9765849194853914,-0.25793643387606574,0.20980132442946017,0.3438335375387627,-0.1501367386656901,-0.3126403929508812,-0.27720128745099837,5.863365348801608e-16,-3.9898639947466563e-16,1.1622647289044608e-16,9.367506770274758e-17,2.2638141361497333e-16,7.632783294297951e-17
47,1.0,2.919337635939918,0.08548964692814343,-0.6306236367466685,-0.15628800760688893,-0.3548096738179593,0.1474233598264148,-0.16240850641780952,-0.2694665415771504,-0.02393590553857112,5.898059818321144e-16,-2.42861286636753e-17,1.8041124150158794e-16,1.249000902703301e-16,2.480654570646834e-16,-1.0581813203458523e-16
48,1.0,-0.83093877010341,-0.39318468427732445,-0.4136858177043559,-0.18330763777181724,0.6162245775590885,0.1011238223202936,0.0690943934718618,-0.31923464938333396,0.09602401112168593,3.8163916471489756e-16,-3.209238430557093e-17,7.979727989493313e-17,7.28583859910259e-17,3.157196726277789e-16,0.0
48,0.0,-2.4636054481524607,-0.7376875436987553,0.15194016583420253,0.17935419183385531,0.26304827094209676,0.7702617865724006,-0.026949405850003792,0.011482144594348265,0.039308477414287536,-1.249000902703301e-16,-7.025630077706069e-17,3.469446951953614e-18,2.1163626406917047e-16,-2.0816681711721685e-16,-1.3877787807814457e-17
49,1.0,0.9392620658263623,-0.49522652969280057,-0.22973271155234698,-0.3823165224382571,-0.6820190379170087,0.18898303330281335,0.091026357505264,0.12685326872150826,0.032117442924818156,3.469446951953614e-16,-2.671474153004283e-16,7.077671781985373e-16,-1.1102230246251565e-16,5.759281940243e-16,4.163336342344337e-17
49,0.0,4.959940105055295,0.22267137753010896,0.8331301064301757,0.12947556553541423,0.5420553128711326,0.9693241199984175,-0.23071830412383776,0.3978808161484607,-0.09921279416505233,2.706168622523819e-16,-4.718447854656915e-16,-2.992397996059992e-16,2.220446049250313e-16,3.729655473350135e-17,-1.3183898417423734e-16
51,1.0,0.5013562898458179,0.051400949541337934,0.5343267024292663,-0.7051916018006281,-0.22679567485156799,-0.004327831319206811,-0.16985092515001243,0.2353480796395358,0.0711619578217601,5.759281940243e-16,4.939625097843958e-16,1.8735013540549517e-16,-4.163336342344337e-17,2.185751579730777e-16,1.3010426069826053e-17
51,0.0,-2.430627572471841,1.7497166826886694,0.08560707773837446,-0.37652052240854067,-0.19835408522222622,0.28144833778273853,-0.41229095787179976,-0.17676559100467168,0.37222558241138737,5.447031714567174e-16,-1.0755285551056204e-16,0.0,-7.632783294297951e-17,-3.972516759986888e-16,-1.734723475976807e-17
52,1.0,2.815369036504693,0.43240398099977484,-0.8757007977691137,-0.9638861640914247,0.023704734774561864,0.44023036433989277,-0.22874766035189406,-0.20137167612697568,0.1521072140105803,8.049116928532385e-16,6.4791921827733745e-16,-3.0531133177191805e-16,1.5439038936193583e-16,1.491862189340054e-16,1.734723475976807e-17
52,0.0,-2.0452593868998914,0.6919601667573725,-0.34850897482960935,-0.9002945594052754,-0.3809986116763258,0.7691840504513686,0.09038492599100144,-0.25157452558966936,0.19926973073844348,4.3021142204224816e-16,-6.973588373426765e-16,-1.214306433183765e-16,-1.3877787807814457e-17,-1.3704315460216776e-16,-2.42861286636753e-17
53,0.0,-4.679350468707561,0.6131300956675867,-1.3933907847165803,0.15158302233874407,0.3533272402232126,-0.7137292140549106,0.13584492813416843,0.3579361604398157,0.09521751536964287,-2.706168622523819e-16,-6.609296443471635e-16,7.979727989493313e-17,-3.122502256758253e-16,-7.73686670285656e-16,-1.734723475976807e-17
53,1.0,1.1583702953228703,-1.4891308589978685,-1.4446474425785873,0.3663150613145809,0.2765742613545549,-0.0364755958626692,-0.08118693836287519,-0.006024334163137579,-0.015299410211555717,-4.649058915617843e-16,-1.3686968225457008e-15,-5.741934705483231e-16,-8.222589276130066e-16,3.191891195797325e-16,-1.491862189340054e-16
54,0.0,-0.25102754051925585,-0.020355859737649168,-0.3202492139748829,-0.44538693831713105,0.3614935260671678,0.14731810105834162,0.1171452972398926,0.07443787863410836,-0.1146892610788815,5.863365348801608e-16,2.2898349882893854e-16,-1.973247953923618e-17,3.0184188481996443e-16,-2.0469737016526324e-16,-1.5439038936193583e-16
54,1.0,0.3103138154520919,-0.5378921236614294,0.7837278720011973,-0.15337471067716832,-0.21875072885929422,0.007118246113364007,0.11956079952878063,-0.05031187153103653,-0.18788472505466924,1.5265566588595902e-16,4.371503159461554e-16,-6.158268339717665e-17,-8.326672684688674e-17,2.914335439641036e-16,-1.1449174941446927e-16
55,0.0,-2.293024805022901,0.17369997014629462,0.24476290542403445,0.24843392486156313,0.39448904736976836,0.04022609315695521,-0.10954647021950148,0.23596193915078112,0.019135717812587834,1.3877787807814457e-16,-1.942890293094024e-16,8.326672684688674e-17,4.85722573273506e-17,6.418476861114186e-17,-1.6653345369377348e-16
56,0.0,-0.6536827857406553,-0.1814511260340876,0.17039738423541884,0.06298876124883102,-0.6387980410465507,-0.3082836709511433,-0.0766873979562149,0.12320606218461505,0.020826719845538473,-3.469446951953614e-18,-1.6653345369377348e-16,-5.898059818321144e-17,-1.3530843112619095e-16,-1.734723475976807e-16,6.591949208711867e-17
57,1.0,0.7506462945407937,-0.9249948368619404,0.3008730632150464,0.3299301943513233,-0.7648110770076236,0.005481139364312361,0.018447454368855865,0.3012243116596286,0.03783082974687221,-1.734723475976807e-17,3.194059600142296e-16,7.788908407135864e-16,-1.249000902703301e-16,1.97758476261356e-16,-1.97758476261356e-16
58,0.0,1.9167867055045147,0.5846399878402668,0.14498595459448363,-0.6713800227127443,0.23351313722530545,-0.12708306657670748,-0.054332228487087506,0.28691030248804417,0.3264343909196714,8.673617379884035e-16,-4.475586568020162e-16,-1.5265566588595902e-16,2.7755575615628914e-17,-2.7582103268031233e-16,3.209238430557093e-16
