,rank
PCA_feature_1,20
PCA_feature_2,1
PCA_feature_3,7
PCA_feature_4,20
PCA_feature_5,5
PCA_feature_6,12
PCA_feature_7,7
PCA_feature_8,5
PCA_feature_9,4
PCA_feature_10,3
PCA_feature_11,3
PCA_feature_12,14
PCA_feature_13,1
PCA_feature_14,1
PCA_feature_15,20
PCA_feature_16,4
PCA_feature_17,4
PCA_feature_18,22
PCA_feature_19,7
PCA_feature_20,2
PCA_feature_21,11
PCA_feature_22,20
PCA_feature_23,15
PCA_feature_24,18
PCA_feature_25,3
PCA_feature_26,4
PCA_feature_27,5
PCA_feature_28,21
PCA_feature_29,6
PCA_feature_30,11
PCA_feature_31,14
PCA_feature_32,10
PCA_feature_33,3
PCA_feature_34,13
PCA_feature_35,12
PCA_feature_36,8
PCA_feature_37,5
PCA_feature_38,8
PCA_feature_39,15
PCA_feature_40,10
PCA_feature_41,7
PCA_feature_42,8
PCA_feature_43,6
PCA_feature_44,10
PCA_feature_45,15
PCA_feature_46,5
PCA_feature_47,7
PCA_feature_48,18
PCA_feature_49,4
PCA_feature_50,16
PCA_feature_51,10
PCA_feature_52,15
PCA_feature_53,18
PCA_feature_54,19
PCA_feature_55,8
PCA_feature_56,13
PCA_feature_57,14
PCA_feature_58,21
PCA_feature_59,9
PCA_feature_60,4
PCA_feature_61,12
PCA_feature_62,9
PCA_feature_63,13
PCA_feature_64,13
PCA_feature_65,16
PCA_feature_66,11
PCA_feature_67,11
PCA_feature_68,21
PCA_feature_69,13
PCA_feature_70,13
PCA_feature_71,13
PCA_feature_72,17
PCA_feature_73,15
PCA_feature_74,16
PCA_feature_75,5
PCA_feature_76,11
PCA_feature_77,7
PCA_feature_78,8
PCA_feature_79,10
PCA_feature_80,9
PCA_feature_81,10
PCA_feature_82,22
PCA_feature_83,6
PCA_feature_84,18
PCA_feature_85,8
PCA_feature_86,10
PCA_feature_87,16
PCA_feature_88,22
PCA_feature_89,11
PCA_feature_90,17
PCA_feature_91,17
PCA_feature_92,20
PCA_feature_93,21
PCA_feature_94,14
PCA_feature_95,17
PCA_feature_96,22
PCA_feature_97,17
PCA_feature_98,14
PCA_feature_99,14
PCA_feature_100,16
PCA_feature_101,14
PCA_feature_102,21
PCA_feature_103,13
PCA_feature_104,7
PCA_feature_105,16
PCA_feature_106,18
PCA_feature_107,17
PCA_feature_108,12
PCA_feature_109,18
PCA_feature_110,19
PCA_feature_111,8
PCA_feature_112,18
PCA_feature_113,22
PCA_feature_114,19
PCA_feature_115,21
PCA_feature_116,15
PCA_feature_117,20
PCA_feature_118,19
PCA_feature_119,17
PCA_feature_120,20
PCA_feature_121,15
PCA_feature_122,12
PCA_feature_123,11
PCA_feature_124,22
PCA_feature_125,14
PCA_feature_126,20
PCA_feature_127,16
PCA_feature_128,12
PCA_feature_129,1
PCA_feature_130,12
PCA_feature_131,22
PCA_feature_132,16
PCA_feature_133,15
PCA_feature_134,19
PCA_feature_135,11
PCA_feature_136,4
PCA_feature_137,7
PCA_feature_138,4
PCA_feature_139,22
PCA_feature_140,19
PCA_feature_141,6
PCA_feature_142,6
PCA_feature_143,9
PCA_feature_144,21
PCA_feature_145,17
PCA_feature_146,10
PCA_feature_147,3
PCA_feature_148,2
PCA_feature_149,9
PCA_feature_150,1
PCA_feature_151,18
PCA_feature_152,8
PCA_feature_153,19
PCA_feature_154,21
PCA_feature_155,6
PCA_feature_156,12
PCA_feature_157,9
PCA_feature_158,19
PCA_feature_159,3
PCA_feature_160,3
PCA_feature_161,3
PCA_feature_162,9
PCA_feature_163,6
PCA_feature_164,5
PCA_feature_165,9
PCA_feature_166,5
PCA_feature_167,1
PCA_feature_168,6
