,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.8232
balance_train_Cutoff,0.5227
balance_train_Acc,0.8393
balance_train_MCC,0.6798
balance_train_Sen,0.8690
balance_train_Spe,0.8095
balance_train_PPV,0.8202
balance_train_NPV,0.8608
balance_train_Youden Index,0.6786
balance_train_AUC,0.8798
balance_train_95% CIs,[0.8263-0.9333]
balance_train_Std,0.0273
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.6959
train_Cutoff,0.5227
train_Acc,0.8268
train_MCC,0.6430
train_Sen,0.8605
train_Spe,0.8095
train_PPV,0.6981
train_NPV,0.9189
train_Youden Index,0.6700
train_AUC,0.8690
train_95% CIs,[0.8049-0.9332]
train_Std,0.0327
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.5533
test_Cutoff,1.0000
test_Acc,0.5818
test_MCC,0.1318
test_Sen,0.5263
test_Spe,0.6111
test_PPV,0.4167
test_NPV,0.7097
test_Youden Index,0.1374
test_AUC,0.5687
test_95% CIs,[0.4279-0.7095]
test_Std,0.0718
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.8970
cv_train_Cutoff,0.5683
cv_train_Acc,0.8452
cv_train_MCC,0.6909
cv_train_Sen,0.8274
cv_train_Spe,0.8631
cv_train_PPV,0.8580
cv_train_NPV,0.8333
cv_train_Youden Index,0.6905
cv_train_AUC,0.9042
cv_train_95% CIs,[0.8809-0.9276]
cv_train_Std,0.0119
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.4913
cv_val_Cutoff,2.0000
cv_val_Acc,0.6614
cv_val_MCC,0.0000
cv_val_Sen,0.0000
cv_val_Spe,1.0000
cv_val_PPV,0.0000
cv_val_NPV,0.6614
cv_val_Youden Index,0.0000
cv_val_AUC,0.4582
cv_val_95% CIs,[0.3660-0.5504]
cv_val_Std,0.0470
