,weight
PCA_feature_1,0.8768634711527032
PCA_feature_2,0.28170574138590004
PCA_feature_3,1.3840490507486016
PCA_feature_4,0.31035192657941074
PCA_feature_5,0.5534133563466405
PCA_feature_6,0.8612944146858394
PCA_feature_7,0.24459445361161009
PCA_feature_8,0.6452041246490519
PCA_feature_9,0.6033469732214495
PCA_feature_10,0.6086762051796486
PCA_feature_11,1.5545181887546262
PCA_feature_12,0.7780922574519512
PCA_feature_13,0.6610951852952694
PCA_feature_14,1.0160594578167814
PCA_feature_15,1.2023959831347724
PCA_feature_16,0.9424892822835527
PCA_feature_17,0.11787203460643413
PCA_feature_18,0.21041115827322862
PCA_feature_19,0.6124542485178326
PCA_feature_20,-0.0801355457018789
PCA_feature_21,0.41847295475480517
PCA_feature_22,0.11598321837775859
PCA_feature_23,1.0339178148829973
PCA_feature_24,0.3115977126578071
PCA_feature_25,0.6423994681803114
PCA_feature_26,0.6348391984497264
PCA_feature_27,0.6323553494044999
PCA_feature_28,1.3738039190393139
PCA_feature_29,0.6899272283881681
PCA_feature_30,0.9646506078333353
PCA_feature_31,0.05752498766008755
PCA_feature_32,0.22443043194631337
PCA_feature_33,0.8270390954710539
PCA_feature_34,0.34665303429547417
PCA_feature_35,0.7188324628979693
PCA_feature_36,0.7838119888981628
PCA_feature_37,0.22810040736844656
PCA_feature_38,-0.38168503087209504
PCA_feature_39,0.2636455690348403
PCA_feature_40,0.34773941581560414
PCA_feature_41,0.17453953331595998
PCA_feature_42,0.3943957152081329
PCA_feature_43,0.17271917912838888
PCA_feature_44,0.15888673599195785
PCA_feature_45,0.7392925550481919
PCA_feature_46,-0.27086353077185055
PCA_feature_47,0.2924773774757462
PCA_feature_48,0.5307808502483233
PCA_feature_49,0.8643222693086324
PCA_feature_50,-0.24005533142090968
PCA_feature_51,0.44228211955519764
PCA_feature_52,0.2407427994746651
PCA_feature_53,0.8757920767152043
PCA_feature_54,0.26901527141170517
PCA_feature_55,0.6460270877530065
PCA_feature_56,0.25422061754302794
PCA_feature_57,0.008509693606512776
PCA_feature_58,-0.05848276724226269
PCA_feature_59,0.7401492382285308
PCA_feature_60,0.34123212904934497
PCA_feature_61,0.4095464758652703
PCA_feature_62,0.6242230373931711
PCA_feature_63,0.43772713929706214
PCA_feature_64,0.1256626571039054
PCA_feature_65,0.030343100623565503
PCA_feature_66,-0.19705023951502243
PCA_feature_67,0.7560014499769353
PCA_feature_68,0.04123989853727996
PCA_feature_69,-0.1688179643567446
PCA_feature_70,0.5471356904622819
PCA_feature_71,-0.010771554165275915
PCA_feature_72,0.41792517201300317
PCA_feature_73,-0.11335052143724517
PCA_feature_74,0.10822615152592949
PCA_feature_75,0.42719485122625367
PCA_feature_76,0.7725719424216958
PCA_feature_77,0.5112623872186837
PCA_feature_78,-0.2663296791265489
PCA_feature_79,0.08160276132883956
PCA_feature_80,0.5120148916462819
PCA_feature_81,0.06450337429385877
PCA_feature_82,0.0062419096340056825
PCA_feature_83,0.11391700968484175
PCA_feature_84,0.43079001241761045
PCA_feature_85,-0.08275213617209214
PCA_feature_86,-0.15156771142089057
PCA_feature_87,0.15065716228342482
PCA_feature_88,0.32476360813602356
PCA_feature_89,1.144214325421354
PCA_feature_90,0.44054170964862593
PCA_feature_91,-0.10761449292993536
PCA_feature_92,0.22554390261466983
PCA_feature_93,0.44242958009871003
PCA_feature_94,0.4615038837496673
PCA_feature_95,-0.12304720537137577
PCA_feature_96,0.18241217099824764
PCA_feature_97,-0.4700855881894223
PCA_feature_98,-0.030657285969166368
PCA_feature_99,0.10660340542396152
PCA_feature_100,-0.21670800736695
PCA_feature_101,0.23222190020225192
PCA_feature_102,0.5463360721561683
PCA_feature_103,0.020746727115994287
PCA_feature_104,0.3662068748189044
PCA_feature_105,0.5128532024566009
PCA_feature_106,0.4138380183076832
PCA_feature_107,0.7186192507686732
PCA_feature_108,0.17645684892435748
PCA_feature_109,0.1711570668939384
PCA_feature_110,0.06383038042848017
PCA_feature_111,-0.43471445119378727
PCA_feature_112,0.03124523477838072
PCA_feature_113,-0.34395759266463954
PCA_feature_114,0.29822761075186616
PCA_feature_115,0.5839123815320804
PCA_feature_116,0.3243990128988194
PCA_feature_117,0.3631318396729298
PCA_feature_118,-0.18974880789912504
PCA_feature_119,0.27571272423765986
PCA_feature_120,0.6980383238462737
PCA_feature_121,0.07096945515673375
PCA_feature_122,1.288263639700147
PCA_feature_123,-0.08245942267069906
PCA_feature_124,1.3188487905253814
PCA_feature_125,0.5183268431919289
PCA_feature_126,-1.028617954400321
PCA_feature_127,0.29324640235556504
PCA_feature_128,0.9683907031890185
PCA_feature_129,0.644060263418414
PCA_feature_130,0.5360797671643633
PCA_feature_131,0.2934830690192298
PCA_feature_132,0.6382261674690239
PCA_feature_133,0.3359786740767898
PCA_feature_134,1.1557180529480873
PCA_feature_135,0.4984587468495008
PCA_feature_136,0.34958528251555954
PCA_feature_137,0.31457686510373856
PCA_feature_138,0.905226391461225
PCA_feature_139,0.5333530085566482
PCA_feature_140,0.4244491835793674
PCA_feature_141,0.89690403989795
PCA_feature_142,0.473969691675076
PCA_feature_143,0.13840758919023988
PCA_feature_144,0.3783186796409138
PCA_feature_145,0.7604981371211474
PCA_feature_146,0.4987514815272235
PCA_feature_147,0.5203672537838155
PCA_feature_148,1.0182271109654735
PCA_feature_149,0.24114275002650853
PCA_feature_150,0.5536697805474128
PCA_feature_151,0.2709330281011536
PCA_feature_152,0.858550163872539
PCA_feature_153,0.5461731166706568
PCA_feature_154,0.4507680084772553
PCA_feature_155,0.7313957420014747
PCA_feature_156,0.5418632594552608
PCA_feature_157,0.23146105180379253
PCA_feature_158,0.34909445925203675
PCA_feature_159,0.5423708603166443
PCA_feature_160,0.5884054561174022
PCA_feature_161,0.32222289572639
PCA_feature_162,0.6393615147028331
PCA_feature_163,0.672214937447061
PCA_feature_164,0.5143426707277933
PCA_feature_165,0.53445512831835
PCA_feature_166,0.27358999919024013
PCA_feature_167,0.1727013544936874
PCA_feature_168,0.34663862917808363
