,label,PCA_feature_11,PCA_feature_3,PCA_feature_28,PCA_feature_124
1,0.0,1.1438806873175698,-2.758241586647062,-1.0544758427857586,-0.0038927983166622687
1,1.0,0.2188137352112027,4.450455152928563,0.4604724654848585,0.0007043632088609003
1,1.0,0.2188137352112027,4.450455152928563,0.4604724654848585,0.0007043632088609003
1,1.0,0.2188137352112027,4.450455152928563,0.4604724654848585,0.0007043632088609003
2,1.0,1.9935922253939728,6.736429557835909,0.49671975877844615,0.0037661868782649516
2,0.0,0.3039849961140699,-0.526318377756612,-0.5218027902535161,-0.0210907937415524
2,1.0,1.9935922253939728,6.736429557835909,0.49671975877844615,0.0037661868782649516
2,1.0,1.9935922253939728,6.736429557835909,0.49671975877844615,0.0037661868782649516
3,1.0,-0.31705016197551456,-0.8322535979329475,0.3063451373773787,-0.05154857782184862
5,1.0,-0.7034019124760265,-0.15412484136589127,-0.10134742023919219,-0.0020150749426895986
5,0.0,-0.9221457263814186,1.4615717032689457,-0.6005627123906161,-0.006028575448609526
5,1.0,-0.7034019124760265,-0.15412484136589127,-0.10134742023919219,-0.0020150749426895986
5,1.0,-0.7034019124760265,-0.15412484136589127,-0.10134742023919219,-0.0020150749426895986
6,1.0,-0.11271802619888541,-0.24022443868703702,0.4851346603583114,-0.053894761477407196
7,0.0,-0.0032408149354684126,-1.7637474442882104,0.051316341524256966,0.01921231685337448
7,1.0,-1.0941183771634149,-0.7097463204521569,-0.27181666173124164,0.019717180410727078
7,1.0,-1.094118377163415,-0.7097463204521569,-0.27181666173124164,0.019717180410727123
8,1.0,-0.648242928391219,-1.2165130365745231,-0.10522594929266453,0.04257833206313951
8,0.0,0.6119779080028632,-2.125835847431967,-0.24688284727435572,-0.0355203905208571
8,1.0,-0.648242928391219,-1.2165130365745231,-0.10522594929266453,0.04257833206313951
9,0.0,-1.4516118148820858,-1.6316498253189669,0.007499385269987759,-0.004003481565631815
10,1.0,-0.9023831507521609,1.9909145503468872,-0.21777834320376044,0.007158653470900181
11,1.0,1.0858857468544083,-0.9861853047151922,0.12965732102391053,0.01322688762427826
11,0.0,0.8543908231024047,-0.4337000168558884,-0.9188862005263606,-0.000845575609678989
11,1.0,1.0858857468544083,-0.9861853047151922,0.12965732102391053,0.01322688762427826
12,1.0,-0.9610719305291339,0.8363915760942415,0.10522381874534865,-0.006459551163238654
12,1.0,-0.9610719305291339,0.8363915760942415,0.10522381874534865,-0.006459551163238654
12,0.0,0.26867696284655174,-1.6876126528640252,0.27129479315258725,-0.015893760854893045
12,1.0,-0.9610719305291339,0.8363915760942415,0.10522381874534865,-0.006459551163238654
12,1.0,-0.9610719305291339,0.8363915760942415,0.10522381874534865,-0.006459551163238654
13,1.0,1.21386435559954,1.109104749703364,-0.6179209989346365,0.029535759380915516
13,0.0,0.4121239507572843,0.20311133387521232,-0.42012319878472887,-0.003536194907208398
14,1.0,-0.13802548833820713,2.1354194637571142,0.19766653111641092,0.005247211738739682
14,0.0,0.43301682231288136,1.1954365890073364,0.09239756017708545,0.002192974527279609
15,1.0,-0.11587704823165752,2.988859668830028,0.1205566024485086,0.002647505974980424
15,1.0,-0.11587704823165755,2.9888596688300275,0.1205566024485086,0.002647505974980327
15,0.0,-0.13769404107272837,-3.9623273601215776,-0.13517999230091637,-0.000305243905086211
17,0.0,0.7769372101251589,0.3296911440054615,-0.4301224953983913,0.05767858429317563
17,1.0,-0.3659010173484959,1.4220990404645693,0.04993041966757841,0.015286709716029578
17,1.0,-0.3659010173484959,1.4220990404645693,0.04993041966757841,0.015286709716029578
18,0.0,0.6826547442889357,2.3498442732728577,0.04656706857174184,-0.0017612516745269188
19,0.0,-0.1813630003201639,-4.141118292334217,0.20134074395620216,-0.0023300097158744093
19,1.0,-0.5547244128385194,1.810992665267792,0.014018675988712564,-0.0031607270539087268
19,1.0,-0.5547244128385198,1.8109926652677923,0.014018675988712564,-0.003160727053908595
21,0.0,0.4497524275853184,-3.976443803452289,-0.38060152285075627,-0.010739171545387102
22,1.0,-1.0172358761446576,1.1176427403898566,0.08704303234093375,0.02192764659436662
22,0.0,0.02594522956937318,0.561733193467024,0.18080283294515492,0.0007510568304956861
22,1.0,-1.0172358761446576,1.1176427403898566,0.08704303234093375,0.02192764659436662
23,0.0,-0.8035520877589344,-0.26489577480088244,-0.26534718060471185,0.010729988023535184
24,0.0,0.09897668423511699,-4.261625887568386,-0.1904750571768363,0.036153039173042245
25,1.0,-0.3206658363652197,3.2859232520487516,-0.16020654376398674,0.028451763539484837
25,1.0,-0.32066583636521956,3.2859232520487516,-0.16020654376398674,0.028451763539484864
26,0.0,-1.7297342401640843,-3.3730799866045302,0.053265335037170604,0.010663114205483881
27,1.0,0.36066612306529533,0.06985673468634784,0.1677074134320415,-0.013475920012412893
27,1.0,0.36066612306529533,0.06985673468634784,0.1677074134320415,-0.013475920012412893
28,0.0,-0.8696716083528713,-2.294917467513718,0.5358182750487985,0.005427178511893614
28,1.0,0.4888737052505881,-0.5344520564374365,0.1612057909657128,-0.017254002543289168
28,1.0,0.4888737052505881,-0.5344520564374365,0.1612057909657128,-0.017254002543289168
29,0.0,0.39592549059699067,-3.170884761415053,-0.029537619273436705,0.0345510605765309
30,0.0,0.5681025882414474,-4.845540138143935,0.027857764189808766,0.027272791999638772
31,1.0,1.2035970457346397,4.8811716283407405,-0.10859899793010346,0.0006432574284051321
