,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.8276
balance_train_Cutoff,0.3791
balance_train_Acc,0.8214
balance_train_MCC,0.6761
balance_train_Sen,0.9762
balance_train_Spe,0.6667
balance_train_PPV,0.7455
balance_train_NPV,0.9655
balance_train_Youden Index,0.6429
balance_train_AUC,0.8509
balance_train_95% CIs,[0.7909-0.9109]
balance_train_Std,0.0306
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.7253
train_Cutoff,0.3791
train_Acc,0.7717
train_MCC,0.6122
train_Sen,0.9767
train_Spe,0.6667
train_PPV,0.6000
train_NPV,0.9825
train_Youden Index,0.6434
train_AUC,0.8602
train_95% CIs,[0.7920-0.9284]
train_Std,0.0348
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.7028
test_Cutoff,0.4412
test_Acc,0.8182
test_MCC,0.6633
test_Sen,0.9474
test_Spe,0.7500
test_PPV,0.6667
test_NPV,0.9643
test_Youden Index,0.6974
test_AUC,0.8904
test_95% CIs,[0.8052-0.9755]
test_Std,0.0435
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.8596
cv_train_Cutoff,0.4450
cv_train_Acc,0.8304
cv_train_MCC,0.6715
cv_train_Sen,0.9196
cv_train_Spe,0.7411
cv_train_PPV,0.7803
cv_train_NPV,0.9022
cv_train_Youden Index,0.6607
cv_train_AUC,0.8777
cv_train_95% CIs,[0.8508-0.9046]
cv_train_Std,0.0137
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.7142
cv_val_Cutoff,0.5101
cv_val_Acc,0.7953
cv_val_MCC,0.5609
cv_val_Sen,0.7674
cv_val_Spe,0.8095
cv_val_PPV,0.6735
cv_val_NPV,0.8718
cv_val_Youden Index,0.5770
cv_val_AUC,0.8425
cv_val_95% CIs,[0.7699-0.9150]
cv_val_Std,0.0370
