,label,PCA_feature_11,PCA_feature_3,PCA_feature_28,PCA_feature_124,PCA_feature_122,PCA_feature_15,PCA_feature_134,PCA_feature_89
1,0.0,1.1438806873175698,-2.758241586647062,-1.0544758427857586,-0.0038927983166622687,0.007178882715669086,0.8182405334935939,3.677613769070831e-16,0.041444847683087725
1,1.0,0.2188137352112027,4.450455152928563,0.4604724654848585,0.0007043632088609003,-0.0074888299109399994,1.0229711445260035,-1.2698175844150228e-15,-0.00745362933035806
1,1.0,0.2188137352112027,4.450455152928563,0.4604724654848585,0.0007043632088609003,-0.0074888299109399994,1.0229711445260035,-1.2698175844150228e-15,-0.00745362933035806
1,1.0,0.2188137352112027,4.450455152928563,0.4604724654848585,0.0007043632088609003,-0.0074888299109399994,1.0229711445260035,-1.2698175844150228e-15,-0.00745362933035806
2,1.0,1.9935922253939728,6.736429557835909,0.49671975877844615,0.0037661868782649516,-0.0017769288352735644,0.005268789216660602,-1.6566609195578508e-16,0.0057724928774980505
2,0.0,0.3039849961140699,-0.526318377756612,-0.5218027902535161,-0.0210907937415524,0.00045440581563054375,-0.008948616007097482,4.839878497975292e-16,0.03430214457388931
2,1.0,1.9935922253939728,6.736429557835909,0.49671975877844615,0.0037661868782649516,-0.0017769288352735644,0.005268789216660602,-1.6566609195578508e-16,0.0057724928774980505
2,1.0,1.9935922253939728,6.736429557835909,0.49671975877844615,0.0037661868782649516,-0.0017769288352735644,0.005268789216660602,-1.6566609195578508e-16,0.0057724928774980505
3,1.0,-0.31705016197551456,-0.8322535979329475,0.3063451373773787,-0.05154857782184862,-0.0008305992703251889,-0.807185896432034,2.8709673527416157e-16,0.05697359237901361
5,1.0,-0.7034019124760265,-0.15412484136589127,-0.10134742023919219,-0.0020150749426895986,-0.009532833809313818,0.3842246870893829,-4.683753385137379e-17,0.10591494594292127
5,0.0,-0.9221457263814186,1.4615717032689457,-0.6005627123906161,-0.006028575448609526,-0.008178458054360724,-0.31946370811707786,6.071532165918825e-16,-0.1031534885487813
5,1.0,-0.7034019124760265,-0.15412484136589127,-0.10134742023919219,-0.0020150749426895986,-0.009532833809313818,0.3842246870893829,-4.683753385137379e-17,0.10591494594292127
5,1.0,-0.7034019124760265,-0.15412484136589127,-0.10134742023919219,-0.0020150749426895986,-0.009532833809313818,0.3842246870893829,-4.683753385137379e-17,0.10591494594292127
6,1.0,-0.11271802619888541,-0.24022443868703702,0.4851346603583114,-0.053894761477407196,0.07926951554697875,0.27509652517305844,-2.3245294578089215e-16,0.11399542576341845
7,0.0,-0.0032408149354684126,-1.7637474442882104,0.051316341524256966,0.01921231685337448,-0.023882966613334104,0.5358157179550025,2.905661822261152e-16,0.040157082811414196
7,1.0,-1.0941183771634149,-0.7097463204521569,-0.27181666173124164,0.019717180410727078,0.061723827280129345,0.47476333926353864,9.540979117872439e-17,-0.21993311698681686
7,1.0,-1.094118377163415,-0.7097463204521569,-0.27181666173124164,0.019717180410727123,0.06172382728012951,0.47476333926353864,1.6132928326584306e-16,-0.21993311698681683
8,1.0,-0.648242928391219,-1.2165130365745231,-0.10522594929266453,0.04257833206313951,-0.012509154836847256,0.34003265594178445,3.5561831257524545e-17,-0.06536671275062901
8,0.0,0.6119779080028632,-2.125835847431967,-0.24688284727435572,-0.0355203905208571,0.012881902456693368,-0.48592610860461827,2.671474153004283e-16,0.19955534088440086
