,Coef
PCA_feature_2,-0.039483612833658054
PCA_feature_3,0.1406279281617966
PCA_feature_10,-0.24141565886258676
PCA_feature_11,0.30906641832056964
PCA_feature_15,-0.2652156278316699
PCA_feature_127,301967557019298.25
PCA_feature_129,203552586036755.8
PCA_feature_131,-502403799838030.7
PCA_feature_132,478530001630795.1
PCA_feature_133,220909295061776.1
PCA_feature_138,-519864121075365.5
PCA_feature_139,-12391764080989.621
PCA_feature_140,-452459271857777.2
PCA_feature_151,-368049443138656.1
PCA_feature_154,-362562471304475.3
PCA_feature_167,-282244845601292.75
