,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.9824
balance_train_Cutoff,0.4996
balance_train_Acc,0.9524
balance_train_MCC,0.9058
balance_train_Sen,0.9762
balance_train_Spe,0.9286
balance_train_PPV,0.9318
balance_train_NPV,0.9750
balance_train_Youden Index,0.9048
balance_train_AUC,0.9831
balance_train_95% CIs,[0.9681-0.9980]
balance_train_Std,0.0076
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.9562
train_Cutoff,0.4996
train_Acc,0.9370
train_MCC,0.8645
train_Sen,0.9535
train_Spe,0.9286
train_PPV,0.8723
train_NPV,0.9750
train_Youden Index,0.8821
train_AUC,0.9767
train_95% CIs,[0.9554-0.9980]
train_Std,0.0109
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.3855
test_Cutoff,0.4969
test_Acc,0.6182
test_MCC,0.2312
test_Sen,0.6316
test_Spe,0.6111
test_PPV,0.4615
test_NPV,0.7586
test_Youden Index,0.2427
test_AUC,0.5848
test_95% CIs,[0.4212-0.7484]
test_Std,0.0835
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9954
cv_train_Cutoff,0.5014
cv_train_Acc,0.9673
cv_train_MCC,0.9345
cv_train_Sen,0.9673
cv_train_Spe,0.9673
cv_train_PPV,0.9673
cv_train_NPV,0.9673
cv_train_Youden Index,0.9345
cv_train_AUC,0.9955
cv_train_95% CIs,[0.9927-0.9984]
cv_train_Std,0.0014
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.4653
cv_val_Cutoff,0.4951
cv_val_Acc,0.6693
cv_val_MCC,0.2616
cv_val_Sen,0.5116
cv_val_Spe,0.7500
cv_val_PPV,0.5116
cv_val_NPV,0.7500
cv_val_Youden Index,0.2616
cv_val_AUC,0.6581
cv_val_95% CIs,[0.5568-0.7594]
cv_val_Std,0.0517
