,rank
PCA_feature_1,21
PCA_feature_2,12
PCA_feature_3,1
PCA_feature_4,14
PCA_feature_5,9
PCA_feature_6,4
PCA_feature_7,11
PCA_feature_8,16
PCA_feature_9,7
PCA_feature_10,20
PCA_feature_11,1
PCA_feature_12,3
PCA_feature_13,1
PCA_feature_14,1
PCA_feature_15,10
PCA_feature_16,8
PCA_feature_17,2
PCA_feature_18,11
PCA_feature_19,13
PCA_feature_20,4
PCA_feature_21,5
PCA_feature_22,10
PCA_feature_23,10
PCA_feature_24,1
PCA_feature_25,5
PCA_feature_26,4
PCA_feature_27,15
PCA_feature_28,17
PCA_feature_29,1
PCA_feature_30,8
PCA_feature_31,18
PCA_feature_32,7
PCA_feature_33,1
PCA_feature_34,5
PCA_feature_35,9
PCA_feature_36,12
PCA_feature_37,10
PCA_feature_38,4
PCA_feature_39,18
PCA_feature_40,10
PCA_feature_41,4
PCA_feature_42,6
PCA_feature_43,16
PCA_feature_44,12
PCA_feature_45,6
PCA_feature_46,14
PCA_feature_47,13
PCA_feature_48,5
PCA_feature_49,3
PCA_feature_50,16
PCA_feature_51,8
PCA_feature_52,21
PCA_feature_53,1
PCA_feature_54,8
PCA_feature_55,15
PCA_feature_56,12
PCA_feature_57,16
PCA_feature_58,21
PCA_feature_59,6
PCA_feature_60,1
PCA_feature_61,11
PCA_feature_62,21
PCA_feature_63,20
PCA_feature_64,20
PCA_feature_65,11
PCA_feature_66,11
PCA_feature_67,6
PCA_feature_68,10
PCA_feature_69,4
PCA_feature_70,4
PCA_feature_71,16
PCA_feature_72,9
PCA_feature_73,18
PCA_feature_74,9
PCA_feature_75,7
PCA_feature_76,14
PCA_feature_77,19
PCA_feature_78,20
PCA_feature_79,14
PCA_feature_80,14
PCA_feature_81,13
PCA_feature_82,19
PCA_feature_83,19
PCA_feature_84,10
PCA_feature_85,15
PCA_feature_86,19
PCA_feature_87,7
PCA_feature_88,17
PCA_feature_89,19
PCA_feature_90,5
PCA_feature_91,16
PCA_feature_92,9
PCA_feature_93,17
PCA_feature_94,4
PCA_feature_95,11
PCA_feature_96,19
PCA_feature_97,13
PCA_feature_98,21
PCA_feature_99,10
PCA_feature_100,17
PCA_feature_101,17
PCA_feature_102,7
PCA_feature_103,12
PCA_feature_104,18
PCA_feature_105,8
PCA_feature_106,6
PCA_feature_107,3
PCA_feature_108,7
PCA_feature_109,13
PCA_feature_110,13
PCA_feature_111,6
PCA_feature_112,16
PCA_feature_113,17
PCA_feature_114,20
PCA_feature_115,15
PCA_feature_116,16
PCA_feature_117,15
PCA_feature_118,19
PCA_feature_119,7
PCA_feature_120,17
PCA_feature_121,6
PCA_feature_122,18
PCA_feature_123,20
PCA_feature_124,7
PCA_feature_125,18
PCA_feature_126,9
PCA_feature_127,1
PCA_feature_128,9
PCA_feature_129,1
PCA_feature_130,20
PCA_feature_131,14
PCA_feature_132,15
PCA_feature_133,9
PCA_feature_134,5
PCA_feature_135,3
PCA_feature_136,14
PCA_feature_137,11
PCA_feature_138,12
PCA_feature_139,6
PCA_feature_140,21
PCA_feature_141,11
PCA_feature_142,1
PCA_feature_143,15
PCA_feature_144,15
PCA_feature_145,8
PCA_feature_146,3
PCA_feature_147,3
PCA_feature_148,18
PCA_feature_149,17
PCA_feature_150,18
PCA_feature_151,5
PCA_feature_152,19
PCA_feature_153,8
PCA_feature_154,20
PCA_feature_155,21
PCA_feature_156,3
PCA_feature_157,14
PCA_feature_158,12
PCA_feature_159,13
PCA_feature_160,1
PCA_feature_161,21
PCA_feature_162,1
PCA_feature_163,5
PCA_feature_164,13
PCA_feature_165,3
PCA_feature_166,8
PCA_feature_167,2
PCA_feature_168,12
