,label,PCA_feature_110,PCA_feature_124,PCA_feature_114
1,1.0,0.04226239089836448,-0.025485784054757488,0.1284272839353719
2,1.0,0.00818023548383462,-0.0027394974476784295,0.009089204769243298
2,0.0,0.0084220417626934,0.009122865308722639,-0.04438008662329716
3,0.0,0.6345490556559028,-0.23782055344313902,0.06259123555546817
4,0.0,-0.046924207925141494,0.011857536492165251,-0.0947237417344794
5,0.0,-0.03838634472281675,-0.002518789328636778,0.05190504250613459
5,1.0,-0.7512529314747729,0.7277241658000297,-0.2964501907656391
7,0.0,-0.22207297551079502,0.1658299215964103,0.025119273251128837
7,1.0,0.09578620562372892,-0.22052390078507117,-0.1438337129899872
8,1.0,0.07270843851904737,0.1093192254600823,-0.14194072290353443
9,0.0,0.0073510454553848414,-0.0016379256421700794,0.00035284060936324746
10,1.0,-0.00858113585488851,-0.008582594385902614,-0.0009534106242814477
11,1.0,-0.14233834782143637,0.025436363294366833,0.20360363896760852
11,0.0,-0.015784777957650986,0.01983051269327918,-0.048568674586042804
12,1.0,0.038344816033112766,0.028278983122229207,0.00279008329708208
13,0.0,-0.012985488460007244,7.690036710489984e-05,0.009116531359736446
13,1.0,-0.017688246976249267,-0.022072897884607576,0.021783500197044642
16,1.0,0.07762114947278076,0.017357005979267273,-0.03855060747503111
16,0.0,-0.08219060995119976,0.03004900094602518,0.0015536227736608343
17,1.0,-0.774480301293313,-0.42141351785737646,-0.7340883894786647
17,0.0,0.05713390927181648,-0.06654944458904322,0.028770509392512522
18,1.0,0.27686962071686555,-0.010165038090031386,-0.37010949852137764
18,0.0,-0.12909375537234935,0.057071275959497444,0.034452151130552444
19,1.0,-0.057142767595091515,-0.03728461119370999,-0.2736709563013546
19,0.0,-0.02363298277805681,-0.026051436346107237,0.03739726256253495
20,0.0,-0.10532655857130524,-0.04837546826176867,0.10019071588702423
20,1.0,0.07419714007784775,0.0119373363600339,-0.18339343564655092
21,0.0,-0.06241966574346752,0.05802715841093861,0.013010049219844444
21,1.0,-0.01983602481144363,-0.01143971581041281,-0.02646020485000178
22,0.0,0.03635029298308398,-0.025384662350752762,-0.016284882884003482
22,1.0,0.4687413999379916,-0.09758025710997045,0.36482806154985387
23,1.0,-0.08590875357121099,-0.11251646525797443,0.10131852005086203
23,0.0,1.264020702755107,0.7315940901046951,0.15406030243504976
24,0.0,0.15877828030426866,0.05713676533806805,0.0672223056414179
24,1.0,-0.23220388897676209,0.10535074924233456,-0.16576584785781512
25,0.0,-0.3313979082957506,-0.06422009161663572,0.37079656547161344
27,0.0,-0.14443472927130985,0.08661938194678101,0.03922001430996687
27,1.0,0.07453453096330533,-0.04422522168394502,0.15237105067924062
28,0.0,0.038522105303214954,0.07636170065310915,0.02569938323364801
28,1.0,0.0845736929293924,0.03601657564272332,0.031680937854888805
29,1.0,-0.292339540889978,-0.13504519562665984,-0.12414686530516647
29,0.0,0.01112112247610475,0.03560473067652878,-0.057505680811586635
30,0.0,-0.07120111374966304,-0.012244056484214616,0.2138969766750117
31,1.0,0.08575318700242152,0.04204446841983195,0.01755732090498785
32,1.0,-0.0018120722334286632,0.25984625758900326,0.06947908185137625
33,1.0,-0.042092986575974344,-0.0350264406170662,0.11434159204428584
34,1.0,-0.03024005028383764,-0.009262856979247794,-0.047986663702780305
34,0.0,-0.04507721864526898,0.05920287780935457,-0.03328324993050247
35,0.0,0.032604952318085245,0.04699783185968626,0.024930527520994034
35,1.0,-0.18551812944604357,0.12692615288652048,0.15012295031180173
36,0.0,0.0699601369028186,0.14100189596092572,0.16634528610376034
37,1.0,0.25213170866099277,0.3650211372137971,0.22556862109680054
37,0.0,-0.0892088312080839,-0.062160518416501054,-0.07110705039519172
38,1.0,0.15471719184215044,-0.41421422479658204,0.7572562059658008
39,1.0,0.07119742951451674,-0.5683644517230515,0.04335495658199201
39,0.0,-0.2037876706304003,0.024059240233000906,-0.07182574816888829
40,1.0,0.1451863534140584,-0.1868644363406736,0.44625259097785797
41,0.0,-0.5315309386897226,0.34725401386059773,0.0934058061219796
41,1.0,-0.5009203693904445,-0.0948521341937576,0.1615561666807987
42,1.0,0.034110080407215915,0.04617702765760445,-0.17844101009729857
42,0.0,-0.13330263656702251,0.4428667404161636,0.9419591063565933
43,1.0,0.05606695936093109,0.00990845529157347,-4.026722535066529e-05
43,0.0,0.5106195991387426,-0.24322087126497924,0.038438513673068844
45,1.0,-0.3668494595690226,0.04777210094840201,-0.5805824115621223
46,0.0,-0.11825604136974649,0.010525359057296485,-0.18218758967160842
47,0.0,0.05455085873787796,-0.03240256954639181,-0.4936500477875775
49,0.0,0.05156775616262292,0.028449343749535005,-0.0893046143121965
50,0.0,0.515600233664385,-0.23594252807648536,-0.4991108283422546
50,1.0,0.05541613171457857,0.018121155782308704,-0.24407116169648102
