,rank
PCA_feature_1,16
PCA_feature_2,4
PCA_feature_3,1
PCA_feature_4,7
PCA_feature_5,5
PCA_feature_6,16
PCA_feature_7,14
PCA_feature_8,9
PCA_feature_9,19
PCA_feature_10,2
PCA_feature_11,2
PCA_feature_12,8
PCA_feature_13,4
PCA_feature_14,6
PCA_feature_15,4
PCA_feature_16,12
PCA_feature_17,7
PCA_feature_18,15
PCA_feature_19,3
PCA_feature_20,11
PCA_feature_21,6
PCA_feature_22,3
PCA_feature_23,2
PCA_feature_24,16
PCA_feature_25,19
PCA_feature_26,14
PCA_feature_27,3
PCA_feature_28,18
PCA_feature_29,5
PCA_feature_30,3
PCA_feature_31,22
PCA_feature_32,15
PCA_feature_33,10
PCA_feature_34,11
PCA_feature_35,5
PCA_feature_36,12
PCA_feature_37,4
PCA_feature_38,6
PCA_feature_39,22
PCA_feature_40,11
PCA_feature_41,16
PCA_feature_42,5
PCA_feature_43,19
PCA_feature_44,14
PCA_feature_45,16
PCA_feature_46,8
PCA_feature_47,10
PCA_feature_48,10
PCA_feature_49,14
PCA_feature_50,18
PCA_feature_51,5
PCA_feature_52,7
PCA_feature_53,17
PCA_feature_54,3
PCA_feature_55,17
PCA_feature_56,10
PCA_feature_57,14
PCA_feature_58,17
PCA_feature_59,3
PCA_feature_60,21
PCA_feature_61,20
PCA_feature_62,14
PCA_feature_63,13
PCA_feature_64,21
PCA_feature_65,12
PCA_feature_66,21
PCA_feature_67,10
PCA_feature_68,15
PCA_feature_69,11
PCA_feature_70,15
PCA_feature_71,6
PCA_feature_72,12
PCA_feature_73,9
PCA_feature_74,5
PCA_feature_75,21
PCA_feature_76,21
PCA_feature_77,12
PCA_feature_78,13
PCA_feature_79,8
PCA_feature_80,13
PCA_feature_81,9
PCA_feature_82,16
PCA_feature_83,14
PCA_feature_84,8
PCA_feature_85,7
PCA_feature_86,12
PCA_feature_87,9
PCA_feature_88,22
PCA_feature_89,10
PCA_feature_90,22
PCA_feature_91,17
PCA_feature_92,9
PCA_feature_93,19
PCA_feature_94,21
PCA_feature_95,8
PCA_feature_96,15
PCA_feature_97,22
PCA_feature_98,13
PCA_feature_99,20
PCA_feature_100,13
PCA_feature_101,10
PCA_feature_102,7
PCA_feature_103,21
PCA_feature_104,15
PCA_feature_105,8
PCA_feature_106,13
PCA_feature_107,8
PCA_feature_108,11
PCA_feature_109,11
PCA_feature_110,13
PCA_feature_111,20
PCA_feature_112,22
PCA_feature_113,19
PCA_feature_114,12
PCA_feature_115,18
PCA_feature_116,19
PCA_feature_117,22
PCA_feature_118,19
PCA_feature_119,20
PCA_feature_120,20
PCA_feature_121,12
PCA_feature_122,11
PCA_feature_123,6
PCA_feature_124,7
PCA_feature_125,18
PCA_feature_126,19
PCA_feature_127,7
PCA_feature_128,11
PCA_feature_129,2
PCA_feature_130,8
PCA_feature_131,2
PCA_feature_132,4
PCA_feature_133,6
PCA_feature_134,5
PCA_feature_135,16
PCA_feature_136,4
PCA_feature_137,20
PCA_feature_138,3
PCA_feature_139,4
PCA_feature_140,2
PCA_feature_141,17
PCA_feature_142,9
PCA_feature_143,9
PCA_feature_144,7
PCA_feature_145,20
PCA_feature_146,15
PCA_feature_147,18
PCA_feature_148,16
PCA_feature_149,17
PCA_feature_150,5
PCA_feature_151,6
PCA_feature_152,10
PCA_feature_153,17
PCA_feature_154,2
PCA_feature_155,18
PCA_feature_156,22
PCA_feature_157,3
PCA_feature_158,20
PCA_feature_159,18
PCA_feature_160,18
PCA_feature_161,4
PCA_feature_162,21
PCA_feature_163,9
PCA_feature_164,13
PCA_feature_165,17
PCA_feature_166,15
PCA_feature_167,6
PCA_feature_168,14
