,Coef
PCA_feature_2,-0.909690784533659
PCA_feature_10,-0.8795584624738474
PCA_feature_11,-1.124694366561219
PCA_feature_13,-1.6876569868811668
PCA_feature_14,-2.1258017420491324
PCA_feature_20,-1.7126699628945852
PCA_feature_33,-1.4479124750663386
PCA_feature_129,8.128955289792714e-15
PCA_feature_147,-3.0861611073394706e-15
PCA_feature_148,-3.9851036771217835e-15
PCA_feature_150,-5.374124027106079e-15
PCA_feature_159,-8.6905202150108015e-16
PCA_feature_160,1.8821743979081976e-15
PCA_feature_161,2.995063321359757e-16
PCA_feature_167,9.799439931291428e-16
