,weight
PCA_feature_1,1.0141972499509269
PCA_feature_2,0.9207516983680119
PCA_feature_3,1.280277467677316
PCA_feature_4,0.4426523320331975
PCA_feature_5,0.5012094098750025
PCA_feature_6,0.7189623489378256
PCA_feature_7,0.9294700218640346
PCA_feature_8,0.6106300977207476
PCA_feature_9,0.8996610050078627
PCA_feature_10,0.6037025328359938
PCA_feature_11,1.7432232170570061
PCA_feature_12,0.5290981795716759
PCA_feature_13,1.067785403213266
PCA_feature_14,0.2707175890311929
PCA_feature_15,1.2352294296432647
PCA_feature_16,0.9627774295382411
PCA_feature_17,1.6499706124828128
PCA_feature_18,1.1009073818551873
PCA_feature_19,0.9153130757051187
PCA_feature_20,0.12838450344004967
PCA_feature_21,0.23650842299388927
PCA_feature_22,-0.007867735078556957
PCA_feature_23,0.20048788302163928
PCA_feature_24,0.6092058790299998
PCA_feature_25,0.19301701709560545
PCA_feature_26,0.6209914969286686
PCA_feature_27,-0.4407192312372842
PCA_feature_28,-0.24325267926345795
PCA_feature_29,0.6411743735433516
PCA_feature_30,0.5157683142182706
PCA_feature_31,0.7020629662189004
PCA_feature_32,0.7098908291687299
PCA_feature_33,0.5461211161290971
PCA_feature_34,0.36115176826610473
PCA_feature_35,0.3410414432330173
PCA_feature_36,0.5621151610764263
PCA_feature_37,1.282067143982542
PCA_feature_38,0.13393216449384027
PCA_feature_39,-0.15319470187068124
PCA_feature_40,0.8131872636502419
PCA_feature_41,0.786630085502042
PCA_feature_42,0.6931967754182065
PCA_feature_43,-0.16765749348088058
PCA_feature_44,0.4313996795865108
PCA_feature_45,0.2716305900425141
PCA_feature_46,0.27559106589780274
PCA_feature_47,0.6490544985852198
PCA_feature_48,0.7315496578212902
PCA_feature_49,0.8162143166793264
PCA_feature_50,0.2261822123418859
PCA_feature_51,0.2832509657387821
PCA_feature_52,0.7637963944761827
PCA_feature_53,-0.22236660348509416
PCA_feature_54,0.349151135813934
PCA_feature_55,0.46305781422420017
PCA_feature_56,0.1707419590706184
PCA_feature_57,0.12573477442663603
PCA_feature_58,-0.4334485399044338
PCA_feature_59,0.14751553923782326
PCA_feature_60,0.4447369003671016
PCA_feature_61,0.16084177959010593
PCA_feature_62,-0.2883474005867305
PCA_feature_63,-0.06672912040190776
PCA_feature_64,-0.11428103169393064
PCA_feature_65,0.30933506109153347
PCA_feature_66,-0.41466017199045485
PCA_feature_67,0.3421402044289172
PCA_feature_68,0.5787820484521352
PCA_feature_69,0.04356725262770905
PCA_feature_70,-0.027470617605136416
PCA_feature_71,-0.13768490878786893
PCA_feature_72,0.2139062715830945
PCA_feature_73,0.6191408098322094
PCA_feature_74,-0.1334261946658059
PCA_feature_75,0.3551572346940694
PCA_feature_76,0.7944644561859221
PCA_feature_77,0.2359939790772959
PCA_feature_78,0.8205722287613519
PCA_feature_79,0.2390871558345826
PCA_feature_80,1.0129534017523927
PCA_feature_81,-0.2016896125676117
PCA_feature_82,0.4659170720624953
PCA_feature_83,-0.45033003290136037
PCA_feature_84,0.6075846916341638
PCA_feature_85,0.08435864196707037
PCA_feature_86,-0.3747952177827356
PCA_feature_87,0.43882092290632657
PCA_feature_88,3.024672885091297
PCA_feature_89,1.2093842896928033
PCA_feature_90,0.6032883650097999
