,label,PCA_feature_88,PCA_feature_11,PCA_feature_17,PCA_feature_137,PCA_feature_37,PCA_feature_3,PCA_feature_167,PCA_feature_130,PCA_feature_15,PCA_feature_89,PCA_feature_142,PCA_feature_138,PCA_feature_18,PCA_feature_13,PCA_feature_117,PCA_feature_97
1,0.0,0.2849800000815409,18.577186602608442,0.8238866272604934,-1.9845236565174673e-15,3.24746796517082,-20.704172677364035,-8.396061623727746e-16,-1.908195823574488e-15,0.41994681094431857,-0.6367818614281252,-5.030698080332741e-16,-1.3773704399255848e-15,-0.72802498281346,0.5458396516213753,0.17243805802209639,-0.11868308170767858
1,1.0,0.22385124384908778,4.0006981598034885,-1.020926169526052,5.336009412104659e-15,2.8164702887989344,22.923878217561438,-8.951173136040325e-16,3.5882755100580255e-15,-6.196715220382919,-0.04621966655347862,-5.637851296924623e-16,-2.55351295663786e-15,2.5020501567682967,6.281213650839398,-0.02757904837288923,-0.21075786335793611
2,0.0,-0.19422968341802965,0.9291416531873937,-3.6908183326337762,5.537237335317968e-15,2.9729400690385126,-4.659755304834523,-8.326672684688674e-17,2.1441182163073336e-15,0.3481836993852655,0.16158807344257603,1.3877787807814457e-17,-1.4502288259166107e-15,-2.499634781085889,-3.717302344050841,0.05829159567015621,-0.004529685745653864
2,1.0,-0.021889964987214305,7.77545107455297,0.39236503532139094,8.049116928532385e-15,0.11802108422031035,32.129038064447805,-1.096345236817342e-15,-2.1163626406917047e-15,0.7626072114964566,0.01727244281063471,-1.1657341758564144e-15,1.457167719820518e-16,2.6848851689770856,-12.511770909106481,-0.015032229169668739,-0.01944381576158736
3,1.0,-0.02455470958324693,-3.2045069534109034,0.08203851136958529,-3.9898639947466563e-17,2.3084246360537537,-8.496784974305262,1.3530843112619095e-16,4.787836793695988e-16,3.790790912225049,0.5097801284615244,-5.0306980803327406e-17,-9.43689570931383e-16,-2.4665031099495334,-0.35516190139644943,-0.26823266585084526,0.2493263405296155
5,1.0,0.5559858792202086,-1.9828200814900985,0.693643624833751,-8.326672684688674e-16,0.29822164787055133,-1.4797168132544616,-5.412337245047638e-16,6.245004513516506e-17,1.7300513956053625,0.1419785995591155,6.865168156178214e-16,1.4432899320127035e-15,2.7917984565495693,3.4130552704468253,0.20864146269860134,0.1278393834548808
5,0.0,0.042606990877540066,-1.9817764601887338,-0.38698346865864114,-1.1934897514720433e-15,3.4810493718253803,5.616500721972716,-2.3592239273284576e-16,-3.698430450782553e-15,1.1068755096068545,0.10722844283871322,1.2200865860158283e-15,1.1310397063368782e-15,6.471988061360066,-3.279802038660538,-0.07052567284314261,-0.006632099009956399
6,1.0,0.08404101676982144,-1.1114766481007963,-0.7100023546717237,-8.396061623727746e-16,-2.1127050003374417,-5.143296072004946,-5.620504062164855e-16,-1.3149203947904198e-15,-1.9448535688124375,-0.03286445106710344,1.7728873924482969e-15,2.0816681711721685e-16,-1.5221332972057358,2.524770844681156,0.41888610518474473,0.28692720882523265
7,0.0,-0.25918686835940186,7.184854614979039,2.7264043528656146,-2.123301534595612e-15,-1.1296175613480073,-13.282130587128474,-1.8041124150158794e-16,-1.1921887088650607e-15,3.8874170202975336,-0.015039482463434034,1.4589024432964948e-15,1.0130785099704553e-15,0.19888264415619059,0.9570888840127757,-0.1911192224807412,0.87788260991601
7,1.0,-0.679852768581926,-3.638702520880764,-1.2633056188911116,-2.1198320876436583e-15,0.23906015425203544,-3.4308148144348847,-3.469446951953614e-16,-8.465450562766819e-16,2.434653863638206,0.2408216443565761,-5.828670879282072e-16,-2.983724378680108e-16,1.368075314742069,2.389264262677972,-0.249507727312561,-0.48851670032571565
