,Coef
PCA_feature_2,-0.7120792826417017
PCA_feature_10,-0.4273292010166121
PCA_feature_11,-0.5619525691330685
PCA_feature_13,-1.0841901109529908
PCA_feature_14,-1.5460153732010613
PCA_feature_16,0.553286193328566
PCA_feature_20,-1.5092694380624103
PCA_feature_25,0.6373799512147704
PCA_feature_26,-1.1899654408704128
PCA_feature_33,-1.1731505467129717
PCA_feature_60,-0.9325283928532656
PCA_feature_129,7.85618228717646e-15
PCA_feature_138,-7.638852944965136e-15
PCA_feature_147,-4.944889160039141e-15
PCA_feature_148,-4.829142011178247e-15
PCA_feature_150,-7.142747290505012e-15
PCA_feature_159,-1.1213946214444688e-15
PCA_feature_160,1.9040406310915645e-15
PCA_feature_161,-3.963480560705358e-16
PCA_feature_167,8.706584838077075e-16
