,rank
PCA_feature_1,16
PCA_feature_2,1
PCA_feature_3,1
PCA_feature_4,8
PCA_feature_5,10
PCA_feature_6,7
PCA_feature_7,14
PCA_feature_8,8
PCA_feature_9,2
PCA_feature_10,3
PCA_feature_11,1
PCA_feature_12,3
PCA_feature_13,1
PCA_feature_14,17
PCA_feature_15,16
PCA_feature_16,1
PCA_feature_17,19
PCA_feature_18,5
PCA_feature_19,9
PCA_feature_20,20
PCA_feature_21,8
PCA_feature_22,10
PCA_feature_23,2
PCA_feature_24,7
PCA_feature_25,2
PCA_feature_26,1
PCA_feature_27,18
PCA_feature_28,15
PCA_feature_29,12
PCA_feature_30,8
PCA_feature_31,4
PCA_feature_32,12
PCA_feature_33,20
PCA_feature_34,17
PCA_feature_35,4
PCA_feature_36,4
PCA_feature_37,15
PCA_feature_38,9
PCA_feature_39,8
PCA_feature_40,5
PCA_feature_41,3
PCA_feature_42,19
PCA_feature_43,19
PCA_feature_44,7
PCA_feature_45,15
PCA_feature_46,9
PCA_feature_47,19
PCA_feature_48,5
PCA_feature_49,20
PCA_feature_50,11
PCA_feature_51,5
PCA_feature_52,5
PCA_feature_53,5
PCA_feature_54,4
PCA_feature_55,11
PCA_feature_56,8
PCA_feature_57,8
PCA_feature_58,2
PCA_feature_59,16
PCA_feature_60,15
PCA_feature_61,3
PCA_feature_62,17
PCA_feature_63,15
PCA_feature_64,21
PCA_feature_65,18
PCA_feature_66,19
PCA_feature_67,7
PCA_feature_68,18
PCA_feature_69,6
PCA_feature_70,3
PCA_feature_71,5
PCA_feature_72,17
PCA_feature_73,14
PCA_feature_74,13
PCA_feature_75,14
PCA_feature_76,10
PCA_feature_77,13
PCA_feature_78,9
PCA_feature_79,12
PCA_feature_80,16
PCA_feature_81,21
PCA_feature_82,14
PCA_feature_83,20
PCA_feature_84,5
PCA_feature_85,11
PCA_feature_86,19
PCA_feature_87,13
PCA_feature_88,17
PCA_feature_89,12
PCA_feature_90,20
PCA_feature_91,18
PCA_feature_92,14
PCA_feature_93,9
PCA_feature_94,6
PCA_feature_95,12
PCA_feature_96,19
PCA_feature_97,13
PCA_feature_98,15
PCA_feature_99,12
PCA_feature_100,18
PCA_feature_101,21
PCA_feature_102,6
PCA_feature_103,13
PCA_feature_104,20
PCA_feature_105,6
PCA_feature_106,6
PCA_feature_107,11
PCA_feature_108,9
PCA_feature_109,6
PCA_feature_110,15
PCA_feature_111,17
PCA_feature_112,18
PCA_feature_113,19
PCA_feature_114,12
PCA_feature_115,10
PCA_feature_116,17
PCA_feature_117,21
PCA_feature_118,16
PCA_feature_119,7
PCA_feature_120,11
PCA_feature_121,11
PCA_feature_122,7
PCA_feature_123,21
PCA_feature_124,14
PCA_feature_125,15
PCA_feature_126,13
PCA_feature_127,13
PCA_feature_128,11
PCA_feature_129,7
PCA_feature_130,4
PCA_feature_131,1
PCA_feature_132,7
PCA_feature_133,6
PCA_feature_134,21
PCA_feature_135,1
PCA_feature_136,11
PCA_feature_137,1
PCA_feature_138,16
PCA_feature_139,17
PCA_feature_140,21
PCA_feature_141,16
PCA_feature_142,1
PCA_feature_143,3
PCA_feature_144,16
PCA_feature_145,4
PCA_feature_146,3
PCA_feature_147,1
PCA_feature_148,9
PCA_feature_149,10
PCA_feature_150,10
PCA_feature_151,14
PCA_feature_152,18
PCA_feature_153,1
PCA_feature_154,8
PCA_feature_155,3
PCA_feature_156,9
PCA_feature_157,20
PCA_feature_158,4
PCA_feature_159,14
PCA_feature_160,12
PCA_feature_161,10
PCA_feature_162,4
PCA_feature_163,10
PCA_feature_164,18
PCA_feature_165,20
PCA_feature_166,21
PCA_feature_167,6
PCA_feature_168,13
