,rank
PCA_feature_1,15
PCA_feature_2,3
PCA_feature_3,1
PCA_feature_4,6
PCA_feature_5,4
PCA_feature_6,15
PCA_feature_7,13
PCA_feature_8,8
PCA_feature_9,18
PCA_feature_10,1
PCA_feature_11,1
PCA_feature_12,7
PCA_feature_13,3
PCA_feature_14,5
PCA_feature_15,3
PCA_feature_16,11
PCA_feature_17,6
PCA_feature_18,14
PCA_feature_19,2
PCA_feature_20,10
PCA_feature_21,5
PCA_feature_22,2
PCA_feature_23,1
PCA_feature_24,15
PCA_feature_25,18
PCA_feature_26,13
PCA_feature_27,2
PCA_feature_28,17
PCA_feature_29,4
PCA_feature_30,2
PCA_feature_31,21
PCA_feature_32,14
PCA_feature_33,9
PCA_feature_34,10
PCA_feature_35,4
PCA_feature_36,11
PCA_feature_37,3
PCA_feature_38,5
PCA_feature_39,21
PCA_feature_40,10
PCA_feature_41,15
PCA_feature_42,4
PCA_feature_43,18
PCA_feature_44,13
PCA_feature_45,15
PCA_feature_46,7
PCA_feature_47,9
PCA_feature_48,9
PCA_feature_49,13
PCA_feature_50,17
PCA_feature_51,4
PCA_feature_52,6
PCA_feature_53,16
PCA_feature_54,2
PCA_feature_55,16
PCA_feature_56,9
PCA_feature_57,13
PCA_feature_58,16
PCA_feature_59,2
PCA_feature_60,20
PCA_feature_61,19
PCA_feature_62,13
PCA_feature_63,12
PCA_feature_64,20
PCA_feature_65,11
PCA_feature_66,20
PCA_feature_67,9
PCA_feature_68,14
PCA_feature_69,10
PCA_feature_70,14
PCA_feature_71,5
PCA_feature_72,11
PCA_feature_73,8
PCA_feature_74,4
PCA_feature_75,20
PCA_feature_76,20
PCA_feature_77,11
PCA_feature_78,12
PCA_feature_79,7
PCA_feature_80,12
PCA_feature_81,8
PCA_feature_82,15
PCA_feature_83,13
PCA_feature_84,7
PCA_feature_85,6
PCA_feature_86,11
PCA_feature_87,8
PCA_feature_88,21
PCA_feature_89,9
PCA_feature_90,21
PCA_feature_91,16
PCA_feature_92,8
PCA_feature_93,18
PCA_feature_94,20
PCA_feature_95,7
PCA_feature_96,14
PCA_feature_97,21
PCA_feature_98,12
PCA_feature_99,19
PCA_feature_100,12
PCA_feature_101,9
PCA_feature_102,6
PCA_feature_103,20
PCA_feature_104,14
PCA_feature_105,7
PCA_feature_106,12
PCA_feature_107,7
PCA_feature_108,10
PCA_feature_109,10
PCA_feature_110,12
PCA_feature_111,19
PCA_feature_112,21
PCA_feature_113,18
PCA_feature_114,11
PCA_feature_115,17
PCA_feature_116,18
PCA_feature_117,21
PCA_feature_118,18
PCA_feature_119,19
PCA_feature_120,19
PCA_feature_121,11
PCA_feature_122,10
PCA_feature_123,5
PCA_feature_124,6
PCA_feature_125,17
PCA_feature_126,18
PCA_feature_127,6
PCA_feature_128,10
PCA_feature_129,1
PCA_feature_130,7
PCA_feature_131,1
PCA_feature_132,3
PCA_feature_133,5
PCA_feature_134,4
PCA_feature_135,15
PCA_feature_136,3
PCA_feature_137,19
PCA_feature_138,2
PCA_feature_139,3
PCA_feature_140,1
PCA_feature_141,16
PCA_feature_142,8
PCA_feature_143,8
PCA_feature_144,6
PCA_feature_145,19
PCA_feature_146,14
PCA_feature_147,17
PCA_feature_148,15
PCA_feature_149,16
PCA_feature_150,4
PCA_feature_151,5
PCA_feature_152,9
PCA_feature_153,16
PCA_feature_154,1
PCA_feature_155,17
PCA_feature_156,21
PCA_feature_157,2
PCA_feature_158,19
PCA_feature_159,17
PCA_feature_160,17
PCA_feature_161,3
PCA_feature_162,20
PCA_feature_163,8
PCA_feature_164,12
PCA_feature_165,16
PCA_feature_166,14
PCA_feature_167,5
PCA_feature_168,13
