,Coef
PCA_feature_2,-0.8423914329726492
PCA_feature_10,-0.7009339989101318
PCA_feature_11,-0.9184124389979627
PCA_feature_13,-1.3107764439941894
PCA_feature_14,-1.866749804719673
PCA_feature_16,0.35704720868742823
PCA_feature_20,-1.4009250159162947
PCA_feature_25,0.42835975505637025
PCA_feature_26,-1.4416304645723588
PCA_feature_33,-0.8295079684912668
PCA_feature_60,-0.09024709334445646
PCA_feature_129,0.0
PCA_feature_138,0.0
PCA_feature_147,0.0
PCA_feature_148,0.0
PCA_feature_150,0.0
PCA_feature_159,0.0
PCA_feature_160,0.0
PCA_feature_161,0.0
PCA_feature_167,0.0
