,Number,PosNum,NegNum,AUC,95% CIs,Std,AUC-PR,Cutoff,MCC,Acc,Youden Index,Sen,Spe,PPV,NPV
Mean_PCA_Relief_6_GP,672,336,336,0.8223,[0.7921-0.8525],0.0154,0.8253,0.4998,0.4691,0.7307,0.4613,0.8214,0.6399,0.6952,0.7818
Mean_PCA_Relief_6_NB,672,336,336,0.7843,[0.7498-0.8188],0.0176,0.7612,0.4666,0.4692,0.7292,0.4583,0.8363,0.6220,0.6887,0.7917
Mean_PCA_Relief_7_SVM,672,336,336,0.7763,[0.7417-0.8108],0.0176,0.7725,0.4829,0.3974,0.6949,0.3899,0.7917,0.5982,0.6633,0.7417
Mean_PCA_Relief_7_LDA,672,336,336,0.7915,[0.7578-0.8252],0.0172,0.7792,0.4958,0.4628,0.7307,0.4613,0.7708,0.6905,0.7135,0.7508
Mean_PCA_Relief_7_AE,672,336,336,0.7583,[0.7226-0.7941],0.0182,0.7639,0.5330,0.3941,0.6905,0.3810,0.8185,0.5625,0.6517,0.7560
Mean_PCA_Relief_7_RF,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,0.6200,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_Relief_7_LR,672,336,336,0.7923,[0.7586-0.8259],0.0172,0.7817,0.5009,0.4841,0.7411,0.4821,0.7857,0.6964,0.7213,0.7647
Mean_PCA_Relief_7_LRLasso,672,336,336,0.7864,[0.7524-0.8204],0.0173,0.7798,0.5084,0.4682,0.7336,0.4673,0.7649,0.7024,0.7199,0.7492
Mean_PCA_Relief_7_AB,672,336,336,0.9999,[0.9998-1.0000],0.0001,0.9999,0.5027,0.9911,0.9955,0.9911,0.9940,0.9970,0.9970,0.9941
Mean_PCA_Relief_7_DT,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_Relief_7_GP,672,336,336,0.8634,[0.8371-0.8898],0.0134,0.8600,0.5138,0.5700,0.7842,0.5685,0.8214,0.7470,0.7645,0.8071
Mean_PCA_Relief_7_NB,672,336,336,0.7944,[0.7609-0.8280],0.0171,0.7771,0.4914,0.4911,0.7411,0.4821,0.8363,0.6458,0.7025,0.7978
Mean_PCA_Relief_8_SVM,672,336,336,0.8006,[0.7675-0.8338],0.0169,0.7883,0.5000,0.5020,0.7485,0.4970,0.8185,0.6786,0.7180,0.7889
Mean_PCA_Relief_8_LDA,672,336,336,0.8036,[0.7707-0.8364],0.0168,0.7893,0.5033,0.4924,0.7455,0.4911,0.7827,0.7083,0.7285,0.7653
Mean_PCA_Relief_8_AE,672,336,336,0.7264,[0.6889-0.7639],0.0191,0.7188,0.5003,0.3284,0.6637,0.3274,0.7024,0.6250,0.6519,0.6774
Mean_PCA_Relief_8_RF,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,0.6100,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_Relief_8_LR,672,336,336,0.7974,[0.7640-0.8307],0.0170,0.7847,0.5015,0.4938,0.7455,0.4911,0.7976,0.6935,0.7224,0.7741
Mean_PCA_Relief_8_LRLasso,672,336,336,0.7888,[0.7549-0.8227],0.0173,0.7810,0.5113,0.4779,0.7381,0.4762,0.7798,0.6964,0.7198,0.7597
Mean_PCA_Relief_8_AB,672,336,336,1.0000,[0.9999-1.0000],0.0000,1.0000,0.5034,0.9970,0.9985,0.9970,1.0000,0.9970,0.9970,1.0000
Mean_PCA_Relief_8_DT,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_Relief_8_GP,672,336,336,0.8771,[0.8522-0.9020],0.0127,0.8698,0.5172,0.6087,0.8036,0.6071,0.8393,0.7679,0.7833,0.8269
Mean_PCA_Relief_8_NB,672,336,336,0.8028,[0.7697-0.8359],0.0169,0.7834,0.5187,0.5136,0.7545,0.5089,0.8214,0.6875,0.7244,0.7938
Mean_PCA_Relief_9_SVM,672,336,336,0.8053,[0.7725-0.8382],0.0168,0.7932,0.5116,0.4891,0.7440,0.4881,0.7768,0.7113,0.7291,0.7611
Mean_PCA_Relief_9_LDA,672,336,336,0.8085,[0.7760-0.8411],0.0166,0.7941,0.4703,0.5093,0.7500,0.5000,0.8452,0.6548,0.7100,0.8088
Mean_PCA_Relief_9_AE,672,336,336,0.7444,[0.7075-0.7813],0.0188,0.7308,0.4946,0.3811,0.6905,0.3810,0.6756,0.7054,0.6963,0.6850
Mean_PCA_Relief_9_RF,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,0.6250,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_Relief_9_LR,672,336,336,0.8036,[0.7707-0.8366],0.0168,0.7898,0.4741,0.4945,0.7426,0.4851,0.8393,0.6458,0.7032,0.8007
Mean_PCA_Relief_9_LRLasso,672,336,336,0.7941,[0.7606-0.8276],0.0171,0.7867,0.4916,0.4797,0.7366,0.4732,0.8185,0.6548,0.7033,0.7829
Mean_PCA_Relief_9_AB,672,336,336,1.0000,[0.9999-1.0000],0.0000,1.0000,0.5032,0.9970,0.9985,0.9970,0.9970,1.0000,1.0000,0.9970
Mean_PCA_Relief_9_DT,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_Relief_9_GP,672,336,336,0.8993,[0.8769-0.9216],0.0114,0.8877,0.4737,0.6567,0.8244,0.6488,0.9018,0.7470,0.7809,0.8838
Mean_PCA_Relief_9_NB,672,336,336,0.8176,[0.7859-0.8493],0.0162,0.8074,0.6022,0.5122,0.7560,0.5119,0.7738,0.7381,0.7471,0.7654
Mean_PCA_Relief_10_SVM,672,336,336,0.8090,[0.7764-0.8416],0.0166,0.7960,0.5052,0.4989,0.7485,0.4970,0.7917,0.7054,0.7288,0.7720
Mean_PCA_Relief_10_LDA,672,336,336,0.8070,[0.7742-0.8397],0.0167,0.7926,0.4881,0.4983,0.7470,0.4940,0.8125,0.6815,0.7184,0.7842
Mean_PCA_Relief_10_AE,672,336,336,0.6798,[0.6393-0.7203],0.0207,0.6497,0.4992,0.3288,0.6622,0.3244,0.7440,0.5804,0.6394,0.6940
Mean_PCA_Relief_10_RF,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,0.6350,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_Relief_10_LR,672,336,336,0.8035,[0.7704-0.8365],0.0169,0.7900,0.4754,0.4994,0.7455,0.4911,0.8363,0.6548,0.7078,0.8000
Mean_PCA_Relief_10_LRLasso,672,336,336,0.7952,[0.7617-0.8286],0.0171,0.7876,0.5178,0.4737,0.7366,0.4732,0.7589,0.7143,0.7265,0.7477
Mean_PCA_Relief_10_AB,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,0.5022,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_Relief_10_DT,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_Relief_10_GP,672,336,336,0.9161,[0.8958-0.9364],0.0103,0.9044,0.4641,0.7029,0.8467,0.6935,0.9286,0.7649,0.7980,0.9146
Mean_PCA_Relief_10_NB,672,336,336,0.8264,[0.7956-0.8572],0.0157,0.8197,0.7271,0.5094,0.7515,0.5030,0.6726,0.8304,0.7986,0.7172
Mean_PCA_Relief_11_SVM,672,336,336,0.8102,[0.7777-0.8427],0.0166,0.7976,0.5102,0.4881,0.7440,0.4881,0.7470,0.7411,0.7426,0.7455
Mean_PCA_Relief_11_LDA,672,336,336,0.8073,[0.7746-0.8400],0.0167,0.7937,0.4871,0.5043,0.7500,0.5000,0.8155,0.6845,0.7211,0.7877
Mean_PCA_Relief_11_AE,672,336,336,0.7792,[0.7448-0.8136],0.0175,0.7783,0.5727,0.4408,0.7188,0.4375,0.6577,0.7798,0.7492,0.6950
Mean_PCA_Relief_11_RF,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,0.6600,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_Relief_11_LR,672,336,336,0.8050,[0.7721-0.8379],0.0168,0.7918,0.4839,0.4945,0.7440,0.4881,0.8244,0.6637,0.7103,0.7908
Mean_PCA_Relief_11_LRLasso,672,336,336,0.7960,[0.7626-0.8294],0.0170,0.7882,0.5154,0.4830,0.7411,0.4821,0.7708,0.7113,0.7275,0.7563
Mean_PCA_Relief_11_AB,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,0.5014,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_Relief_11_DT,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_Relief_11_GP,672,336,336,0.9232,[0.9039-0.9426],0.0099,0.9135,0.4905,0.7157,0.8557,0.7113,0.9107,0.8006,0.8204,0.8997
