,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.8897
balance_train_Cutoff,0.6432
balance_train_Acc,0.8929
balance_train_MCC,0.7877
balance_train_Sen,0.8571
balance_train_Spe,0.9286
balance_train_PPV,0.9231
balance_train_NPV,0.8667
balance_train_Youden Index,0.7857
balance_train_AUC,0.9145
balance_train_95% CIs,[0.8678-0.9613]
balance_train_Std,0.0238
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.8090
train_Cutoff,0.6432
train_Acc,0.8898
train_MCC,0.7515
train_Sen,0.8140
train_Spe,0.9286
train_PPV,0.8537
train_NPV,0.9070
train_Youden Index,0.7425
train_AUC,0.9064
train_95% CIs,[0.8501-0.9628]
train_Std,0.0288
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.8692
test_Cutoff,0.4158
test_Acc,0.8545
test_MCC,0.7019
test_Sen,0.8947
test_Spe,0.8333
test_PPV,0.7391
test_NPV,0.9375
test_Youden Index,0.7281
test_AUC,0.9269
test_95% CIs,[0.8609-0.9929]
test_Std,0.0337
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9222
cv_train_Cutoff,0.5895
cv_train_Acc,0.8780
cv_train_MCC,0.7560
cv_train_Sen,0.8750
cv_train_Spe,0.8810
cv_train_PPV,0.8802
cv_train_NPV,0.8757
cv_train_Youden Index,0.7560
cv_train_AUC,0.9324
cv_train_95% CIs,[0.9136-0.9511]
cv_train_Std,0.0096
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.7985
cv_val_Cutoff,0.4100
cv_val_Acc,0.8346
cv_val_MCC,0.6562
cv_val_Sen,0.8605
cv_val_Spe,0.8214
cv_val_PPV,0.7115
cv_val_NPV,0.9200
cv_val_Youden Index,0.6819
cv_val_AUC,0.8815
cv_val_95% CIs,[0.8164-0.9466]
cv_val_Std,0.0332
