,label,PCA_feature_3,PCA_feature_10,PCA_feature_11,PCA_feature_19,PCA_feature_22,PCA_feature_23,PCA_feature_27,PCA_feature_30,PCA_feature_37,PCA_feature_54,PCA_feature_59,PCA_feature_129,PCA_feature_131,PCA_feature_138,PCA_feature_140,PCA_feature_154,PCA_feature_157
1,1.0,22.530387107943348,-8.512075923895434,-1.117372307835492,-2.5352954236680816,1.9139216585759813,0.011505571401213444,-0.573844127871646,2.436599126934786,0.08514024214391144,-0.6746480816765867,-0.37720346200757143,1.582067810090848e-15,4.440892098500626e-16,-4.996003610813204e-16,1.4710455076283324e-15,5.551115123125783e-17,-4.996003610813204e-16
1,1.0,22.530387107943348,-8.512075923895434,-1.117372307835492,-2.5352954236680816,1.9139216585759813,0.011505571401213444,-0.573844127871646,2.436599126934786,0.08514024214391144,-0.6746480816765867,-0.37720346200757143,1.582067810090848e-15,4.440892098500626e-16,-4.996003610813204e-16,1.4710455076283324e-15,5.551115123125783e-17,-4.996003610813204e-16
1,1.0,22.530387107943348,-8.512075923895434,-1.117372307835492,-2.5352954236680816,1.9139216585759813,0.011505571401213444,-0.573844127871646,2.436599126934786,0.08514024214391144,-0.6746480816765867,-0.37720346200757143,1.582067810090848e-15,4.440892098500626e-16,-4.996003610813204e-16,1.4710455076283324e-15,5.551115123125783e-17,-4.996003610813204e-16
2,0.0,-4.030280480650442,1.2663202116322623,1.5533186667874217,-4.0514126185703185,0.13348034780533083,0.2402248703649209,-0.22524447457717572,0.9076890319638475,-1.812374661830045,-0.5993591987026342,0.8837379325508277,1.2212453270876722e-15,-2.0122792321330962e-15,8.049116928532385e-16,1.3461454173580023e-15,1.3877787807814457e-17,-1.0824674490095276e-15
2,1.0,34.37969619191428,-0.47260682391770603,-12.137164945259894,0.7660764756367181,1.921652822007955,-3.12954823484032,0.8238868571153347,-0.4954813845660013,0.030307935474912506,0.19863028864615562,-0.35830732038589574,2.1371793224034263e-15,-2.1094237467877974e-15,7.181755190543981e-16,3.2751579226442118e-15,-1.6653345369377348e-16,-1.2732870313669764e-15
2,1.0,34.37969619191428,-0.47260682391770603,-12.137164945259894,0.7660764756367181,1.921652822007955,-3.12954823484032,0.8238868571153347,-0.4954813845660013,0.030307935474912506,0.19863028864615562,-0.35830732038589574,2.1371793224034263e-15,-2.1094237467877974e-15,7.181755190543981e-16,3.2751579226442118e-15,-1.6653345369377348e-16,-1.2732870313669764e-15
2,1.0,34.37969619191428,-0.47260682391770603,-12.137164945259894,0.7660764756367181,1.921652822007955,-3.12954823484032,0.8238868571153347,-0.4954813845660013,0.030307935474912506,0.19863028864615562,-0.35830732038589574,2.1371793224034263e-15,-2.1094237467877974e-15,7.181755190543981e-16,3.2751579226442118e-15,-1.6653345369377348e-16,-1.2732870313669764e-15
3,0.0,-10.457337549334719,0.9072705788684886,2.9479532489589424,1.5080589977269985,-1.5044934744264449,-1.4184301934717887,-0.6618980812623585,-2.2622550949449227,-2.102239687051916,0.5361212866262779,1.2996018489398096,-1.5265566588595902e-16,-2.636779683484747e-16,-5.689893001203927e-16,-1.4432899320127035e-15,8.326672684688674e-17,-3.122502256758253e-16
4,0.0,-15.016616969710784,-0.12777851826741826,-0.7081732658768449,2.325565665847722,-1.5742243200353438,5.9078426382280105,-1.58849284604752,1.1147497697478803,-1.922740180842276,1.6861265155229732,-0.5082288567551699,-5.828670879282072e-16,8.326672684688674e-17,-7.216449660063518e-16,-9.43689570931383e-16,-1.1379786002407855e-15,-1.429412144204889e-15
5,0.0,12.25635266614403,2.6052774534942444,1.3938291897217958,5.293031509560903,1.4911662613444872,-3.4703009292843543,-5.8120548741936435,4.257565518485482,-4.507630963195201,1.7556393704445479,-0.8323931733582929,-1.6930901125533637e-15,1.7139067942650854e-15,-1.2490009027033011e-15,3.552713678800501e-15,-2.498001805406602e-16,-2.3869795029440866e-15
5,1.0,-5.570592956764212,0.9420826920976533,6.385849141480519,0.3267895835381478,0.8789908972125076,-0.8424948503269968,0.44506677809857886,-0.440905949122427,1.1052218499431448,0.23890064714029952,-0.15708279340530595,1.4085954624931674e-15,-6.314393452555578e-16,8.326672684688674e-17,3.3306690738754696e-16,-1.6653345369377348e-16,-9.159339953157541e-16
7,1.0,-7.108741620284428,-0.1821574708265206,5.4109496026792,-3.2437962913807845,1.213772901957501,1.3138047631803333,1.9321015159724595,-0.25613126723812746,-0.23222881697525272,-0.400336366554569,-0.2255206715199756,1.0685896612017132e-15,-9.228728892196614e-16,3.7470027081099033e-16,-6.106226635438361e-16,-6.869504964868156e-16,-9.818534874028728e-16
7,1.0,-7.108741620284428,-0.1821574708265206,5.4109496026792,-3.2437962913807845,1.213772901957501,1.3138047631803333,1.9321015159724595,-0.25613126723812746,-0.23222881697525272,-0.400336366554569,-0.2255206715199756,1.0685896612017132e-15,-9.228728892196614e-16,3.7470027081099033e-16,-6.106226635438361e-16,-6.869504964868156e-16,-9.818534874028728e-16
