,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.9812
balance_train_Cutoff,0.8194
balance_train_Acc,0.9524
balance_train_MCC,0.9071
balance_train_Sen,0.9167
balance_train_Spe,0.9881
balance_train_PPV,0.9872
balance_train_NPV,0.9222
balance_train_Youden Index,0.9048
balance_train_AUC,0.9800
balance_train_95% CIs,[0.9617-0.9983]
balance_train_Std,0.0093
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.9574
train_Cutoff,0.8194
train_Acc,0.9528
train_MCC,0.8944
train_Sen,0.8837
train_Spe,0.9881
train_PPV,0.9744
train_NPV,0.9432
train_Youden Index,0.8718
train_AUC,0.9723
train_95% CIs,[0.9437-1.0000]
train_Std,0.0146
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.5235
test_Cutoff,1.0000
test_Acc,0.5091
test_MCC,0.0250
test_Sen,0.5263
test_Spe,0.5000
test_PPV,0.3571
test_NPV,0.6667
test_Youden Index,0.0263
test_AUC,0.5132
test_95% CIs,[0.3712-0.6551]
test_Std,0.0724
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9742
cv_train_Cutoff,0.6313
cv_train_Acc,0.9449
cv_train_MCC,0.8902
cv_train_Sen,0.9583
cv_train_Spe,0.9315
cv_train_PPV,0.9333
cv_train_NPV,0.9572
cv_train_Youden Index,0.8899
cv_train_AUC,0.9768
cv_train_95% CIs,[0.9664-0.9873]
cv_train_Std,0.0053
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.4140
cv_val_Cutoff,2.0000
cv_val_Acc,0.6614
cv_val_MCC,0.0000
cv_val_Sen,0.0000
cv_val_Spe,1.0000
cv_val_PPV,0.0000
cv_val_NPV,0.6614
cv_val_Youden Index,0.0000
cv_val_AUC,0.4185
cv_val_95% CIs,[0.3285-0.5084]
cv_val_Std,0.0459
