,label,PCA_feature_3,PCA_feature_127,PCA_feature_129,PCA_feature_134,PCA_feature_142,PCA_feature_146,PCA_feature_147,PCA_feature_162,PCA_feature_163
1,0.0,-2.758241586647062,4.510281037539698e-16,-5.065392549852277e-16,3.677613769070831e-16,-8.847089727481716e-17,-1.3877787807814457e-17,1.4224732503009818e-16,1.0755285551056204e-16,-2.0990154059319366e-16
1,1.0,4.450455152928563,3.157196726277789e-16,1.2385925618474403e-15,-1.2698175844150228e-15,6.938893903907228e-18,2.8449465006019636e-16,6.730727086790012e-16,-1.9081958235744878e-17,2.0469737016526324e-16
2,0.0,-0.526318377756612,3.972516759986888e-16,-1.5959455978986625e-16,4.839878497975292e-16,-1.468009741545373e-16,2.740863092043355e-16,-1.0928757898653885e-16,4.198030811863873e-16,5.724587470723463e-17
2,1.0,6.736429557835909,8.847089727481716e-16,1.1969591984239969e-15,-1.6566609195578508e-16,-3.729655473350135e-17,5.516420653606247e-16,2.636779683484747e-16,3.157196726277789e-16,8.500145032286355e-17
3,1.0,-0.8322535979329475,6.765421556309548e-17,-5.325601071248798e-16,2.8709673527416157e-16,7.632783294297951e-17,1.6653345369377348e-16,-2.0816681711721685e-17,1.0009354456386177e-15,-9.71445146547012e-17
5,1.0,-0.15412484136589127,2.1510571102112408e-16,5.412337245047638e-16,-4.683753385137379e-17,1.7694179454963432e-16,-6.158268339717665e-17,0.0,2.975050761300224e-16,1.734723475976807e-18
5,0.0,1.4615717032689457,4.371503159461554e-16,1.231653667943533e-16,6.678685382510707e-16,-3.660266534311063e-16,4.440892098500626e-16,-8.326672684688674e-17,2.3592239273284576e-16,2.1510571102112408e-16
6,1.0,-0.24022443868703702,7.181755190543981e-16,-3.2526065174565133e-16,-2.3245294578089215e-16,4.7271214720367993e-17,1.986258379993444e-16,-1.5959455978986625e-16,2.6194324487249787e-16,-2.0925101928970236e-16
7,0.0,-1.7637474442882104,7.979727989493313e-17,1.8041124150158794e-16,2.905661822261152e-16,-5.4643789493269423e-17,-2.0816681711721685e-17,-7.632783294297951e-17,2.463307335887066e-16,-1.4051260155412137e-16
7,1.0,-0.7097463204521569,2.8449465006019636e-16,2.8275992658421956e-16,9.540979117872439e-17,1.981921571303502e-16,-1.249000902703301e-16,2.42861286636753e-17,2.1510571102112408e-16,1.6479873021779667e-17
8,0.0,-2.1258358474319663,2.42861286636753e-16,1.734723475976807e-17,2.0296264668928643e-16,1.7954387976359953e-16,-1.734723475976807e-17,8.153200337090993e-17,4.2327252813834093e-16,5.898059818321144e-17
8,1.0,-1.2165130365745231,2.489328188026718e-16,-6.765421556309548e-17,3.5561831257524545e-17,4.336808689942018e-17,9.280770596475918e-17,-1.8735013540549517e-16,2.896988204881268e-16,-4.5102810375396984e-17
9,0.0,-1.6316498253189669,1.249000902703301e-16,-1.6653345369377348e-16,4.2934406030425976e-16,-1.1796119636642288e-16,2.194425197110661e-16,2.3245294578089215e-16,-2.498001805406602e-16,1.4051260155412137e-16
10,1.0,1.9909145503468872,8.291978215169138e-16,-6.245004513516506e-16,2.5500435096859064e-16,-2.5326962749261384e-16,1.8648277366750676e-16,2.0122792321330962e-16,1.9081958235744878e-16,-2.949029909160572e-17
11,0.0,-0.4337000168558884,2.0122792321330962e-16,-6.609296443471635e-16,6.891189008317866e-16,-2.8102520310824275e-16,-1.205632815803881e-16,-5.412337245047638e-16,-8.326672684688674e-17,-2.185751579730777e-16
11,1.0,-0.9861853047151922,6.054184931159057e-16,-3.0184188481996443e-16,1.1449174941446927e-16,-1.734723475976807e-17,2.949029909160572e-16,-4.85722573273506e-17,2.5500435096859064e-16,-7.806255641895632e-17
12,1.0,0.8363915760942415,1.9255430583342559e-16,4.614364446098307e-16,1.231653667943533e-15,-9.540979117872439e-17,5.551115123125783e-17,-1.6653345369377348e-16,-2.7755575615628914e-17,7.112366251504909e-17
12,0.0,-1.6876126528640252,1.5612511283791264e-16,-5.603156827405087e-16,4.77048955893622e-16,6.591949208711867e-17,-3.122502256758253e-16,-1.1102230246251565e-16,-1.4051260155412137e-16,-1.7694179454963432e-16
13,0.0,0.20311133387521232,-4.163336342344337e-17,1.8735013540549517e-16,-3.7816971776294395e-16,-3.8163916471489756e-16,-1.3183898417423734e-16,1.3183898417423734e-16,-6.487865800153259e-16,6.591949208711867e-17
13,1.0,1.109104749703364,5.499073418846478e-16,-4.839878497975292e-16,6.192962809237201e-16,-3.0531133177191805e-16,5.204170427930421e-16,2.671474153004283e-16,5.204170427930421e-16,-2.0816681711721685e-17
14,0.0,1.1954365890073362,2.42861286636753e-16,-3.434752482434078e-16,9.731798700229888e-16,-4.926614671774132e-16,-8.673617379884035e-17,-3.3306690738754696e-16,-5.754945131553058e-16,-1.93421667571414e-16
14,1.0,2.1354194637571147,3.2959746043559335e-16,1.7433970933566911e-16,3.5041414214731503e-16,-3.469446951953614e-18,2.6020852139652106e-17,-2.949029909160572e-16,-1.3530843112619095e-16,-1.491862189340054e-16
15,0.0,-3.9623273601215776,-4.371503159461554e-16,-1.0200174038743626e-15,6.83481049534862e-16,-5.898059818321144e-17,-3.434752482434078e-16,-4.440892098500626e-16,-5.462210544981971e-16,-1.0061396160665481e-16
15,1.0,2.9888596688300275,5.967448757360216e-16,5.620504062164855e-16,1.6566609195578508e-16,9.020562075079397e-17,1.5092094240998222e-16,2.1510571102112408e-16,-2.7582103268031233e-16,-6.526897078362737e-17
17,1.0,1.4220990404645693,4.926614671774132e-16,-4.787836793695988e-16,-2.8622937353617317e-16,-7.632783294297951e-17,1.0061396160665481e-16,1.8735013540549517e-16,6.938893903907228e-18,6.591949208711867e-17
17,0.0,0.3296911440054615,8.951173136040325e-16,-7.875644580934704e-16,2.671474153004283e-16,-1.8388068845354155e-16,3.0943130002736297e-16,1.3877787807814457e-17,3.7383290907300193e-16,-1.3357370765021415e-16
18,0.0,2.3498442732728577,5.30825383648903e-16,3.209238430557093e-16,2.0990154059319366e-16,7.37257477290143e-18,-1.3183898417423734e-16,-3.0878077872387166e-16,-3.469446951953614e-16,-3.5561831257524545e-16
19,1.0,1.8109926652677923,3.469446951953614e-16,5.950101522600448e-16,-5.516420653606247e-16,1.214306433183765e-17,-4.423544863740858e-17,-2.0816681711721685e-17,2.0816681711721685e-17,-5.160802341031001e-17
19,0.0,-4.141118292334217,-1.249000902703301e-16,3.2959746043559335e-17,3.6477982093274797e-16,9.71445146547012e-17,-6.938893903907228e-17,-2.0122792321330962e-16,-5.143455106271233e-16,5.204170427930421e-17
21,0.0,-3.976443803452289,-9.367506770274758e-17,-3.3393426912553537e-17,8.591218014775137e-16,-7.28583859910259e-17,-3.122502256758253e-17,-2.1868357819032624e-16,9.71445146547012e-17,-3.469446951953614e-18
22,1.0,1.1176427403898566,3.6456298049825087e-16,-1.734723475976807e-18,-3.3480163086352377e-16,-3.8163916471489756e-17,-3.469446951953614e-17,-1.5959455978986625e-16,-1.2836953722228372e-16,-1.3877787807814457e-17
22,0.0,0.561733193467024,-8.673617379884035e-17,6.279698983036042e-16,7.042977312465837e-16,-4.163336342344337e-17,-2.42861286636753e-16,2.0816681711721685e-17,-6.92154666914746e-16,2.435118079402443e-16
