,Number,PosNum,NegNum,AUC,95% CIs,Std,AUC-PR,Cutoff,MCC,Acc,Youden Index,Sen,Spe,PPV,NPV
Mean_PCA_ANOVA_1_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_ANOVA_2_SVM,127,43,84,0.8527,[0.7886-0.9168],0.0327,0.6450,0.3500,0.5918,0.7559,0.6196,0.9767,0.6429,0.5833,0.9818
Mean_PCA_ANOVA_2_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_ANOVA_3_SVM,127,43,84,0.8527,[0.7886-0.9168],0.0327,0.6450,0.3500,0.5918,0.7559,0.6196,0.9767,0.6429,0.5833,0.9818
Mean_PCA_ANOVA_3_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_ANOVA_4_SVM,127,43,84,0.8527,[0.7886-0.9168],0.0327,0.6450,0.3500,0.5918,0.7559,0.6196,0.9767,0.6429,0.5833,0.9818
Mean_PCA_ANOVA_4_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_ANOVA_5_SVM,127,43,84,0.8527,[0.7886-0.9168],0.0327,0.6450,0.3500,0.5918,0.7559,0.6196,0.9767,0.6429,0.5833,0.9818
Mean_PCA_ANOVA_5_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_ANOVA_6_SVM,127,43,84,0.8527,[0.7886-0.9168],0.0327,0.6450,0.3500,0.5918,0.7559,0.6196,0.9767,0.6429,0.5833,0.9818
Mean_PCA_ANOVA_6_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_ANOVA_7_SVM,127,43,84,0.8527,[0.7886-0.9168],0.0327,0.6450,0.3500,0.5918,0.7559,0.6196,0.9767,0.6429,0.5833,0.9818
Mean_PCA_ANOVA_7_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_ANOVA_8_SVM,127,43,84,0.8527,[0.7886-0.9168],0.0327,0.6450,0.3500,0.5918,0.7559,0.6196,0.9767,0.6429,0.5833,0.9818
Mean_PCA_ANOVA_8_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_ANOVA_9_SVM,127,43,84,0.8527,[0.7886-0.9168],0.0327,0.6450,0.3500,0.5918,0.7559,0.6196,0.9767,0.6429,0.5833,0.9818
Mean_PCA_ANOVA_9_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_ANOVA_10_SVM,127,43,84,0.8743,[0.8136-0.9350],0.0310,0.7232,0.4469,0.5755,0.7953,0.5997,0.8140,0.7857,0.6604,0.8919
Mean_PCA_ANOVA_10_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_ANOVA_11_SVM,127,43,84,0.8743,[0.8136-0.9350],0.0310,0.7232,0.4469,0.5755,0.7953,0.5997,0.8140,0.7857,0.6604,0.8919
Mean_PCA_ANOVA_11_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_ANOVA_12_SVM,127,43,84,0.8743,[0.8136-0.9350],0.0310,0.7232,0.4469,0.5755,0.7953,0.5997,0.8140,0.7857,0.6604,0.8919
Mean_PCA_ANOVA_12_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
