,Number,PosNum,NegNum,AUC,95% CIs,Std,AUC-PR,Cutoff,MCC,Acc,Youden Index,Sen,Spe,PPV,NPV
Zscore_PCA_RFE_13_SVM,168,84,84,0.9549,[0.9250-0.9849],0.0153,0.9501,0.4356,0.8286,0.9107,0.8214,0.9762,0.8452,0.8632,0.9726
Zscore_PCA_RFE_13_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_RFE_14_SVM,168,84,84,0.9593,[0.9331-0.9856],0.0134,0.9598,0.4360,0.8132,0.9048,0.8095,0.9524,0.8571,0.8696,0.9474
Zscore_PCA_RFE_14_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_RFE_15_SVM,168,84,84,0.9549,[0.9233-0.9866],0.0161,0.9500,0.5828,0.8453,0.9226,0.8452,0.9167,0.9286,0.9277,0.9176
Zscore_PCA_RFE_15_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_RFE_16_SVM,168,84,84,0.9566,[0.9268-0.9864],0.0152,0.9506,0.5327,0.8215,0.9107,0.8214,0.9048,0.9167,0.9157,0.9059
Zscore_PCA_RFE_16_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_RFE_17_SVM,168,84,84,0.9566,[0.9268-0.9864],0.0152,0.9506,0.5327,0.8215,0.9107,0.8214,0.9048,0.9167,0.9157,0.9059
Zscore_PCA_RFE_17_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_RFE_18_SVM,168,84,84,0.9692,[0.9470-0.9915],0.0114,0.9717,0.4475,0.8501,0.9226,0.8452,0.9762,0.8690,0.8817,0.9733
Zscore_PCA_RFE_18_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_RFE_19_SVM,168,84,84,0.9663,[0.9404-0.9921],0.0132,0.9574,0.6236,0.8574,0.9286,0.8571,0.9167,0.9405,0.9390,0.9186
Zscore_PCA_RFE_19_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_RFE_20_SVM,168,84,84,0.9714,[0.9483-0.9944],0.0118,0.9658,0.6245,0.8696,0.9345,0.8690,0.9167,0.9524,0.9506,0.9195
Zscore_PCA_RFE_20_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_Relief_1_SVM,168,84,84,0.4899,[0.4013-0.5786],0.0452,0.4800,0.4474,0.1263,0.5595,0.1190,0.7262,0.3929,0.5446,0.5893
Zscore_PCA_Relief_1_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_Relief_2_SVM,168,84,84,0.6193,[0.5346-0.7040],0.0432,0.6068,0.5096,0.2425,0.6190,0.2381,0.5238,0.7143,0.6471,0.6000
Zscore_PCA_Relief_2_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_Relief_3_SVM,168,84,84,0.6159,[0.5313-0.7005],0.0432,0.5875,0.5105,0.2294,0.6071,0.2143,0.4286,0.7857,0.6667,0.5789
Zscore_PCA_Relief_3_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_Relief_4_SVM,168,84,84,0.6159,[0.5313-0.7005],0.0432,0.5875,0.5105,0.2294,0.6071,0.2143,0.4286,0.7857,0.6667,0.5789
Zscore_PCA_Relief_4_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_Relief_5_SVM,168,84,84,0.5784,[0.5009-0.6558],0.0395,0.5629,0.4912,0.2048,0.5774,0.1548,0.9048,0.2500,0.5468,0.7241
Zscore_PCA_Relief_5_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_Relief_6_SVM,168,84,84,0.8017,[0.7324-0.8711],0.0354,0.7022,0.4111,0.5363,0.7619,0.5238,0.8690,0.6548,0.7157,0.8333
Zscore_PCA_Relief_6_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_Relief_7_SVM,168,84,84,0.8017,[0.7324-0.8711],0.0354,0.7022,0.4111,0.5363,0.7619,0.5238,0.8690,0.6548,0.7157,0.8333
Zscore_PCA_Relief_7_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_Relief_8_SVM,168,84,84,0.8017,[0.7324-0.8711],0.0354,0.7022,0.4111,0.5363,0.7619,0.5238,0.8690,0.6548,0.7157,0.8333
Zscore_PCA_Relief_8_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_Relief_9_SVM,168,84,84,0.8093,[0.7415-0.8772],0.0346,0.7162,0.4505,0.5312,0.7619,0.5238,0.8452,0.6786,0.7245,0.8143
Zscore_PCA_Relief_9_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_Relief_10_SVM,168,84,84,0.8134,[0.7466-0.8801],0.0340,0.7261,0.4516,0.5312,0.7619,0.5238,0.8452,0.6786,0.7245,0.8143
Zscore_PCA_Relief_10_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_Relief_11_SVM,168,84,84,0.8134,[0.7466-0.8801],0.0340,0.7261,0.4516,0.5312,0.7619,0.5238,0.8452,0.6786,0.7245,0.8143
Zscore_PCA_Relief_11_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_Relief_12_SVM,168,84,84,0.8134,[0.7466-0.8801],0.0340,0.7261,0.4516,0.5312,0.7619,0.5238,0.8452,0.6786,0.7245,0.8143
Zscore_PCA_Relief_12_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_Relief_13_SVM,168,84,84,0.8073,[0.7390-0.8755],0.0348,0.7247,0.4913,0.5596,0.7798,0.5595,0.7857,0.7738,0.7765,0.7831
Zscore_PCA_Relief_13_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
