,Coef
PCA_feature_2,-1.1314270119104626
PCA_feature_13,-2.7180680290625134
PCA_feature_14,-2.8809854340483954
PCA_feature_129,24329231689727.8
PCA_feature_136,-777495074626748.8
PCA_feature_137,2630885775946986.5
PCA_feature_138,-2553087796858396.5
PCA_feature_141,-196226345621048.5
PCA_feature_142,356456907332596.8
PCA_feature_146,-2445582710018961.5
PCA_feature_147,3733801056035084.5
PCA_feature_148,-4077908310537724.0
PCA_feature_149,-3678334279003426.5
PCA_feature_150,-1.2092939534143124e+16
PCA_feature_161,3015552074769354.5
PCA_feature_163,-2370163252588908.5
PCA_feature_164,-971001749489068.1
PCA_feature_165,398235377852981.9
PCA_feature_167,-115438367877087.6
