,label,PCA_feature_3,PCA_feature_129,PCA_feature_131,PCA_feature_140,PCA_feature_154
1,1.0,22.530387107943348,1.582067810090848e-15,4.440892098500626e-16,1.4710455076283324e-15,5.551115123125783e-17
2,1.0,34.37969619191428,2.1371793224034263e-15,-2.1094237467877974e-15,3.2751579226442118e-15,-1.6653345369377348e-16
2,0.0,-4.030280480650442,1.2212453270876722e-15,-2.0122792321330962e-15,1.3461454173580023e-15,1.3877787807814457e-17
3,0.0,-10.457337549334719,-1.5265566588595902e-16,-2.636779683484747e-16,-1.4432899320127035e-15,8.326672684688674e-17
4,0.0,-15.016616969710784,-5.828670879282072e-16,8.326672684688674e-17,-9.43689570931383e-16,-1.1379786002407855e-15
5,0.0,12.25635266614403,-1.6930901125533637e-15,1.7139067942650854e-15,3.552713678800501e-15,-2.498001805406602e-16
5,1.0,-5.570592956764211,1.2038980923279041e-15,-4.926614671774132e-16,3.3306690738754696e-16,-1.6653345369377348e-16
7,0.0,-13.957475739768627,3.7470027081099033e-16,4.85722573273506e-16,-1.4432899320127035e-15,0.0
7,1.0,-7.108741620284428,1.0685896612017132e-15,-9.228728892196614e-16,-6.106226635438361e-16,-6.869504964868156e-16
8,1.0,-8.187356731638493,1.3079815008865125e-15,-2.706168622523819e-16,-3.7470027081099033e-16,5.48172618408671e-16
9,0.0,6.757358926328597,-3.497202527569243e-15,6.328271240363392e-15,1.7486012637846216e-15,-6.661338147750939e-16
10,1.0,11.951006727543882,-3.774758283725532e-15,3.649858193455202e-15,1.8041124150158794e-15,4.996003610813204e-16
11,1.0,-7.6435775953978675,2.0469737016526324e-16,1.3877787807814457e-16,-8.326672684688674e-16,-1.6653345369377348e-16
11,0.0,-0.832737928835142,-3.219646771412954e-15,2.1788126858268697e-15,-7.771561172376096e-16,-1.27675647831893e-15
12,1.0,7.025139716703988,-1.5265566588595902e-15,1.1102230246251565e-15,1.3322676295501878e-15,1.1102230246251565e-16
