,label,PCA_feature_2,PCA_feature_10,PCA_feature_13,PCA_feature_14,PCA_feature_20,PCA_feature_33,PCA_feature_129,PCA_feature_148,PCA_feature_150,PCA_feature_159,PCA_feature_160,PCA_feature_167
1,1.0,-4.6052184687565125,-0.8498366100661547,0.2643551752775043,0.1269469915651668,0.4113485762129781,0.11905798272422044,2.2724877535296173e-16,-1.0755285551056204e-16,-3.625572064791527e-16,-1.6132928326584306e-16,1.1796119636642288e-16,2.5673907444456745e-16
2,1.0,-4.480450374651669,1.0900547678383576,-0.6638556321671852,1.0373864969131075,-0.18095525999528883,-0.06816786491815552,6.175615574477433e-16,-2.0469737016526324e-16,-1.214306433183765e-16,2.42861286636753e-17,-5.551115123125783e-17,1.457167719820518e-16
2,0.0,0.9626202212005489,0.2796498460354071,-1.064808321829548,0.2204641127157782,0.9297961308595097,0.1512795693096644,2.5673907444456745e-16,1.2880321809127793e-16,-3.469446951953614e-17,-2.2768245622195593e-16,6.245004513516506e-17,-3.8163916471489756e-17
3,0.0,0.7149419220625326,0.5402070590768442,-0.5047553204565768,0.03443521924832517,0.061726406378213944,0.46376883357835313,8.500145032286355e-17,3.2612801348363973e-16,2.47198095326695e-16,6.797947621484113e-17,-7.28583859910259e-17,4.85722573273506e-17
4,0.0,-0.32345898158569286,-0.13124717795682556,-0.05542168526297024,-0.2581477638742542,-0.18996333592512724,-0.008684220280125027,-2.8449465006019636e-16,1.6653345369377348e-16,1.6393136847980827e-16,9.71445146547012e-17,-1.734723475976807e-17,-7.632783294297951e-17
5,0.0,1.62718882318057,-0.946172102230329,0.5203234808654291,-0.32482304167132686,-1.1734823648715267,-0.2298311788690174,-1.1102230246251565e-16,4.510281037539698e-16,2.8362728832220796e-16,-1.8041124150158794e-16,1.0234868508263162e-16,-2.7755575615628914e-17
5,1.0,-1.5942384344162133,-0.6799173718014545,-0.5657961172682708,-0.25395758507522903,-0.17206137100172939,-0.3070134639335124,1.0755285551056204e-16,3.9898639947466563e-17,5.898059818321144e-17,8.326672684688674e-17,0.0,-1.474514954580286e-17
7,0.0,0.23115796550844425,-1.1118167529741407,-0.32969183995046103,0.10165218168653914,-0.15019734481516342,0.7302351265295755,-6.938893903907228e-17,2.255140518769849e-16,2.636779683484747e-16,2.498001805406602e-16,2.7755575615628914e-17,-9.71445146547012e-17
7,1.0,-0.7789744119904478,-0.889444782798545,-0.3988861509071059,-0.12053300486379842,0.5444066607351922,-0.43484397641799205,2.237793284010081e-16,-5.984795992119984e-17,1.3877787807814457e-17,-5.898059818321144e-17,-1.4333152720258369e-16,5.551115123125783e-17
8,1.0,-0.20380204211282232,-0.7693169334221892,-0.6445650674544503,-0.2196555971641439,0.516824369768467,-0.07689267927424086,2.3765711620882257e-16,6.158268339717665e-17,9.367506770274758e-17,9.71445146547012e-17,2.6020852139652106e-17,-1.3877787807814457e-17
9,0.0,5.544455236248869,-0.9515344118954303,-0.8780061342401277,0.5715417050811012,-0.07386591942252552,-0.018044801543325564,-2.983724378680108e-16,2.7755575615628914e-17,-1.5959455978986625e-16,0.0,2.0816681711721685e-17,-6.245004513516506e-17
10,1.0,1.2447264568798149,-1.8051729786243098,1.6240195606379204,-0.9341690556370712,-0.5082196761155867,0.007514276739274572,-5.828670879282072e-16,1.5265566588595902e-16,-2.220446049250313e-16,6.938893903907228e-18,2.7755575615628914e-16,-1.8041124150158794e-16
11,1.0,0.1809925109640407,1.2329626975138992,-0.6794359202675878,-0.49457639969069683,-0.016469346250358622,0.1928510760516033,1.6653345369377348e-16,2.5847379792054426e-16,1.1882855810441129e-16,-2.1033522146218786e-17,-5.898059818321144e-17,-2.42861286636753e-17
11,0.0,4.183979238323507,0.4538777896465602,-0.29233234871035424,1.2014479231570354,-0.18343733882701674,-0.08354786183997676,2.1510571102112408e-16,-3.5388358909926865e-16,-1.3877787807814457e-16,-1.97758476261356e-16,-1.0061396160665481e-16,-4.510281037539698e-16
12,1.0,1.8731441696749336,-1.4543359161629772,0.5187670301651326,-0.358218241225184,-0.42122038533521505,0.06903129558784943,2.0816681711721685e-17,2.5673907444456745e-16,1.214306433183765e-17,4.85722573273506e-17,1.0408340855860843e-16,-5.551115123125783e-17
13,0.0,2.7709088573651406,1.0228828892967339,-1.5290869442701343,-0.6028072520624208,1.1667385054188177,0.9007219353226078,3.469446951953614e-17,-3.8163916471489756e-17,-1.8388068845354155e-16,4.163336342344337e-17,-1.97758476261356e-16,1.474514954580286e-16
13,1.0,-0.05269255231957361,-0.1576968938725828,-0.4230792403460528,-1.0284257389383498,0.8420878384560325,0.046080180786187794,2.983724378680108e-16,3.7903707950093235e-16,-1.734723475976807e-17,7.727650984390433e-17,2.220446049250313e-16,-6.938893903907228e-17
16,1.0,0.6243642119290396,0.6410299209980173,-0.04476600780324577,-1.045421725087574,-0.06907628336642387,-0.08079268143787678,2.8449465006019636e-16,-8.326672684688674e-17,-1.2836953722228372e-16,3.469446951953614e-17,1.3183898417423734e-16,1.0408340855860843e-16
16,0.0,0.898904053466962,-1.3162205339330184,-0.7300681454249596,0.2805418963968743,-0.34603738542542994,-0.019705531187611588,2.979929671076409e-16,2.6020852139652106e-16,2.229119666630197e-16,7.45931094670027e-17,9.454242944073599e-17,-2.2898349882893854e-16
17,1.0,-1.845683555933669,0.5108495328511077,0.5469624026601853,0.4397709063728723,0.010838712972268152,-0.29064507315229626,2.0469737016526324e-16,-1.700029006457271e-16,-4.336808689942018e-17,-2.185751579730777e-16,-9.367506770274758e-17,1.8214596497756474e-16
17,0.0,-1.0796895583547086,0.8892044424669652,0.6912924486053481,-0.893996606869264,0.12859558780493152,0.09645155421828387,2.658463726934457e-16,1.3183898417423734e-16,2.3245294578089215e-16,-1.1796119636642288e-16,-1.2836953722228372e-16,-2.42861286636753e-16
18,1.0,-1.859027036038269,0.14640159506338438,-0.4218714253889344,-0.062028913724108896,0.0007460720043836952,-0.09231837481976049,2.393918396847994e-16,1.734723475976807e-18,2.6020852139652106e-17,-6.938893903907228e-18,5.377642775528102e-17,-3.122502256758253e-17
18,0.0,-1.3228061117491239,1.7425082381119381,1.1505332972177849,0.1453844882634767,0.13733214760311405,-0.29616864573025264,2.498001805406602e-16,-2.7582103268031233e-16,0.0,7.979727989493313e-17,-4.926614671774132e-16,-1.0061396160665481e-16
19,1.0,-2.016409657068404,-0.06031719580777377,-0.05616356070228241,0.15156333754167356,0.15681157332809212,0.1341365078159688,6.245004513516506e-17,-1.4051260155412137e-16,5.204170427930421e-17,2.7755575615628914e-17,-1.0755285551056204e-16,7.28583859910259e-17
19,0.0,3.567551603698655,-0.7658231463152272,0.4514658674472935,1.1166585988733837,0.32451357354925503,0.021620756662798862,-2.237793284010081e-16,1.0408340855860843e-16,3.2959746043559335e-17,-2.0816681711721685e-17,2.0816681711721685e-17,4.163336342344337e-17
20,0.0,0.37605737600273575,-0.7121431888388773,-0.32731336216093093,0.9447267777192374,-0.3560789856877965,-0.25323852444246714,2.3245294578089215e-16,3.2439329000766293e-16,2.914335439641036e-16,9.71445146547012e-17,-1.43982048506075e-16,-1.3183898417423734e-16
20,1.0,-0.5680045537097216,-0.1622780588155388,-0.4849653902837925,0.058881795293742795,-0.1783860850409198,0.3384672855497339,8.543513119185775e-17,-1.6479873021779667e-16,-3.122502256758253e-17,1.734723475976807e-18,4.85722573273506e-17,1.1796119636642288e-16
21,0.0,2.9048589899775985,-1.694256599016294,-0.18174033141447402,0.5842610531410523,0.11309037826567464,0.34735967283681396,-1.3877787807814457e-17,4.36282954208167e-16,2.0816681711721685e-16,4.5102810375396984e-17,1.734723475976807e-16,-6.245004513516506e-17
21,1.0,5.132915249496049,-0.8633236903208307,1.00344418033113,-1.0956840385236188,-0.19277315841282278,-0.11387561285714652,1.0408340855860843e-16,-1.0408340855860843e-16,-8.673617379884035e-17,-4.163336342344337e-17,1.1796119636642288e-16,-2.5326962749261384e-16
22,0.0,5.312152024223375,-0.12459624324624208,-0.3511761513312318,0.27623182984816314,0.5294002448178042,0.01736862592431601,-7.73686670285656e-16,5.898059818321144e-17,-1.2923689896027213e-16,-2.706168622523819e-16,-3.677613769070831e-16,-3.469446951953614e-16
22,1.0,-1.2963227755230022,-0.1641788314101048,-0.3116541910798907,0.17806520582675378,0.039528568595267086,0.029625945883193533,2.636779683484747e-16,-3.677613769070831e-16,-8.326672684688674e-17,7.806255641895632e-17,-7.28583859910259e-17,7.28583859910259e-17
23,1.0,-2.575769421154228,-0.7055354635240138,-0.4305228209236071,0.2430854729195203,-0.08192292643092033,0.0860355664797724,2.3245294578089215e-16,-3.95516952522712e-16,-6.931101200792489e-17,-1.7520707107365752e-16,-1.1622647289044608e-16,1.734723475976807e-16
23,0.0,-0.3631990493643875,0.4428900949005126,0.4335938166795049,0.2508084021707179,0.19554366537096163,0.1423465527726058,1.249000902703301e-16,-4.85722573273506e-17,1.0018028073766061e-16,2.42861286636753e-17,-3.469446951953614e-17,9.8879238130678e-17
24,0.0,4.512703036674612,0.010151144860613318,-0.2251107749437938,-0.14291585264761003,0.19944583437955654,-0.03163730028500342,8.500145032286355e-17,-1.3877787807814457e-16,9.974659986866641e-17,-2.0122792321330962e-16,5.551115123125783e-17,-1.5265566588595902e-16
24,1.0,-2.643113964971724,-0.5798295002339666,-0.4386123961494392,0.03041641601148068,-0.1302408908267716,0.1733979176219824,3.469446951953614e-18,-2.185751579730777e-16,2.5153490401663703e-17,1.3877787807814457e-17,-1.0061396160665481e-16,2.7755575615628914e-16
