,Coef
PCA_feature_112,0.12059998968743638
PCA_feature_114,-0.18940404687206705
PCA_feature_14,-1.181090779004366
PCA_feature_107,-0.3850631564187637
PCA_feature_110,0.20164347413578698
PCA_feature_7,0.2942695726583782
PCA_feature_132,-1.1183752229834746e-15
PCA_feature_13,-1.509792970890452
PCA_feature_108,0.014404212568626052
PCA_feature_89,-0.5150240121720983
PCA_feature_16,0.6554723788842334
PCA_feature_36,0.8717022632110949
PCA_feature_74,0.3028035624904648
PCA_feature_93,0.35442387281257204
PCA_feature_6,-0.0085686988266096
PCA_feature_34,0.5958175123085503
PCA_feature_17,-0.7034703169387261
PCA_feature_5,0.33161444692412645
PCA_feature_67,-0.42117676596563647
