,label,PCA_feature_110,PCA_feature_124,PCA_feature_114,PCA_feature_18
1,1.0,0.04226239089836448,-0.025485784054757488,0.1284272839353719,0.4403746652001844
1,1.0,0.04226239089836448,-0.025485784054757488,0.1284272839353719,0.4403746652001844
1,1.0,0.04226239089836448,-0.025485784054757488,0.1284272839353719,0.4403746652001844
2,0.0,0.0084220417626934,0.009122865308722639,-0.04438008662329716,-3.9404674357823883
2,1.0,0.00818023548383462,-0.0027394974476784295,0.009089204769243298,-2.587914615350983
2,1.0,0.00818023548383462,-0.0027394974476784295,0.009089204769243298,-2.587914615350983
2,1.0,0.00818023548383462,-0.0027394974476784295,0.009089204769243298,-2.587914615350983
3,0.0,0.6345490556559028,-0.23782055344313902,0.06259123555546817,-0.8431299840489928
4,0.0,-0.046924207925141494,0.011857536492165251,-0.0947237417344794,-0.9530845011430924
5,0.0,-0.03838634472281675,-0.002518789328636778,0.05190504250613459,-0.014184579950459186
5,1.0,-0.7512529314747736,0.7277241658000293,-0.29645019076563894,-0.713133441236392
7,1.0,0.09578620562372892,-0.22052390078507117,-0.1438337129899872,-1.3225775645988262
7,1.0,0.09578620562372892,-0.22052390078507117,-0.1438337129899872,-1.3225775645988262
7,1.0,0.09578620562372892,-0.22052390078507117,-0.1438337129899872,-1.3225775645988262
7,0.0,-0.22207297551079502,0.1658299215964103,0.025119273251128837,0.9455827158167618
8,1.0,0.07270843851904737,0.1093192254600823,-0.14194072290353443,-1.0231304787434274
9,0.0,0.00735104545538412,-0.001637925642170246,0.0003528406093614711,1.7153570620712304
10,1.0,-0.00858113585488851,-0.008582594385902614,-0.0009534106242814477,-2.244445420599597
10,1.0,-0.008581135854887734,-0.008582594385902295,-0.0009534106242822249,-2.2444454205995976
11,0.0,-0.015784777957650986,0.01983051269327818,-0.0485686745860443,-3.186002526621879
11,1.0,-0.14233834782143637,0.025436363294366833,0.20360363896760852,0.6955737309902814
11,1.0,-0.14233834782143637,0.025436363294366833,0.20360363896760852,0.6955737309902814
12,1.0,0.038344816033112766,0.028278983122229207,0.00279008329708208,-3.8877061679230738
13,1.0,-0.017688246976249267,-0.022072897884607576,0.021783500197044642,-5.201401320355294
13,1.0,-0.017688246976249267,-0.022072897884607576,0.021783500197044642,-5.201401320355294
13,0.0,-0.012985488460007244,7.690036710489984e-05,0.009116531359736446,-1.011621734270546
16,1.0,0.07762114947278076,0.017357005979267273,-0.03855060747503111,6.0491013101910465
16,1.0,0.07762114947278076,0.017357005979267273,-0.03855060747503111,6.0491013101910465
16,1.0,0.07762114947278076,0.017357005979267273,-0.03855060747503111,6.0491013101910465
16,0.0,-0.08219060995119976,0.03004900094602518,0.0015536227736608343,2.117369601337737
16,1.0,0.07762114947278076,0.017357005979267273,-0.03855060747503111,6.0491013101910465
17,1.0,-0.774480301293313,-0.42141351785737646,-0.7340883894786647,-1.625046165758781
17,0.0,0.057133909271816496,-0.06654944458904287,0.028770509392512966,3.4367155925248953
18,0.0,-0.12909375537234935,0.057071275959497444,0.034452151130552444,5.1415344062944
18,1.0,0.27686962071686533,-0.010165038090031553,-0.3701094985213777,-1.8185038913707454
19,1.0,-0.057142767595091515,-0.03728461119370999,-0.2736709563013546,0.36368221946763374
19,0.0,-0.02363298277805681,-0.026051436346107237,0.03739726256253495,2.4980545040703253
19,1.0,-0.05714276759509179,-0.03728461119371013,-0.2736709563013547,0.36368221946763357
20,0.0,-0.10532655857130524,-0.04837546826176867,0.10019071588702423,-5.328769217892009
20,1.0,0.07419714007784775,0.0119373363600339,-0.18339343564655092,0.9365974672221542
20,1.0,0.07419714007784775,0.0119373363600339,-0.18339343564655092,0.9365974672221542
21,0.0,-0.06241966574346769,0.058027158410938334,0.013010049219844083,0.044962607399231164
21,1.0,-0.01983602481144363,-0.01143971581041281,-0.02646020485000178,1.9434117881204795
21,1.0,-0.01983602481144363,-0.01143971581041281,-0.02646020485000178,1.9434117881204795
22,1.0,0.4687413999379916,-0.09758025710997045,0.36482806154985387,1.1445809743389956
22,0.0,0.03635029298308398,-0.025384662350752762,-0.016284882884003482,4.406989974316851
22,1.0,0.4687413999379916,-0.09758025710997045,0.36482806154985387,1.1445809743389956
23,0.0,1.2640207027551065,0.7315940901046953,0.15406030243504962,-0.821475757730146
23,1.0,-0.08590875357121099,-0.11251646525797443,0.10131852005086203,1.5615614769942185
23,1.0,-0.08590875357121099,-0.11251646525797443,0.10131852005086203,1.5615614769942185
