,rank
PCA_feature_1,22
PCA_feature_2,13
PCA_feature_3,1
PCA_feature_4,15
PCA_feature_5,10
PCA_feature_6,5
PCA_feature_7,12
PCA_feature_8,17
PCA_feature_9,8
PCA_feature_10,21
PCA_feature_11,1
PCA_feature_12,4
PCA_feature_13,2
PCA_feature_14,2
PCA_feature_15,11
PCA_feature_16,9
PCA_feature_17,3
PCA_feature_18,12
PCA_feature_19,14
PCA_feature_20,5
PCA_feature_21,6
PCA_feature_22,11
PCA_feature_23,11
PCA_feature_24,3
PCA_feature_25,6
PCA_feature_26,5
PCA_feature_27,16
PCA_feature_28,18
PCA_feature_29,3
PCA_feature_30,9
PCA_feature_31,19
PCA_feature_32,8
PCA_feature_33,3
PCA_feature_34,6
PCA_feature_35,10
PCA_feature_36,13
PCA_feature_37,11
PCA_feature_38,5
PCA_feature_39,19
PCA_feature_40,11
PCA_feature_41,5
PCA_feature_42,7
PCA_feature_43,17
PCA_feature_44,13
PCA_feature_45,7
PCA_feature_46,15
PCA_feature_47,14
PCA_feature_48,6
PCA_feature_49,4
PCA_feature_50,17
PCA_feature_51,9
PCA_feature_52,22
PCA_feature_53,3
PCA_feature_54,9
PCA_feature_55,16
PCA_feature_56,13
PCA_feature_57,17
PCA_feature_58,22
PCA_feature_59,7
PCA_feature_60,3
PCA_feature_61,12
PCA_feature_62,22
PCA_feature_63,21
PCA_feature_64,21
PCA_feature_65,12
PCA_feature_66,12
PCA_feature_67,7
PCA_feature_68,11
PCA_feature_69,5
PCA_feature_70,5
PCA_feature_71,17
PCA_feature_72,10
PCA_feature_73,19
PCA_feature_74,10
PCA_feature_75,8
PCA_feature_76,15
PCA_feature_77,20
PCA_feature_78,21
PCA_feature_79,15
PCA_feature_80,15
PCA_feature_81,14
PCA_feature_82,20
PCA_feature_83,20
PCA_feature_84,11
PCA_feature_85,16
PCA_feature_86,20
PCA_feature_87,8
PCA_feature_88,18
PCA_feature_89,20
PCA_feature_90,6
PCA_feature_91,17
PCA_feature_92,10
PCA_feature_93,18
PCA_feature_94,5
PCA_feature_95,12
PCA_feature_96,20
PCA_feature_97,14
PCA_feature_98,22
PCA_feature_99,11
PCA_feature_100,18
PCA_feature_101,18
PCA_feature_102,8
PCA_feature_103,13
PCA_feature_104,19
PCA_feature_105,9
PCA_feature_106,7
PCA_feature_107,4
PCA_feature_108,8
PCA_feature_109,14
PCA_feature_110,14
PCA_feature_111,7
PCA_feature_112,17
PCA_feature_113,18
PCA_feature_114,21
PCA_feature_115,16
PCA_feature_116,17
PCA_feature_117,16
PCA_feature_118,20
PCA_feature_119,8
PCA_feature_120,18
PCA_feature_121,7
PCA_feature_122,19
PCA_feature_123,21
PCA_feature_124,8
PCA_feature_125,19
PCA_feature_126,10
PCA_feature_127,2
PCA_feature_128,10
PCA_feature_129,1
PCA_feature_130,21
PCA_feature_131,15
PCA_feature_132,16
PCA_feature_133,10
PCA_feature_134,6
PCA_feature_135,4
PCA_feature_136,15
PCA_feature_137,12
PCA_feature_138,13
PCA_feature_139,7
PCA_feature_140,22
PCA_feature_141,12
PCA_feature_142,3
PCA_feature_143,16
PCA_feature_144,16
PCA_feature_145,9
PCA_feature_146,4
PCA_feature_147,4
PCA_feature_148,19
PCA_feature_149,18
PCA_feature_150,19
PCA_feature_151,6
PCA_feature_152,20
PCA_feature_153,9
PCA_feature_154,21
PCA_feature_155,22
PCA_feature_156,4
PCA_feature_157,15
PCA_feature_158,13
PCA_feature_159,14
PCA_feature_160,1
PCA_feature_161,22
PCA_feature_162,1
PCA_feature_163,6
PCA_feature_164,14
PCA_feature_165,4
PCA_feature_166,9
PCA_feature_167,3
PCA_feature_168,13
