,label,PCA_feature_112,PCA_feature_114,PCA_feature_14,PCA_feature_107,PCA_feature_110,PCA_feature_7,PCA_feature_132,PCA_feature_13
1,1.0,0.013127202529366014,0.009317122130113625,0.1269469915651668,-0.015711556215893874,0.00841231255293258,-0.5049092008852408,-5.854691731421724e-17,0.2643551752775043
1,1.0,0.013127202529366014,0.009317122130113625,0.1269469915651668,-0.015711556215893874,0.00841231255293258,-0.5049092008852408,-5.854691731421724e-17,0.2643551752775043
1,1.0,0.013127202529366014,0.009317122130113625,0.1269469915651668,-0.015711556215893874,0.00841231255293258,-0.5049092008852408,-5.854691731421724e-17,0.2643551752775043
2,0.0,-0.001741581773867587,-0.014982925502731628,0.2204641127157782,0.005669252843032338,0.015183060300198475,-0.9034123337921616,-1.5959455978986625e-16,-1.064808321829548
2,1.0,0.0016704676909944406,0.003884063561206394,1.0373864969131075,0.000683362382287056,0.0033099559369933473,-0.2993770884125727,6.804452834519026e-16,-0.6638556321671852
2,1.0,0.0016704676909944406,0.003884063561206394,1.0373864969131075,0.000683362382287056,0.0033099559369933473,-0.2993770884125727,6.804452834519026e-16,-0.6638556321671852
2,1.0,0.0016704676909944406,0.003884063561206394,1.0373864969131075,0.000683362382287056,0.0033099559369933473,-0.2993770884125727,6.804452834519026e-16,-0.6638556321671852
3,0.0,0.09384130953457911,-0.0802056708500906,0.03443521924832517,0.0064773418900730545,0.09612544918280205,-1.6225330104978513,1.6306400674181987e-16,-0.5047553204565768
4,0.0,-0.01632907992300461,-0.022265262622911806,-0.2581477638742542,-0.0686727735700774,-0.03964024324182855,-1.9675458139148827,4.85722573273506e-17,-0.05542168526297024
5,0.0,-0.0019969909084216336,0.015753986591409606,-0.32482304167132686,0.013322037000773283,-0.01740233643255209,1.0528282431067277,7.7021722333370235e-16,0.5203234808654291
5,1.0,-0.029560198371405343,-0.06265153711388671,-0.25395758507522903,-0.049269396126864054,0.012638853507715105,0.7985920177758249,-8.673617379884035e-19,-0.5657961172682708
7,1.0,-0.01615602317065901,-0.020596584684131378,-0.12053300486379842,-0.0055329880217688115,-0.03490429546538437,0.5745464442767371,1.3877787807814457e-16,-0.3988861509071059
7,1.0,-0.01615602317065901,-0.020596584684131378,-0.12053300486379842,-0.0055329880217688115,-0.03490429546538437,0.5745464442767371,1.3877787807814457e-16,-0.3988861509071059
7,1.0,-0.01615602317065901,-0.020596584684131378,-0.12053300486379842,-0.0055329880217688115,-0.03490429546538437,0.5745464442767371,1.3877787807814457e-16,-0.3988861509071059
7,0.0,0.0037383798547698244,-0.03493663566443233,0.10165218168653914,0.028667635912433626,-0.014792430763161342,-0.4111120692102432,1.9255430583342559e-16,-0.32969183995046103
8,1.0,0.013784059398672565,0.041751976575130786,-0.2196555971641439,0.10336446020428917,-0.06580311716034871,0.36254348768887057,2.2551405187698492e-17,-0.6445650674544503
9,0.0,0.003648256700026723,-0.003884577569378586,0.5715417050811012,-0.009096154484472374,-0.007373321225767025,-2.1342453265631054,-1.4452414959231774e-16,-0.8780061342401277
10,1.0,0.002091837135273049,-0.004771783246940033,-0.9341690556370712,0.002295509431350179,0.00044424718569195665,-0.1999391846933299,5.273559366969494e-16,1.6240195606379204
10,1.0,0.002091837135273049,-0.004771783246940019,-0.9341690556370712,0.002295509431350068,0.00044424718569188726,-0.1999391846933294,3.7816971776294395e-16,1.6240195606379204
11,0.0,-0.005962098194866691,-0.0006126796727405626,1.2014479231570354,0.0011350385083760996,-0.01269420727513014,-0.7254151445972137,-1.3183898417423734e-16,-0.29233234871035424
11,1.0,0.01670625419330974,0.03799735875763444,-0.49457639969069683,-0.00047471954980088556,0.0032631910273286623,-1.5438884514144708,-1.491862189340054e-16,-0.6794359202675878
11,1.0,0.01670625419330974,0.03799735875763444,-0.49457639969069683,-0.00047471954980088556,0.0032631910273286623,-1.5438884514144708,-1.491862189340054e-16,-0.6794359202675878
12,1.0,-0.0004739236486371312,0.0045024474126700645,-0.358218241225184,-0.003941502822601174,0.013159344726936098,-0.6571704181901636,-1.1102230246251565e-16,0.5187670301651326
13,1.0,-0.0031895541041146586,0.003787823300637389,-1.0284257389383498,0.004974153172173167,0.00029987576659949375,-0.46864085480426787,6.591949208711867e-17,-0.4230792403460528
13,1.0,-0.0031895541041146586,0.003787823300637389,-1.0284257389383498,0.004974153172173167,0.00029987576659949375,-0.46864085480426787,6.591949208711867e-17,-0.4230792403460528
