,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.5853
balance_train_Cutoff,0.5339
balance_train_Acc,0.5833
balance_train_MCC,0.2031
balance_train_Sen,0.2976
balance_train_Spe,0.8690
balance_train_PPV,0.6944
balance_train_NPV,0.5530
balance_train_Youden Index,0.1667
balance_train_AUC,0.5690
balance_train_95% CIs,[0.4820-0.6560]
balance_train_Std,0.0444
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.3927
train_Cutoff,0.5348
train_Acc,0.6929
train_MCC,0.2328
train_Sen,0.1163
train_Spe,0.9881
train_PPV,0.8333
train_NPV,0.6860
train_Youden Index,0.1044
train_AUC,0.5197
train_95% CIs,[0.4096-0.6297]
train_Std,0.0561
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.3981
test_Cutoff,0.3014
test_Acc,0.5273
test_MCC,0.2128
test_Sen,0.8421
test_Spe,0.3611
test_PPV,0.4103
test_NPV,0.8125
test_Youden Index,0.2032
test_AUC,0.5950
test_95% CIs,[0.4360-0.7540]
test_Std,0.0811
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.6578
cv_train_Cutoff,0.5697
cv_train_Acc,0.6146
cv_train_MCC,0.2330
cv_train_Sen,0.5238
cv_train_Spe,0.7054
cv_train_PPV,0.6400
cv_train_NPV,0.5970
cv_train_Youden Index,0.2292
cv_train_AUC,0.6546
cv_train_95% CIs,[0.6137-0.6954]
cv_train_Std,0.0208
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.3761
cv_val_Cutoff,0.2620
cv_val_Acc,0.5906
cv_val_MCC,0.2333
cv_val_Sen,0.7209
cv_val_Spe,0.5238
cv_val_PPV,0.4366
cv_val_NPV,0.7857
cv_val_Youden Index,0.2447
cv_val_AUC,0.5559
cv_val_95% CIs,[0.4550-0.6569]
cv_val_Std,0.0515
