,label,PCA_feature_2,PCA_feature_14,PCA_feature_129,PCA_feature_148,PCA_feature_150,PCA_feature_167
1,1.0,-4.6052184687565125,0.1269469915651668,2.2724877535296173e-16,-1.0755285551056204e-16,-3.625572064791527e-16,2.5673907444456745e-16
2,1.0,-4.480450374651669,1.0373864969131075,6.175615574477433e-16,-2.0469737016526324e-16,-1.214306433183765e-16,1.457167719820518e-16
2,0.0,0.9626202212005489,0.2204641127157782,2.5673907444456745e-16,1.2880321809127793e-16,-3.469446951953614e-17,-3.8163916471489756e-17
3,0.0,0.7149419220625326,0.03443521924832517,8.500145032286355e-17,3.2612801348363973e-16,2.47198095326695e-16,4.85722573273506e-17
4,0.0,-0.32345898158569286,-0.2581477638742542,-2.8449465006019636e-16,1.6653345369377348e-16,1.6393136847980827e-16,-7.632783294297951e-17
5,0.0,1.62718882318057,-0.32482304167132686,-1.1102230246251565e-16,4.510281037539698e-16,2.8362728832220796e-16,-2.7755575615628914e-17
5,1.0,-1.5942384344162133,-0.25395758507522903,1.0755285551056204e-16,3.9898639947466563e-17,5.898059818321144e-17,-1.474514954580286e-17
7,0.0,0.23115796550844425,0.10165218168653914,-6.938893903907228e-17,2.255140518769849e-16,2.636779683484747e-16,-9.71445146547012e-17
7,1.0,-0.7789744119904478,-0.12053300486379842,2.237793284010081e-16,-5.984795992119984e-17,1.3877787807814457e-17,5.551115123125783e-17
8,1.0,-0.20380204211282232,-0.2196555971641439,2.3765711620882257e-16,6.158268339717665e-17,9.367506770274758e-17,-1.3877787807814457e-17
9,0.0,5.544455236248869,0.5715417050811012,-2.983724378680108e-16,2.7755575615628914e-17,-1.5959455978986625e-16,-6.245004513516506e-17
10,1.0,1.2447264568798149,-0.9341690556370712,-5.828670879282072e-16,1.5265566588595902e-16,-2.220446049250313e-16,-1.8041124150158794e-16
11,1.0,0.1809925109640407,-0.49457639969069683,1.6653345369377348e-16,2.5847379792054426e-16,1.1882855810441129e-16,-2.42861286636753e-17
11,0.0,4.183979238323507,1.2014479231570354,2.1510571102112408e-16,-3.5388358909926865e-16,-1.3877787807814457e-16,-4.510281037539698e-16
12,1.0,1.8731441696749336,-0.358218241225184,2.0816681711721685e-17,2.5673907444456745e-16,1.214306433183765e-17,-5.551115123125783e-17
13,0.0,2.7709088573651406,-0.6028072520624208,3.469446951953614e-17,-3.8163916471489756e-17,-1.8388068845354155e-16,1.474514954580286e-16
13,1.0,-0.05269255231957361,-1.0284257389383498,2.983724378680108e-16,3.7903707950093235e-16,-1.734723475976807e-17,-6.938893903907228e-17
