,Coef
PCA_feature_2,-0.12223804992968024
PCA_feature_3,0.1302951887049879
PCA_feature_9,0.0631902531939188
PCA_feature_11,-0.030210507240592488
PCA_feature_13,0.26268459088834284
PCA_feature_16,0.17829769833065257
PCA_feature_23,0.11661282068479117
PCA_feature_25,-0.24133811378951142
PCA_feature_26,-0.32093875859057786
PCA_feature_58,0.14189888100885018
PCA_feature_131,-2.2538390090334527e-14
PCA_feature_135,1.8193567845369742e-14
PCA_feature_137,1.9495523871927053e-14
PCA_feature_142,-3.570052022318492e-14
PCA_feature_143,4.5220484063388465e-15
PCA_feature_147,3.8116131754443e-15
PCA_feature_153,-2.4184466456601948e-14
