,label,PCA_feature_3,PCA_feature_10,PCA_feature_11,PCA_feature_23,PCA_feature_27,PCA_feature_30,PCA_feature_54,PCA_feature_59,PCA_feature_129,PCA_feature_131,PCA_feature_140,PCA_feature_154
1,1.0,22.530387107943348,-8.512075923895434,-1.117372307835492,0.011505571401213444,-0.573844127871646,2.436599126934786,-0.6746480816765867,-0.37720346200757143,1.582067810090848e-15,4.440892098500626e-16,1.4710455076283324e-15,5.551115123125783e-17
2,1.0,34.37969619191428,-0.47260682391770603,-12.137164945259894,-3.12954823484032,0.8238868571153347,-0.4954813845660013,0.19863028864615562,-0.35830732038589574,2.1371793224034263e-15,-2.1094237467877974e-15,3.2751579226442118e-15,-1.6653345369377348e-16
2,0.0,-4.030280480650442,1.2663202116322623,1.5533186667874217,0.2402248703649209,-0.22524447457717572,0.9076890319638475,-0.5993591987026342,0.8837379325508277,1.2212453270876722e-15,-2.0122792321330962e-15,1.3461454173580023e-15,1.3877787807814457e-17
3,0.0,-10.457337549334719,0.9072705788684886,2.9479532489589424,-1.4184301934717887,-0.6618980812623585,-2.2622550949449227,0.5361212866262779,1.2996018489398096,-1.5265566588595902e-16,-2.636779683484747e-16,-1.4432899320127035e-15,8.326672684688674e-17
4,0.0,-15.016616969710784,-0.12777851826741826,-0.7081732658768449,5.9078426382280105,-1.58849284604752,1.1147497697478803,1.6861265155229732,-0.5082288567551699,-5.828670879282072e-16,8.326672684688674e-17,-9.43689570931383e-16,-1.1379786002407855e-15
5,0.0,12.25635266614403,2.6052774534942444,1.3938291897217958,-3.4703009292843543,-5.8120548741936435,4.257565518485482,1.7556393704445479,-0.8323931733582929,-1.6930901125533637e-15,1.7139067942650854e-15,3.552713678800501e-15,-2.498001805406602e-16
5,1.0,-5.570592956764211,0.9420826920976524,6.385849141480515,-0.8424948503269976,0.44506677809857886,-0.4409059491224264,0.2389006471402996,-0.15708279340530595,1.2038980923279041e-15,-4.926614671774132e-16,3.3306690738754696e-16,-1.6653345369377348e-16
7,0.0,-13.957475739768627,3.966327505916876,-0.33872380426394877,3.297426309278247,-0.5264199725192424,-2.081588853766956,0.5198970673807392,0.16767064634569417,3.7470027081099033e-16,4.85722573273506e-16,-1.4432899320127035e-15,0.0
7,1.0,-7.108741620284428,-0.1821574708265206,5.4109496026792,1.3138047631803333,1.9321015159724595,-0.25613126723812746,-0.400336366554569,-0.2255206715199756,1.0685896612017132e-15,-9.228728892196614e-16,-6.106226635438361e-16,-6.869504964868156e-16
8,1.0,-8.187356731638493,-2.38996623083798,4.631548760844914,-0.5867138778557781,1.8154054426096504,0.5872705248024737,-1.1764381783934377,-0.6500467183074946,1.3079815008865125e-15,-2.706168622523819e-16,-3.7470027081099033e-16,5.48172618408671e-16
9,0.0,6.757358926328597,10.95173007057262,12.402311279699436,0.07462520809534068,1.32842916804735,1.3706874506814088,-0.5594319244197947,0.0044252656755856545,-3.497202527569243e-15,6.328271240363392e-15,1.7486012637846216e-15,-6.661338147750939e-16
10,1.0,11.951006727543882,-5.324446964794673,-0.9088622277598302,-0.8785269128090966,1.4709850233145572,-0.7378312974343396,-2.145929473332514,1.746267169373537,-3.774758283725532e-15,3.649858193455202e-15,1.8041124150158794e-15,4.996003610813204e-16
