,label,PCA_feature_88,PCA_feature_11,PCA_feature_17,PCA_feature_137,PCA_feature_37,PCA_feature_3,PCA_feature_167,PCA_feature_130
1,0.0,0.2849800000815409,18.577186602608442,0.8238866272604934,-1.9845236565174673e-15,3.24746796517082,-20.704172677364035,-8.396061623727746e-16,-1.908195823574488e-15
1,1.0,0.22385124384908778,4.0006981598034885,-1.020926169526052,5.336009412104659e-15,2.8164702887989344,22.923878217561438,-8.951173136040325e-16,3.5882755100580255e-15
1,1.0,0.22385124384908778,4.0006981598034885,-1.020926169526052,5.336009412104659e-15,2.8164702887989344,22.923878217561438,-8.951173136040325e-16,3.5882755100580255e-15
1,1.0,0.22385124384908778,4.0006981598034885,-1.020926169526052,5.336009412104659e-15,2.8164702887989344,22.923878217561438,-8.951173136040325e-16,3.5882755100580255e-15
2,1.0,-0.021889964987214305,7.77545107455297,0.39236503532139094,8.049116928532385e-15,0.11802108422031035,32.129038064447805,-1.096345236817342e-15,-2.1163626406917047e-15
2,0.0,-0.19422968341802965,0.9291416531873937,-3.6908183326337762,5.537237335317968e-15,2.9729400690385126,-4.659755304834523,-8.326672684688674e-17,2.1441182163073336e-15
2,1.0,-0.021889964987214305,7.77545107455297,0.39236503532139094,8.049116928532385e-15,0.11802108422031035,32.129038064447805,-1.096345236817342e-15,-2.1163626406917047e-15
2,1.0,-0.021889964987214305,7.77545107455297,0.39236503532139094,8.049116928532385e-15,0.11802108422031035,32.129038064447805,-1.096345236817342e-15,-2.1163626406917047e-15
3,1.0,-0.02455470958324693,-3.2045069534109034,0.08203851136958529,-3.9898639947466563e-17,2.3084246360537537,-8.496784974305262,1.3530843112619095e-16,4.787836793695988e-16
5,1.0,0.5559858792202086,-1.9828200814900985,0.693643624833751,-8.326672684688674e-16,0.29822164787055133,-1.4797168132544616,-5.412337245047638e-16,6.245004513516506e-17
5,0.0,0.04260699087754122,-1.981776460188734,-0.3869834686586394,-1.0824674490095276e-15,3.481049371825381,5.616500721972715,-2.3592239273284576e-16,-3.3306690738754696e-15
5,1.0,0.5559858792202086,-1.9828200814900985,0.693643624833751,-8.326672684688674e-16,0.29822164787055133,-1.4797168132544616,-5.412337245047638e-16,6.245004513516506e-17
5,1.0,0.5559858792202086,-1.9828200814900985,0.693643624833751,-8.326672684688674e-16,0.29822164787055133,-1.4797168132544616,-5.412337245047638e-16,6.245004513516506e-17
6,1.0,0.08404101676982144,-1.1114766481007963,-0.7100023546717237,-8.396061623727746e-16,-2.1127050003374417,-5.143296072004946,-5.620504062164855e-16,-1.3149203947904198e-15
7,0.0,-0.25918686835940186,7.184854614979039,2.7264043528656146,-2.123301534595612e-15,-1.1296175613480073,-13.282130587128474,-1.8041124150158794e-16,-1.1921887088650607e-15
7,1.0,-0.679852768581926,-3.638702520880764,-1.2633056188911116,-2.1198320876436583e-15,0.23906015425203544,-3.4308148144348847,-3.469446951953614e-16,-8.465450562766819e-16
7,1.0,-0.6798527685819259,-3.6387025208807633,-1.2633056188911123,-2.1510571102112408e-15,0.23906015425203445,-3.430814814434886,-3.469446951953614e-16,-8.604228440844963e-16
8,1.0,0.9654105045833181,-0.9763688538506361,-1.866028860483384,-3.0531133177191805e-16,0.4613189666637949,-8.18200702701287,2.0122792321330962e-16,1.7797178661349555e-16
8,0.0,0.07978630389893313,3.993303831801346,-4.674205316073179,-1.582067810090848e-15,1.9783091142150775,-12.415014510488243,3.122502256758253e-16,6.591949208711867e-17
8,1.0,0.9654105045833181,-0.9763688538506361,-1.866028860483384,-3.0531133177191805e-16,0.4613189666637949,-8.18200702701287,2.0122792321330962e-16,1.7797178661349555e-16
9,0.0,0.024583882709753938,1.3763506306556934,3.3896346765306276,-2.5673907444456745e-15,-0.1669163892589996,-5.210669040533466,2.1094237467877974e-15,1.457167719820518e-16
10,1.0,0.3826182493303944,-0.3419219237771228,-0.8304807717286661,-3.0531133177191805e-16,0.21982155185793276,5.070351615238596,-9.575673587391975e-16,1.2490009027033011e-15
11,1.0,0.3350392604801463,1.3030605098136494,-6.637044550969546,4.163336342344337e-16,-0.9074143988519587,-9.042166587126967,-8.326672684688674e-17,-6.359929943799969e-16
11,0.0,0.24455952891641247,5.378204006576274,11.366472021569189,-2.706168622523819e-15,0.5386696372292403,-4.539032954891779,-1.3183898417423734e-15,-3.299444051307887e-15
11,1.0,0.3350392604801463,1.3030605098136494,-6.637044550969546,4.163336342344337e-16,-0.9074143988519587,-9.042166587126967,-8.326672684688674e-17,-6.359929943799969e-16
12,1.0,-0.128732877882768,0.052551090224522756,-0.5687617991702555,-5.412337245047638e-16,-0.794300821406367,3.8257093178742414,-5.204170427930421e-16,2.42861286636753e-15
12,1.0,-0.128732877882768,0.052551090224522756,-0.5687617991702555,-5.412337245047638e-16,-0.794300821406367,3.8257093178742414,-5.204170427930421e-16,2.42861286636753e-15
12,0.0,0.3904455130231592,4.983522222254106,1.93920898092111,-1.9897278269453977e-15,-0.9540689368150521,-12.455282318492511,-4.163336342344337e-17,-2.3869795029440866e-15
12,1.0,-0.128732877882768,0.052551090224522756,-0.5687617991702555,-5.412337245047638e-16,-0.794300821406367,3.8257093178742414,-5.204170427930421e-16,2.42861286636753e-15
12,1.0,-0.128732877882768,0.052551090224522756,-0.5687617991702555,-5.412337245047638e-16,-0.794300821406367,3.8257093178742414,-5.204170427930421e-16,2.42861286636753e-15
13,1.0,-0.08725681338334362,5.999961242979484,-5.43165816508052,8.72565908416334e-16,-0.6062470200833361,-0.6238368685446207,6.574601973952099e-16,-6.938893903907228e-16
13,0.0,-0.18269799301027922,-3.6605511220601503,-6.297449641899412,1.0824674490095276e-15,0.3399222090682814,-1.188936875504766,1.3761778175358508e-15,-3.5110803153770576e-15
14,1.0,1.208842790393904,-0.898132277495033,3.772665725511745,-6.245004513516506e-16,1.2789732030130274,16.124249306345483,-1.0685896612017132e-15,5.672545766444159e-16
14,0.0,-0.23951489134471102,-2.9367549975675065,6.590914704428113,-5.412337245047638e-15,-2.107822244347936,20.33532934903771,-2.3592239273284576e-15,5.48172618408671e-16
15,1.0,-0.6094419353712508,-0.5032277000087126,-3.9837618417195446,1.304512053934559e-15,-0.6912376338991466,24.692075315236867,-9.43689570931383e-16,-2.636779683484747e-16
15,1.0,-0.609441935371251,-0.503227700008713,-3.9837618417195437,7.771561172376096e-16,-0.6912376338991479,24.692075315236863,-9.43689570931383e-16,8.326672684688674e-17
15,0.0,-0.30818994271754324,-0.5502638801965558,4.26790614854921,-2.831068712794149e-15,1.9038130736778238,-18.864094290086587,1.0547118733938987e-15,-1.837939522797427e-15
17,0.0,-0.8969414820163663,1.895975648647655,-3.492393464651692,1.3877787807814457e-16,1.528708429869691,-8.854987022628265,-3.0531133177191805e-16,-1.97758476261356e-15
17,1.0,-0.5300235224803818,-7.186234956338348,-0.9172016493497606,2.9976021664879227e-15,1.421031958481086,1.3134382469033308,8.604228440844963e-16,7.7021722333370235e-16
17,1.0,-0.5300235224803818,-7.186234956338348,-0.9172016493497606,2.9976021664879227e-15,1.421031958481086,1.3134382469033308,8.604228440844963e-16,7.7021722333370235e-16
18,0.0,0.26276027513826133,-0.5082587850702909,1.5877409681766168,5.551115123125783e-16,0.8870250141829915,12.770053141687828,-9.71445146547012e-17,-3.490263633665336e-15
19,0.0,0.6254630131335611,1.7786243519514646,5.599330921150547,-2.6020852139652106e-15,-1.8959384994447546,-12.596829101497049,-1.0130785099704553e-15,-3.0253577421035516e-15
19,1.0,-0.5824193703618399,-3.17374133227876,1.8825459234032071,5.204170427930421e-16,0.8375594771716544,10.900576005510267,-4.440892098500626e-16,1.0477729794899915e-15
19,1.0,-0.5824193703618402,-3.173741332278761,1.8825459234032067,3.5388358909926865e-16,0.8375594771716547,10.900576005510265,-4.440892098500626e-16,1.0096090630185017e-15
21,0.0,-0.17962610124676864,9.422584925536444,3.9652261141714398,-2.0261570199409107e-15,-3.542117622783163,-20.241511508770518,7.216449660063518e-16,-2.7113727929517495e-15
22,1.0,0.18426837907184912,-2.912769425509732,2.9830408351701223,-2.498001805406602e-16,-0.017595567605352712,5.583871872200099,1.1102230246251565e-16,1.654926196081874e-15
