,Coef
PCA_feature_2,-0.9965839653846069
PCA_feature_10,-1.7850382897023394
PCA_feature_11,-1.463480368511815
PCA_feature_13,-2.523013391822074
PCA_feature_14,-2.8584517856027647
PCA_feature_20,-3.900746244052738
PCA_feature_33,-2.2604841361950845
PCA_feature_129,3629018930056239.0
PCA_feature_147,-307576183172183.0
PCA_feature_148,-5139396094569932.0
PCA_feature_150,-9935429394534530.0
PCA_feature_159,4236766879054280.0
PCA_feature_160,6651302397607217.0
PCA_feature_161,2493723580568147.5
PCA_feature_167,3594727339449411.5
