,Coef
PCA_feature_2,-0.6248104926004765
PCA_feature_3,0.2635074268158224
PCA_feature_13,-1.097472912313867
PCA_feature_14,-1.140931458726052
PCA_feature_129,6.605255489764367e-15
PCA_feature_136,7.427844399803774e-16
PCA_feature_137,1.9092549235976446e-15
PCA_feature_138,-2.019665802988212e-15
PCA_feature_141,3.3652468840501947e-15
PCA_feature_142,-3.2398328305060163e-16
PCA_feature_146,-3.78603405185622e-15
PCA_feature_147,-1.7351144319431158e-15
PCA_feature_148,-9.454956636745856e-16
PCA_feature_149,3.791970891083152e-16
PCA_feature_150,-5.483450466447633e-15
PCA_feature_161,-1.232416835086482e-16
PCA_feature_163,-2.3055522990002684e-15
PCA_feature_164,5.453508878187209e-17
PCA_feature_165,1.832733044659774e-15
PCA_feature_167,1.0410946850460232e-15
