,rank
PCA_feature_1,18
PCA_feature_2,1
PCA_feature_3,5
PCA_feature_4,18
PCA_feature_5,3
PCA_feature_6,10
PCA_feature_7,5
PCA_feature_8,3
PCA_feature_9,2
PCA_feature_10,1
PCA_feature_11,1
PCA_feature_12,12
PCA_feature_13,1
PCA_feature_14,1
PCA_feature_15,18
PCA_feature_16,1
PCA_feature_17,2
PCA_feature_18,20
PCA_feature_19,5
PCA_feature_20,1
PCA_feature_21,9
PCA_feature_22,18
PCA_feature_23,13
PCA_feature_24,16
PCA_feature_25,1
PCA_feature_26,2
PCA_feature_27,3
PCA_feature_28,19
PCA_feature_29,4
PCA_feature_30,9
PCA_feature_31,12
PCA_feature_32,8
PCA_feature_33,1
PCA_feature_34,11
PCA_feature_35,10
PCA_feature_36,6
PCA_feature_37,3
PCA_feature_38,6
PCA_feature_39,13
PCA_feature_40,8
PCA_feature_41,5
PCA_feature_42,6
PCA_feature_43,4
PCA_feature_44,8
PCA_feature_45,13
PCA_feature_46,3
PCA_feature_47,5
PCA_feature_48,16
PCA_feature_49,2
PCA_feature_50,14
PCA_feature_51,8
PCA_feature_52,13
PCA_feature_53,16
PCA_feature_54,17
PCA_feature_55,6
PCA_feature_56,11
PCA_feature_57,12
PCA_feature_58,19
PCA_feature_59,7
PCA_feature_60,1
PCA_feature_61,10
PCA_feature_62,7
PCA_feature_63,11
PCA_feature_64,11
PCA_feature_65,14
PCA_feature_66,9
PCA_feature_67,9
PCA_feature_68,19
PCA_feature_69,11
PCA_feature_70,11
PCA_feature_71,11
PCA_feature_72,15
PCA_feature_73,13
PCA_feature_74,14
PCA_feature_75,3
PCA_feature_76,9
PCA_feature_77,5
PCA_feature_78,6
PCA_feature_79,8
PCA_feature_80,7
PCA_feature_81,8
PCA_feature_82,20
PCA_feature_83,4
PCA_feature_84,16
PCA_feature_85,6
PCA_feature_86,8
PCA_feature_87,14
PCA_feature_88,20
PCA_feature_89,9
PCA_feature_90,15
PCA_feature_91,15
PCA_feature_92,18
PCA_feature_93,19
PCA_feature_94,12
PCA_feature_95,15
PCA_feature_96,20
PCA_feature_97,15
PCA_feature_98,12
PCA_feature_99,12
PCA_feature_100,14
PCA_feature_101,12
PCA_feature_102,19
PCA_feature_103,11
PCA_feature_104,5
PCA_feature_105,14
PCA_feature_106,16
PCA_feature_107,15
PCA_feature_108,10
PCA_feature_109,16
PCA_feature_110,17
PCA_feature_111,6
PCA_feature_112,16
PCA_feature_113,20
PCA_feature_114,17
PCA_feature_115,19
PCA_feature_116,13
PCA_feature_117,18
PCA_feature_118,17
PCA_feature_119,15
PCA_feature_120,18
PCA_feature_121,13
PCA_feature_122,10
PCA_feature_123,9
PCA_feature_124,20
PCA_feature_125,12
PCA_feature_126,18
PCA_feature_127,14
PCA_feature_128,10
PCA_feature_129,1
PCA_feature_130,10
PCA_feature_131,20
PCA_feature_132,14
PCA_feature_133,13
PCA_feature_134,17
PCA_feature_135,9
PCA_feature_136,2
PCA_feature_137,5
PCA_feature_138,1
PCA_feature_139,20
PCA_feature_140,17
PCA_feature_141,4
PCA_feature_142,4
PCA_feature_143,7
PCA_feature_144,19
PCA_feature_145,15
PCA_feature_146,8
PCA_feature_147,1
PCA_feature_148,1
PCA_feature_149,7
PCA_feature_150,1
PCA_feature_151,16
PCA_feature_152,6
PCA_feature_153,17
PCA_feature_154,19
PCA_feature_155,4
PCA_feature_156,10
PCA_feature_157,7
PCA_feature_158,17
PCA_feature_159,1
PCA_feature_160,1
PCA_feature_161,1
PCA_feature_162,7
PCA_feature_163,4
PCA_feature_164,3
PCA_feature_165,7
PCA_feature_166,3
PCA_feature_167,1
PCA_feature_168,4
