,Coef
PCA_feature_112,-1.0819516679411423
PCA_feature_114,0.06301020237280797
PCA_feature_14,-1.2709828301030328
PCA_feature_107,-1.2850125265381958
PCA_feature_110,0.9052541001833112
PCA_feature_7,0.17286384522417378
PCA_feature_132,-1.9212900256652948e-14
PCA_feature_13,-1.0598245120971037
PCA_feature_108,-1.1930006392865369
PCA_feature_89,-1.2044380713297458
PCA_feature_16,0.45744502022609973
PCA_feature_36,0.6982379018805233
PCA_feature_74,0.8886160966580643
PCA_feature_93,-0.030536720452351084
