,rank
PCA_feature_1,17
PCA_feature_2,1
PCA_feature_3,1
PCA_feature_4,9
PCA_feature_5,11
PCA_feature_6,8
PCA_feature_7,15
PCA_feature_8,9
PCA_feature_9,3
PCA_feature_10,4
PCA_feature_11,3
PCA_feature_12,4
PCA_feature_13,1
PCA_feature_14,18
PCA_feature_15,17
PCA_feature_16,2
PCA_feature_17,20
PCA_feature_18,6
PCA_feature_19,10
PCA_feature_20,21
PCA_feature_21,9
PCA_feature_22,11
PCA_feature_23,3
PCA_feature_24,8
PCA_feature_25,3
PCA_feature_26,3
PCA_feature_27,19
PCA_feature_28,16
PCA_feature_29,13
PCA_feature_30,9
PCA_feature_31,5
PCA_feature_32,13
PCA_feature_33,21
PCA_feature_34,18
PCA_feature_35,5
PCA_feature_36,5
PCA_feature_37,16
PCA_feature_38,10
PCA_feature_39,9
PCA_feature_40,6
PCA_feature_41,4
PCA_feature_42,20
PCA_feature_43,20
PCA_feature_44,8
PCA_feature_45,16
PCA_feature_46,10
PCA_feature_47,20
PCA_feature_48,6
PCA_feature_49,21
PCA_feature_50,12
PCA_feature_51,6
PCA_feature_52,6
PCA_feature_53,6
PCA_feature_54,5
PCA_feature_55,12
PCA_feature_56,9
PCA_feature_57,9
PCA_feature_58,3
PCA_feature_59,17
PCA_feature_60,16
PCA_feature_61,4
PCA_feature_62,18
PCA_feature_63,16
PCA_feature_64,22
PCA_feature_65,19
PCA_feature_66,20
PCA_feature_67,8
PCA_feature_68,19
PCA_feature_69,7
PCA_feature_70,4
PCA_feature_71,6
PCA_feature_72,18
PCA_feature_73,15
PCA_feature_74,14
PCA_feature_75,15
PCA_feature_76,11
PCA_feature_77,14
PCA_feature_78,10
PCA_feature_79,13
PCA_feature_80,17
PCA_feature_81,22
PCA_feature_82,15
PCA_feature_83,21
PCA_feature_84,6
PCA_feature_85,12
PCA_feature_86,20
PCA_feature_87,14
PCA_feature_88,18
PCA_feature_89,13
PCA_feature_90,21
PCA_feature_91,19
PCA_feature_92,15
PCA_feature_93,10
PCA_feature_94,7
PCA_feature_95,13
PCA_feature_96,20
PCA_feature_97,14
PCA_feature_98,16
PCA_feature_99,13
PCA_feature_100,19
PCA_feature_101,22
PCA_feature_102,7
PCA_feature_103,14
PCA_feature_104,21
PCA_feature_105,7
PCA_feature_106,7
PCA_feature_107,12
PCA_feature_108,10
PCA_feature_109,7
PCA_feature_110,16
PCA_feature_111,18
PCA_feature_112,19
PCA_feature_113,20
PCA_feature_114,13
PCA_feature_115,11
PCA_feature_116,18
PCA_feature_117,22
PCA_feature_118,17
PCA_feature_119,8
PCA_feature_120,12
PCA_feature_121,12
PCA_feature_122,8
PCA_feature_123,22
PCA_feature_124,15
PCA_feature_125,16
PCA_feature_126,14
PCA_feature_127,14
PCA_feature_128,12
PCA_feature_129,8
PCA_feature_130,5
PCA_feature_131,2
PCA_feature_132,8
PCA_feature_133,7
PCA_feature_134,22
PCA_feature_135,1
PCA_feature_136,12
PCA_feature_137,2
PCA_feature_138,17
PCA_feature_139,18
PCA_feature_140,22
PCA_feature_141,17
PCA_feature_142,1
PCA_feature_143,4
PCA_feature_144,17
PCA_feature_145,5
PCA_feature_146,4
PCA_feature_147,3
PCA_feature_148,10
PCA_feature_149,11
PCA_feature_150,11
PCA_feature_151,15
PCA_feature_152,19
PCA_feature_153,3
PCA_feature_154,9
PCA_feature_155,4
PCA_feature_156,10
PCA_feature_157,21
PCA_feature_158,5
PCA_feature_159,15
PCA_feature_160,13
PCA_feature_161,11
PCA_feature_162,5
PCA_feature_163,11
PCA_feature_164,19
PCA_feature_165,21
PCA_feature_166,22
PCA_feature_167,7
PCA_feature_168,14
