,Coef
PCA_feature_11,-0.8451548274530213
PCA_feature_3,0.6110247589896596
PCA_feature_28,-0.5415235916926856
PCA_feature_124,0.4329436206637043
PCA_feature_122,0.08828563178512706
PCA_feature_15,-0.1765596188269702
PCA_feature_134,-5.6480282340428655e-15
PCA_feature_89,-0.16205361248023287
PCA_feature_23,0.704237468417013
PCA_feature_126,0.15619015365315933
PCA_feature_148,4.1686376414695716e-15
PCA_feature_14,-0.6662934887782378
PCA_feature_128,2.595732073316903e-15
PCA_feature_30,-0.13082788982462373
PCA_feature_16,-0.6142970957204983
