,Coef
PCA_feature_88,-0.24580162922305232
PCA_feature_11,-0.09207206062931483
PCA_feature_17,-0.007959874628173103
PCA_feature_137,7.515103761562958e-14
PCA_feature_37,-0.06130321816063258
PCA_feature_3,0.0862932644464891
PCA_feature_167,1.4008163111630458e-14
PCA_feature_130,1.2644055360527753e-14
PCA_feature_15,0.07194476070965616
PCA_feature_89,0.13992107208098203
PCA_feature_142,-2.832615741489749e-14
PCA_feature_138,-2.7495144343431737e-14
PCA_feature_18,0.11385475025961611
PCA_feature_13,0.13503911956507864
PCA_feature_117,-0.13199655395165036
PCA_feature_97,-0.1938816335478382
PCA_feature_1,0.02004105152062996
PCA_feature_80,-0.20075331419178555
