,label,PCA_feature_11,PCA_feature_3,PCA_feature_28,PCA_feature_124,PCA_feature_122,PCA_feature_15,PCA_feature_134
1,0.0,1.1438806873175698,-2.758241586647062,-1.0544758427857586,-0.0038927983166622687,0.007178882715669086,0.8182405334935939,3.677613769070831e-16
1,1.0,0.2188137352112027,4.450455152928563,0.4604724654848585,0.0007043632088609003,-0.0074888299109399994,1.0229711445260035,-1.2698175844150228e-15
2,0.0,0.3039849961140699,-0.526318377756612,-0.5218027902535161,-0.0210907937415524,0.00045440581563054375,-0.008948616007097482,4.839878497975292e-16
2,1.0,1.9935922253939728,6.736429557835909,0.49671975877844615,0.0037661868782649516,-0.0017769288352735644,0.005268789216660602,-1.6566609195578508e-16
3,1.0,-0.31705016197551456,-0.8322535979329475,0.3063451373773787,-0.05154857782184862,-0.0008305992703251889,-0.807185896432034,2.8709673527416157e-16
5,1.0,-0.7034019124760265,-0.15412484136589127,-0.10134742023919219,-0.0020150749426895986,-0.009532833809313818,0.3842246870893829,-4.683753385137379e-17
5,0.0,-0.922145726381419,1.4615717032689457,-0.6005627123906161,-0.006028575448609658,-0.008178458054360665,-0.3194637081170779,6.678685382510707e-16
6,1.0,-0.11271802619888541,-0.24022443868703702,0.4851346603583114,-0.053894761477407196,0.07926951554697875,0.27509652517305844,-2.3245294578089215e-16
7,0.0,-0.0032408149354684126,-1.7637474442882104,0.051316341524256966,0.01921231685337448,-0.023882966613334104,0.5358157179550025,2.905661822261152e-16
7,1.0,-1.0941183771634149,-0.7097463204521569,-0.27181666173124164,0.019717180410727078,0.061723827280129345,0.47476333926353864,9.540979117872439e-17
8,0.0,0.6119779080028633,-2.1258358474319663,-0.24688284727435572,-0.03552039052085717,0.01288190245669319,-0.4859261086046184,2.0296264668928643e-16
8,1.0,-0.648242928391219,-1.2165130365745231,-0.10522594929266453,0.04257833206313951,-0.012509154836847256,0.34003265594178445,3.5561831257524545e-17
9,0.0,-1.4516118148820858,-1.6316498253189669,0.007499385269987759,-0.004003481565631815,0.008959891003241557,-0.7274739375379221,4.2934406030425976e-16
10,1.0,-0.9023831507521607,1.9909145503468872,-0.21777834320376044,0.007158653470900042,0.011449285109673236,-0.47421125243445705,2.5500435096859064e-16
11,0.0,0.8543908231024047,-0.4337000168558884,-0.9188862005263606,-0.000845575609678989,0.0052086320623829264,0.1642716874057548,6.891189008317866e-16
11,1.0,1.0858857468544083,-0.9861853047151922,0.12965732102391053,0.01322688762427826,-0.011181432055666145,-0.15281568708817983,1.1449174941446927e-16
12,1.0,-0.9610719305291339,0.8363915760942415,0.10522381874534865,-0.006459551163238654,-0.006531338486691917,-0.6903714382746644,1.231653667943533e-15
12,0.0,0.26867696284655174,-1.6876126528640252,0.27129479315258725,-0.015893760854893045,-0.012979483072688976,-0.10792787241308749,4.77048955893622e-16
13,0.0,0.4121239507572843,0.20311133387521232,-0.42012319878472887,-0.003536194907208398,-0.0014077387206777453,0.7132616418695038,-3.7816971776294395e-16
13,1.0,1.21386435559954,1.109104749703364,-0.6179209989346365,0.029535759380915516,0.00676479850155254,-0.4342976915745604,6.192962809237201e-16
14,0.0,0.43301682231288147,1.1954365890073362,0.09239756017708545,0.0021929745272794565,-0.004653495424992354,1.9658581694219164,9.731798700229888e-16
14,1.0,-0.1380254883382072,2.1354194637571147,0.19766653111641092,0.0052472117387395295,0.0402116212970887,-1.8614808521556225,3.5041414214731503e-16
15,0.0,-0.13769404107272837,-3.9623273601215776,-0.13517999230091637,-0.000305243905086211,0.029782479780815482,0.2715399650859489,6.83481049534862e-16
15,1.0,-0.11587704823165755,2.9888596688300275,0.1205566024485086,0.002647505974980327,-0.017093181349171246,-0.8898288257202743,1.6566609195578508e-16
17,1.0,-0.3659010173484959,1.4220990404645693,0.04993041966757841,0.015286709716029578,0.046738934962842454,-0.4710601572117801,-2.8622937353617317e-16
17,0.0,0.7769372101251589,0.3296911440054615,-0.4301224953983913,0.05767858429317563,-0.04910500295728902,0.22345461492882862,2.671474153004283e-16
18,0.0,0.6826547442889357,2.3498442732728577,0.04656706857174184,-0.0017612516745269188,0.01710163885229098,0.22855894003168314,2.0990154059319366e-16
19,1.0,-0.5547244128385198,1.8109926652677923,0.014018675988712564,-0.003160727053908595,-0.0020309032821681622,-0.0051002227781403245,-5.516420653606247e-16
19,0.0,-0.1813630003201639,-4.141118292334217,0.20134074395620216,-0.0023300097158744093,-0.002929306082399348,0.46331002280789924,3.6477982093274797e-16
21,0.0,0.4497524275853184,-3.976443803452289,-0.38060152285075627,-0.010739171545387102,0.01227430103701303,0.9559608295164649,8.591218014775137e-16
22,1.0,-1.0172358761446576,1.1176427403898566,0.08704303234093375,0.02192764659436662,-0.011483375910724765,0.19837215707124284,-3.3480163086352377e-16
22,0.0,0.02594522956937318,0.561733193467024,0.18080283294515492,0.0007510568304956861,0.002893201986089774,0.6462371680834003,7.042977312465837e-16
23,0.0,-0.8035520877589343,-0.26489577480088233,-0.26534718060471185,0.010729988023535225,-0.09154375768081291,-1.100094986836386,-3.122502256758253e-16
24,0.0,0.09897668423511699,-4.261625887568386,-0.1904750571768363,0.036153039173042245,-0.05611956936368831,-0.3619075928934088,1.5785983631388945e-16
25,1.0,-0.3206658363652197,3.2859232520487516,-0.16020654376398674,0.028451763539484837,-0.011844259334814148,-0.3259981480623409,8.012254054667878e-17
26,0.0,-1.7297342401640843,-3.3730799866045302,0.053265335037170604,0.010663114205483881,0.00896564649699566,-0.1264381263690196,-3.191891195797325e-16
