,label,PCA_feature_3,PCA_feature_129,PCA_feature_134,PCA_feature_162,PCA_feature_163
1,0.0,-2.758241586647062,-5.065392549852277e-16,3.677613769070831e-16,1.0755285551056204e-16,-2.0990154059319366e-16
1,1.0,4.450455152928563,1.2385925618474403e-15,-1.2698175844150228e-15,-1.9081958235744878e-17,2.0469737016526324e-16
2,0.0,-0.526318377756612,-1.5959455978986625e-16,4.839878497975292e-16,4.198030811863873e-16,5.724587470723463e-17
2,1.0,6.736429557835909,1.1969591984239969e-15,-1.6566609195578508e-16,3.157196726277789e-16,8.500145032286355e-17
3,1.0,-0.8322535979329475,-5.325601071248798e-16,2.8709673527416157e-16,1.0009354456386177e-15,-9.71445146547012e-17
5,1.0,-0.15412484136589127,5.412337245047638e-16,-4.683753385137379e-17,2.975050761300224e-16,1.734723475976807e-18
5,0.0,1.4615717032689457,1.231653667943533e-16,6.678685382510707e-16,2.3592239273284576e-16,2.1510571102112408e-16
6,1.0,-0.24022443868703702,-3.2526065174565133e-16,-2.3245294578089215e-16,2.6194324487249787e-16,-2.0925101928970236e-16
7,0.0,-1.7637474442882104,1.8041124150158794e-16,2.905661822261152e-16,2.463307335887066e-16,-1.4051260155412137e-16
7,1.0,-0.7097463204521569,2.8275992658421956e-16,9.540979117872439e-17,2.1510571102112408e-16,1.6479873021779667e-17
8,0.0,-2.1258358474319663,1.734723475976807e-17,2.0296264668928643e-16,4.2327252813834093e-16,5.898059818321144e-17
8,1.0,-1.2165130365745231,-6.765421556309548e-17,3.5561831257524545e-17,2.896988204881268e-16,-4.5102810375396984e-17
9,0.0,-1.6316498253189669,-1.6653345369377348e-16,4.2934406030425976e-16,-2.498001805406602e-16,1.4051260155412137e-16
10,1.0,1.9909145503468872,-6.245004513516506e-16,2.5500435096859064e-16,1.9081958235744878e-16,-2.949029909160572e-17
11,0.0,-0.4337000168558884,-6.609296443471635e-16,6.891189008317866e-16,-8.326672684688674e-17,-2.185751579730777e-16
11,1.0,-0.9861853047151922,-3.0184188481996443e-16,1.1449174941446927e-16,2.5500435096859064e-16,-7.806255641895632e-17
12,1.0,0.8363915760942415,4.614364446098307e-16,1.231653667943533e-15,-2.7755575615628914e-17,7.112366251504909e-17
12,0.0,-1.6876126528640252,-5.603156827405087e-16,4.77048955893622e-16,-1.4051260155412137e-16,-1.7694179454963432e-16
13,0.0,0.20311133387521232,1.8735013540549517e-16,-3.7816971776294395e-16,-6.487865800153259e-16,6.591949208711867e-17
13,1.0,1.109104749703364,-4.839878497975292e-16,6.192962809237201e-16,5.204170427930421e-16,-2.0816681711721685e-17
14,0.0,1.1954365890073362,-3.434752482434078e-16,9.731798700229888e-16,-5.754945131553058e-16,-1.93421667571414e-16
14,1.0,2.1354194637571147,1.7433970933566911e-16,3.5041414214731503e-16,-1.3530843112619095e-16,-1.491862189340054e-16
15,0.0,-3.9623273601215776,-1.0200174038743626e-15,6.83481049534862e-16,-5.462210544981971e-16,-1.0061396160665481e-16
15,1.0,2.9888596688300275,5.620504062164855e-16,1.6566609195578508e-16,-2.7582103268031233e-16,-6.526897078362737e-17
17,1.0,1.4220990404645693,-4.787836793695988e-16,-2.8622937353617317e-16,6.938893903907228e-18,6.591949208711867e-17
17,0.0,0.3296911440054615,-7.875644580934704e-16,2.671474153004283e-16,3.7383290907300193e-16,-1.3357370765021415e-16
18,0.0,2.3498442732728577,3.209238430557093e-16,2.0990154059319366e-16,-3.469446951953614e-16,-3.5561831257524545e-16
19,1.0,1.8109926652677923,5.950101522600448e-16,-5.516420653606247e-16,2.0816681711721685e-17,-5.160802341031001e-17
19,0.0,-4.141118292334217,3.2959746043559335e-17,3.6477982093274797e-16,-5.143455106271233e-16,5.204170427930421e-17
21,0.0,-3.976443803452289,-3.3393426912553537e-17,8.591218014775137e-16,9.71445146547012e-17,-3.469446951953614e-18
22,1.0,1.1176427403898566,-1.734723475976807e-18,-3.3480163086352377e-16,-1.2836953722228372e-16,-1.3877787807814457e-17
22,0.0,0.561733193467024,6.279698983036042e-16,7.042977312465837e-16,-6.92154666914746e-16,2.435118079402443e-16
23,0.0,-0.26489577480088233,-4.40619762898109e-16,-3.122502256758253e-16,-6.765421556309548e-17,-1.3530843112619095e-16
24,0.0,-4.261625887568386,-4.909267437014364e-16,1.5785983631388945e-16,-3.3480163086352377e-16,-4.0245584642661925e-16
25,1.0,3.2859232520487516,8.465450562766819e-16,8.012254054667878e-17,-3.7296554733501353e-16,-5.551115123125783e-17
