,Coef
PCA_feature_2,-1.033602856491166
PCA_feature_13,-2.5743047133107253
PCA_feature_14,-2.6024460028868392
PCA_feature_129,-294202666743095.7
PCA_feature_136,-169388888336218.34
PCA_feature_137,1819972523188311.2
PCA_feature_138,-2445135236343651.5
PCA_feature_141,134473411538024.83
PCA_feature_142,-199088909061625.53
PCA_feature_146,-1877834640605141.0
PCA_feature_148,-3414522444050196.5
PCA_feature_149,-2893893991431845.0
PCA_feature_150,-9769239356115768.0
PCA_feature_161,2321167107523883.5
PCA_feature_163,-1894350784761753.2
PCA_feature_164,-866757702946128.8
PCA_feature_165,1205186880683782.8
PCA_feature_167,2369901575538.155
