,Coef
PCA_feature_112,-2.68650269749297
PCA_feature_114,0.026277616859901844
PCA_feature_14,-1.338058933092203
PCA_feature_107,-2.2525056908637464
PCA_feature_110,2.291749559284473
PCA_feature_7,0.1529282875448273
PCA_feature_132,-287805403367180.94
PCA_feature_13,-1.0858540670822208
PCA_feature_108,-2.491658431652067
PCA_feature_89,-1.667888198877406
PCA_feature_16,0.447378822959647
PCA_feature_36,0.6866429211664355
PCA_feature_74,0.932972017400837
PCA_feature_93,0.12880486776519712
PCA_feature_6,-0.06454878767718866
PCA_feature_34,0.5259764388561237
PCA_feature_17,-0.534461373177278
PCA_feature_5,0.2461478633378356
PCA_feature_67,-0.5833657194612343
PCA_feature_158,-1104254503987055.9
