,label,PCA_feature_2,PCA_feature_129,PCA_feature_136,PCA_feature_150,PCA_feature_167
1,1.0,-4.6052184687565125,2.2724877535296173e-16,3.7816971776294395e-16,-3.625572064791527e-16,2.5673907444456745e-16
1,1.0,-4.6052184687565125,2.2724877535296173e-16,3.7816971776294395e-16,-3.625572064791527e-16,2.5673907444456745e-16
1,1.0,-4.6052184687565125,2.2724877535296173e-16,3.7816971776294395e-16,-3.625572064791527e-16,2.5673907444456745e-16
2,0.0,0.9626202212005489,2.5673907444456745e-16,-4.822531263215524e-16,-3.469446951953614e-17,-3.8163916471489756e-17
2,1.0,-4.480450374651669,6.175615574477433e-16,2.6020852139652106e-16,-1.214306433183765e-16,1.457167719820518e-16
2,1.0,-4.480450374651669,6.175615574477433e-16,2.6020852139652106e-16,-1.214306433183765e-16,1.457167719820518e-16
2,1.0,-4.480450374651669,6.175615574477433e-16,2.6020852139652106e-16,-1.214306433183765e-16,1.457167719820518e-16
3,0.0,0.7149419220625326,8.500145032286355e-17,-1.6132928326584306e-16,2.47198095326695e-16,4.85722573273506e-17
4,0.0,-0.32345898158569286,-2.8449465006019636e-16,-5.93275428784068e-16,1.6393136847980827e-16,-7.632783294297951e-17
5,0.0,1.62718882318057,-1.1102230246251565e-16,-3.608224830031759e-16,2.8362728832220796e-16,-2.7755575615628914e-17
5,1.0,-1.594238434416213,7.979727989493313e-17,4.5536491244391186e-17,4.5102810375396984e-17,-1.474514954580286e-17
7,1.0,-0.7789744119904478,2.237793284010081e-16,-1.9125326322644298e-16,1.3877787807814457e-17,5.551115123125783e-17
7,1.0,-0.7789744119904478,2.237793284010081e-16,-1.9125326322644298e-16,1.3877787807814457e-17,5.551115123125783e-17
7,1.0,-0.7789744119904478,2.237793284010081e-16,-1.9125326322644298e-16,1.3877787807814457e-17,5.551115123125783e-17
7,0.0,0.23115796550844425,-6.938893903907228e-17,-3.642919299551295e-17,2.636779683484747e-16,-9.71445146547012e-17
8,1.0,-0.20380204211282232,2.3765711620882257e-16,-9.194034422677078e-17,9.367506770274758e-17,-1.3877787807814457e-17
9,0.0,5.544455236248869,-2.740863092043355e-16,-5.204170427930421e-16,-3.2959746043559335e-17,-6.245004513516506e-17
10,1.0,1.2447264568798149,-5.828670879282072e-16,6.938893903907228e-17,-2.220446049250313e-16,-1.8041124150158794e-16
10,1.0,1.2447264568798149,-5.273559366969494e-16,8.326672684688674e-17,-2.2898349882893854e-16,-1.8041124150158794e-16
11,0.0,4.183979238323506,1.6653345369377348e-16,-1.8735013540549517e-16,-5.204170427930421e-18,-4.510281037539698e-16
11,1.0,0.1809925109640407,1.6653345369377348e-16,-1.8041124150158794e-16,1.1882855810441129e-16,-2.42861286636753e-17
11,1.0,0.1809925109640407,1.6653345369377348e-16,-1.8041124150158794e-16,1.1882855810441129e-16,-2.42861286636753e-17
12,1.0,1.8731441696749336,2.0816681711721685e-17,-3.469446951953614e-16,1.214306433183765e-17,-5.551115123125783e-17
13,1.0,-0.05269255231957361,2.983724378680108e-16,-4.926614671774132e-16,-1.734723475976807e-17,-6.938893903907228e-17
13,1.0,-0.05269255231957361,2.983724378680108e-16,-4.926614671774132e-16,-1.734723475976807e-17,-6.938893903907228e-17
13,0.0,2.7709088573651406,3.469446951953614e-17,-2.0122792321330962e-16,-1.8388068845354155e-16,1.474514954580286e-16
16,1.0,0.6243642119290396,2.8449465006019636e-16,-1.682681771697503e-16,-1.2836953722228372e-16,1.0408340855860843e-16
