,label,PCA_feature_112,PCA_feature_114,PCA_feature_14,PCA_feature_107,PCA_feature_110,PCA_feature_7,PCA_feature_132,PCA_feature_13,PCA_feature_108,PCA_feature_89,PCA_feature_16
1,1.0,0.013127202529366014,0.009317122130113625,0.1269469915651668,-0.015711556215893874,0.00841231255293258,-0.5049092008852408,-5.854691731421724e-17,0.2643551752775043,0.015428279269014633,-0.004600166219156879,-0.3867321600293256
2,1.0,0.0016704676909944406,0.003884063561206394,1.0373864969131075,0.000683362382287056,0.0033099559369933473,-0.2993770884125727,6.804452834519026e-16,-0.6638556321671852,-0.0013309654766896634,-0.0002620243840685821,-0.13681559100555368
2,0.0,-0.001741581773867587,-0.014982925502731628,0.2204641127157782,0.005669252843032338,0.015183060300198475,-0.9034123337921616,-1.5959455978986625e-16,-1.064808321829548,0.014681540834263344,-0.07009238146279125,0.36638046983915434
3,0.0,0.09384130953457911,-0.0802056708500906,0.03443521924832517,0.0064773418900730545,0.09612544918280205,-1.6225330104978513,1.6306400674181987e-16,-0.5047553204565768,0.05371304169907078,-0.04653432467172326,-0.45204208434643944
4,0.0,-0.01632907992300461,-0.022265262622911806,-0.2581477638742542,-0.0686727735700774,-0.03964024324182855,-1.9675458139148827,4.85722573273506e-17,-0.05542168526297024,0.0035662999165589696,0.06658706961915309,0.39365794054747744
5,0.0,-0.0019969909084216336,0.015753986591409606,-0.32482304167132686,0.013322037000773283,-0.01740233643255209,1.0528282431067277,7.7021722333370235e-16,0.5203234808654291,0.01949244186228099,-0.02335563798822643,-0.45170876430606116
5,1.0,-0.029560198371405343,-0.0626515371138868,-0.25395758507522903,-0.04926939612686404,0.012638853507715138,0.7985920177758248,8.760353553682876e-17,-0.5657961172682708,0.0076515816711352005,-0.07129422516069867,-0.011801623312711357
7,0.0,0.0037383798547698244,-0.03493663566443233,0.10165218168653914,0.028667635912433626,-0.014792430763161342,-0.4111120692102432,1.9255430583342559e-16,-0.32969183995046103,0.005916020022349852,-0.0426314552584489,-0.08623696945332185
7,1.0,-0.01615602317065901,-0.020596584684131378,-0.12053300486379842,-0.0055329880217688115,-0.03490429546538437,0.5745464442767371,1.3877787807814457e-16,-0.3988861509071059,0.06177965957509984,-0.06089485272883476,-0.016597890798268414
8,1.0,0.013784059398672565,0.041751976575130786,-0.2196555971641439,0.10336446020428917,-0.06580311716034871,0.36254348768887057,2.2551405187698492e-17,-0.6445650674544503,-0.08836796030115021,0.26594005159868084,-0.15223274991747865
9,0.0,0.003648256700026723,-0.0038845775693782253,0.5715417050811012,-0.009096154484472097,-0.007373321225767206,-2.1342453265631054,-3.8163916471489756e-17,-0.8780061342401277,-0.005163677659755811,0.024808696396791254,0.6507198939816027
10,1.0,0.002091837135273049,-0.004771783246940033,-0.9341690556370712,0.002295509431350179,0.00044424718569195665,-0.1999391846933299,5.273559366969494e-16,1.6240195606379204,-0.000827783350740463,-0.04181541947820047,1.1246272433583613
11,1.0,0.01670625419330974,0.03799735875763444,-0.49457639969069683,-0.00047471954980088556,0.0032631910273286623,-1.5438884514144708,-1.491862189340054e-16,-0.6794359202675878,0.038588022806359784,-0.04128623780276898,-0.44085041226769883
11,0.0,-0.005962098194866691,-0.000612679672740403,1.2014479231570354,0.001135038508376176,-0.012694207275130015,-0.7254151445972135,-1.457167719820518e-16,-0.29233234871035424,0.012079154701468309,-0.006611083263614717,2.0467886225263965
12,1.0,-0.0004739236486371312,0.0045024474126700645,-0.358218241225184,-0.003941502822601174,0.013159344726936098,-0.6571704181901636,-1.1102230246251565e-16,0.5187670301651326,-0.002992037639496882,0.0851723763571314,1.0639236113171424
13,0.0,0.0015329039679709798,0.0019953732071756117,-0.6028072520624208,0.006122686927846531,-0.004291708177086743,-0.34005788002535287,-3.4233683596229803e-16,-1.5290869442701343,-0.0025551876771450627,-0.021384577980459677,0.8395528592065891
13,1.0,-0.0031895541041146586,0.003787823300637389,-1.0284257389383498,0.004974153172173167,0.00029987576659949375,-0.46864085480426787,6.591949208711867e-17,-0.4230792403460528,0.0011685443436648055,0.009457226185023732,1.1058616581428877
16,1.0,-0.01135973983884955,0.006177639735310037,-1.045421725087574,0.00993931926404916,0.02100432509120846,-0.9864948831520471,2.3418766925686896e-17,-0.04476600780324577,-0.007480289915457905,0.036720834508510124,0.1237139926187134
16,0.0,-0.0016354375368579158,-0.038604570933196775,0.2805418963968743,-0.017418307868400564,-0.026693573442112137,-0.6503379353792353,1.6479873021779667e-16,-0.7300681454249596,-0.015223955863472693,0.058800666761256566,0.0176162114948218
